"","date","CSTL"
"1","2019-07-25",21.4
"2","2019-07-26",22.99
"3","2019-07-29",23.99
"4","2019-07-30",22.809999
"5","2019-07-31",19.65
"6","2019-08-01",21.950001
"7","2019-08-02",21.809999
"8","2019-08-05",20.99
"9","2019-08-06",21.43
"10","2019-08-07",19.9
"11","2019-08-08",19.559999
"12","2019-08-09",21.51
"13","2019-08-12",20.76
"14","2019-08-13",21.469999
"15","2019-08-14",21.450001
"16","2019-08-15",20.5
"17","2019-08-16",20.25
"18","2019-08-19",19.5
"19","2019-08-20",18.92
"20","2019-08-21",19.93
"21","2019-08-22",22.75
"22","2019-08-23",23.5
"23","2019-08-26",24
"24","2019-08-27",25.16
"25","2019-08-28",25
"26","2019-08-29",25.73
"27","2019-08-30",27.92
"28","2019-09-03",27.91
"29","2019-09-04",25.98
"30","2019-09-05",25.85
"31","2019-09-06",25.41
"32","2019-09-09",22.5
"33","2019-09-10",22.030001
"34","2019-09-11",21.68
"35","2019-09-12",22.17
"36","2019-09-13",22.030001
"37","2019-09-16",21.360001
"38","2019-09-17",22.17
"39","2019-09-18",22.49
"40","2019-09-19",22.940001
"41","2019-09-20",23
"42","2019-09-23",23.360001
"43","2019-09-24",20.25
"44","2019-09-25",19.610001
"45","2019-09-26",19.92
"46","2019-09-27",18.450001
"47","2019-09-30",18.09
"48","2019-10-01",17.75
"49","2019-10-02",18.34
"50","2019-10-03",18.49
"51","2019-10-04",19
"52","2019-10-07",18.639999
"53","2019-10-08",18.620001
"54","2019-10-09",19.030001
"55","2019-10-10",19.879999
"56","2019-10-11",19.67
"57","2019-10-14",19.91
"58","2019-10-15",19.35
"59","2019-10-16",19.754999
"60","2019-10-17",19.870001
"61","2019-10-18",18.74
"62","2019-10-21",18.91
"63","2019-10-22",16.67
"64","2019-10-23",15.74
"65","2019-10-24",16.92
"66","2019-10-25",18.110001
"67","2019-10-28",18.040001
"68","2019-10-29",20.049999
"69","2019-10-30",21.709999
"70","2019-10-31",23.540001
"71","2019-11-01",22.77
"72","2019-11-04",22.25
"73","2019-11-05",21.93
"74","2019-11-06",21.84
"75","2019-11-07",21.299999
"76","2019-11-08",22.08
"77","2019-11-11",21.809999
"78","2019-11-12",26.09
"79","2019-11-13",26.17
"80","2019-11-14",28.440001
"81","2019-11-15",28.76
