"","date","INFY"
"1","2007-01-03",6.9775
"2","2007-01-04",6.925
"3","2007-01-05",6.8925
"4","2007-01-08",6.875
"5","2007-01-09",6.825
"6","2007-01-10",6.77875
"7","2007-01-11",7.0275
"8","2007-01-12",7.2575
"9","2007-01-16",7.16625
"10","2007-01-17",7.175
"11","2007-01-18",7.0075
"12","2007-01-19",7.01625
"13","2007-01-22",7.0925
"14","2007-01-23",7.19875
"15","2007-01-24",7.29
"16","2007-01-25",7.09875
"17","2007-01-26",7.12625
"18","2007-01-29",7.165
"19","2007-01-30",7.19625
"20","2007-01-31",7.25
"21","2007-02-01",7.33875
"22","2007-02-02",7.3675
"23","2007-02-05",7.375
"24","2007-02-06",7.3475
"25","2007-02-07",7.56875
"26","2007-02-08",7.56375
"27","2007-02-09",7.43
"28","2007-02-12",7.375
"29","2007-02-13",7.17875
"30","2007-02-14",7.4
"31","2007-02-15",7.45125
"32","2007-02-16",7.48
"33","2007-02-20",7.5625
"34","2007-02-21",7.47625
"35","2007-02-22",7.4
"36","2007-02-23",7.21125
"37","2007-02-26",7.15125
"38","2007-02-27",6.68875
"39","2007-02-28",6.7825
"40","2007-03-01",6.7925
"41","2007-03-02",6.6375
"42","2007-03-05",6.43125
"43","2007-03-06",6.70875
"44","2007-03-07",6.56625
"45","2007-03-08",6.75875
"46","2007-03-09",6.7575
"47","2007-03-12",6.7875
"48","2007-03-13",6.51375
"49","2007-03-14",6.4625
"50","2007-03-15",6.48
"51","2007-03-16",6.4025
"52","2007-03-19",6.55375
"53","2007-03-20",6.60125
"54","2007-03-21",6.76
"55","2007-03-22",6.68
"56","2007-03-23",6.59625
"57","2007-03-26",6.6075
"58","2007-03-27",6.4575
"59","2007-03-28",6.3075
"60","2007-03-29",6.27
"61","2007-03-30",6.28125
"62","2007-04-02",6.22625
"63","2007-04-03",6.46125
"64","2007-04-04",6.51125
"65","2007-04-05",6.47875
"66","2007-04-09",6.57
"67","2007-04-10",6.51
"68","2007-04-11",6.49625
"69","2007-04-12",6.69125
"70","2007-04-13",6.87
"71","2007-04-16",6.96625
"72","2007-04-17",6.98
"73","2007-04-18",6.845
"74","2007-04-19",6.72125
"75","2007-04-20",6.78125
"76","2007-04-23",6.70125
"77","2007-04-24",6.63375
"78","2007-04-25",6.69875
