"","date","LMT"
"1","2007-01-03",91.93
"2","2007-01-04",91.690002
"3","2007-01-05",92.019997
"4","2007-01-08",93.690002
"5","2007-01-09",93.599998
"6","2007-01-10",94.580002
"7","2007-01-11",95.660004
"8","2007-01-12",96.309998
"9","2007-01-16",97
"10","2007-01-17",96.5
"11","2007-01-18",96.800003
"12","2007-01-19",97.269997
"13","2007-01-22",96.769997
"14","2007-01-23",98.739998
"15","2007-01-24",97.139999
"16","2007-01-25",97.440002
"17","2007-01-26",96.669998
"18","2007-01-29",96.059998
"19","2007-01-30",96.239998
"20","2007-01-31",97.190002
"21","2007-02-01",98.459999
"22","2007-02-02",98.459999
"23","2007-02-05",99.080002
"24","2007-02-06",101.290001
"25","2007-02-07",101.519997
"26","2007-02-08",100.879997
"27","2007-02-09",101.160004
"28","2007-02-12",101.629997
"29","2007-02-13",102.260002
"30","2007-02-14",102.32
"31","2007-02-15",103.339996
"32","2007-02-16",101.949997
"33","2007-02-20",102.790001
"34","2007-02-21",102.550003
"35","2007-02-22",101.550003
"36","2007-02-23",102.110001
"37","2007-02-26",101.470001
"38","2007-02-27",97.57
"39","2007-02-28",97.260002
"40","2007-03-01",97.82
"41","2007-03-02",95.440002
"42","2007-03-05",96.5
"43","2007-03-06",96.900002
"44","2007-03-07",96.540001
"45","2007-03-08",97.18
"46","2007-03-09",96.889999
"47","2007-03-12",100
"48","2007-03-13",96.870003
"49","2007-03-14",98.139999
"50","2007-03-15",98.050003
"51","2007-03-16",97.800003
"52","2007-03-19",98.970001
"53","2007-03-20",98.379997
"54","2007-03-21",99.849998
"55","2007-03-22",97.910004
"56","2007-03-23",99.150002
"57","2007-03-26",98.419998
"58","2007-03-27",98.18
"59","2007-03-28",97.18
"60","2007-03-29",98.099998
"61","2007-03-30",97.019997
"62","2007-04-02",96.93
"63","2007-04-03",97.279999
"64","2007-04-04",97.050003
"65","2007-04-05",96.709999
"66","2007-04-09",98.029999
"67","2007-04-10",98.050003
"68","2007-04-11",96.610001
"69","2007-04-12",96.160004
"70","2007-04-13",96.239998
"71","2007-04-16",96
"72","2007-04-17",95.959999
"73","2007-04-18",96.370003
"74","2007-04-19",95.629997
"75","2007-04-20",95.400002
"76","2007-04-23",97.07
"77","2007-04-24",94.82
"78","2007-04-25",95.5
"79","2007-04-26",93.5
"80","2007-04-27",96.690002
