"","date","HTHT"
"1","2010-03-26",3.48
"2","2010-03-29",3.6875
"3","2010-03-30",3.6175
"4","2010-03-31",3.745
"5","2010-04-01",4
"6","2010-04-05",4.28
"7","2010-04-06",4.2225
"8","2010-04-07",4.1875
"9","2010-04-08",4.0475
"10","2010-04-09",4.06
"11","2010-04-12",4.0475
"12","2010-04-13",3.9525
"13","2010-04-14",3.7625
"14","2010-04-15",3.895
"15","2010-04-16",3.85
"16","2010-04-19",4.1125
"17","2010-04-20",4.135
"18","2010-04-21",4.0075
"19","2010-04-22",4.085
"20","2010-04-23",4.14
"21","2010-04-26",4.1225
"22","2010-04-27",4.0625
"23","2010-04-28",3.9
"24","2010-04-29",3.7825
"25","2010-04-30",3.7725
"26","2010-05-03",3.775
"27","2010-05-04",3.635
"28","2010-05-05",3.525
"29","2010-05-06",3.49
"30","2010-05-07",3.57
"31","2010-05-10",3.7875
"32","2010-05-11",3.695
"33","2010-05-12",3.6675
"34","2010-05-13",3.6725
"35","2010-05-14",3.6675
"36","2010-05-17",3.7475
"37","2010-05-18",3.7625
"38","2010-05-19",3.625
"39","2010-05-20",3.6
"40","2010-05-21",3.5675
"41","2010-05-24",3.5975
"42","2010-05-25",3.55
"43","2010-05-26",3.5075
"44","2010-05-27",3.525
"45","2010-05-28",3.585
"46","2010-06-01",3.5725
"47","2010-06-02",3.565
"48","2010-06-03",3.5275
"49","2010-06-04",3.555
"50","2010-06-07",3.5125
"51","2010-06-08",3.475
"52","2010-06-09",3.52
"53","2010-06-10",3.525
"54","2010-06-11",3.475
"55","2010-06-14",3.5
"56","2010-06-15",3.52
"57","2010-06-16",3.54
"58","2010-06-17",3.5975
"59","2010-06-18",3.635
"60","2010-06-21",3.76
"61","2010-06-22",3.7475
"62","2010-06-23",3.8475
"63","2010-06-24",4
"64","2010-06-25",4.015
"65","2010-06-28",3.9375
"66","2010-06-29",3.83
"67","2010-06-30",3.8175
"68","2010-07-01",3.8025
"69","2010-07-02",3.765
"70","2010-07-06",3.7825
"71","2010-07-07",3.7275
"72","2010-07-08",3.6375
"73","2010-07-09",3.625
"74","2010-07-12",3.8125
"75","2010-07-13",3.7875
"76","2010-07-14",3.775
"77","2010-07-15",3.775
"78","2010-07-16",3.71
"79","2010-07-19",3.705
"80","2010-07-20",3.8075
"81","2010-07-21",3.825
"82","2010-07-22",3.9
"83","2010-07-23",3.9375
"84","2010-07-26",4.015
"85","2010-07-27",4.1
"86","2010-07-28",4.27
"87","2010-07-29",4.3975
"88","2010-07-30",4.625
"89","2010-08-02",4.75
"90","2010-08-03",4.7675
"91","2010-08-04",4.7925
"92","2010-08-05",4.915
"93","2010-08-06",5.31
"94","2010-08-09",5.2375
"95","2010-08-10",4.8
"96","2010-08-11",4.4525
"97","2010-08-12",4.745
"98","2010-08-13",4.8025
"99","2010-08-16",4.78
"100","2010-08-17",4.9275
"101","2010-08-18",5.265
