"","date","HQY"
"1","2014-07-31",17.6
"2","2014-08-01",16.950001
"3","2014-08-04",16.85
"4","2014-08-05",16.75
"5","2014-08-06",17.059999
"6","2014-08-07",17.49
"7","2014-08-08",17.51
"8","2014-08-11",17.85
"9","2014-08-12",18.34
"10","2014-08-13",19.799999
"11","2014-08-14",20.77
"12","2014-08-15",19.959999
"13","2014-08-18",20.469999
"14","2014-08-19",20.389999
"15","2014-08-20",20.49
"16","2014-08-21",20.16
"17","2014-08-22",20.459999
"18","2014-08-25",19.870001
"19","2014-08-26",19.73
"20","2014-08-27",19.51
"21","2014-08-28",19.4
"22","2014-08-29",19.379999
"23","2014-09-02",19.77
"24","2014-09-03",18.889999
"25","2014-09-04",18.93
"26","2014-09-05",19.040001
"27","2014-09-08",18.65
"28","2014-09-09",19.41
"29","2014-09-10",21.620001
"30","2014-09-11",20.93
"31","2014-09-12",20.74
"32","2014-09-15",20.870001
"33","2014-09-16",20.1
"34","2014-09-17",20.030001
"35","2014-09-18",20.16
"36","2014-09-19",19.57
"37","2014-09-22",19.76
"38","2014-09-23",18.82
"39","2014-09-24",18.24
"40","2014-09-25",18.16
"41","2014-09-26",18.450001
"42","2014-09-29",18.24
"43","2014-09-30",18.309999
"44","2014-10-01",17.77
"45","2014-10-02",17.379999
"46","2014-10-03",18.9
"47","2014-10-06",18.68
"48","2014-10-07",19.290001
"49","2014-10-08",19.370001
"50","2014-10-09",18.52
"51","2014-10-10",17.98
"52","2014-10-13",18.219999
"53","2014-10-14",18.440001
"54","2014-10-15",19.440001
"55","2014-10-16",20.32
"56","2014-10-17",19.41
"57","2014-10-20",20.120001
"58","2014-10-21",20.370001
"59","2014-10-22",20.17
"60","2014-10-23",20.67
"61","2014-10-24",20.030001
"62","2014-10-27",19.950001
"63","2014-10-28",20.469999
"64","2014-10-29",19.950001
"65","2014-10-30",20.23
"66","2014-10-31",20.4
"67","2014-11-03",19.889999
"68","2014-11-04",19.59
"69","2014-11-05",19.690001
"70","2014-11-06",19.799999
"71","2014-11-07",20.51
"72","2014-11-10",20.790001
"73","2014-11-11",21.059999
"74","2014-11-12",21.440001
"75","2014-11-13",21.4
"76","2014-11-14",21.360001
"77","2014-11-17",21.51
"78","2014-11-18",22.27
"79","2014-11-19",21.719999
"80","2014-11-20",22.08
"81","2014-11-21",22.959999
"82","2014-11-24",23.08
"83","2014-11-25",23.780001
"84","2014-11-26",23.530001
"85","2014-11-28",24.83
"86","2014-12-01",24.01
"87","2014-12-02",22.59
"88","2014-12-03",22.700001
"89","2014-12-04",22.450001
"90","2014-12-05",22.290001
"91","2014-12-08",24.09
"92","2014-12-09",23.969999
"93","2014-12-10",24.26
"94","2014-12-11",23.83
"95","2014-12-12",22.32
"96","2014-12-15",22.9
"97","2014-12-16",22.74
"98","2014-12-17",24.32
"99","2014-12-18",24.620001
"100","2014-12-19",24.58
"101","2014-12-22",25.709999
"102","2014-12-23",25.35
"103","2014-12-24",25.59
"104","2014-12-26",25.83
"105","2014-12-29",25.76
"106","2014-12-30",25.620001
"107","2014-12-31",25.450001
"108","2015-01-02",24.700001
"109","2015-01-05",22.4
"110","2015-01-06",21.66
"111","2015-01-07",21.379999
"112","2015-01-08",21.190001
"113","2015-01-09",20.299999
"114","2015-01-12",20.549999
"115","2015-01-13",21.51
"116","2015-01-14",22.049999
"117","2015-01-15",21.1
"118","2015-01-16",19.57
"119","2015-01-20",19.959999
"120","2015-01-21",20.040001
"121","2015-01-22",20.98
"122","2015-01-23",21.200001
"123","2015-01-26",21.18
