"","date","MIME"
"1","2015-11-19",10.1
"2","2015-11-20",10.15
"3","2015-11-23",10.22
"4","2015-11-24",10.21
"5","2015-11-25",10.18
"6","2015-11-27",10.07
"7","2015-11-30",10.11
"8","2015-12-01",10.46
"9","2015-12-02",10.21
"10","2015-12-03",9.6
"11","2015-12-04",9.78
"12","2015-12-07",9.78
"13","2015-12-08",9.83
"14","2015-12-09",9.74
"15","2015-12-10",10.02
"16","2015-12-11",10.42
"17","2015-12-14",10
"18","2015-12-15",10
"19","2015-12-16",10.02
"20","2015-12-17",10
"21","2015-12-18",9.89
"22","2015-12-21",9.89
"23","2015-12-22",9.89
"24","2015-12-23",9.85
"25","2015-12-24",9.87
"26","2015-12-28",9.61
"27","2015-12-29",9.31
"28","2015-12-30",9.64
"29","2015-12-31",9.6
"30","2016-01-04",9.06
"31","2016-01-05",8.93
"32","2016-01-06",9
"33","2016-01-07",8.93
"34","2016-01-08",8.6
"35","2016-01-11",8.63
"36","2016-01-12",8.55
"37","2016-01-13",8.17
"38","2016-01-14",8.29
"39","2016-01-15",7.72
"40","2016-01-19",7.72
"41","2016-01-20",7.84
"42","2016-01-21",7.96
"43","2016-01-22",7.95
"44","2016-01-25",7.67
"45","2016-01-26",6.91
"46","2016-01-27",6.71
"47","2016-01-28",6.2
"48","2016-01-29",7.59
"49","2016-02-01",9.21
"50","2016-02-02",8.77
"51","2016-02-03",10
"52","2016-02-04",10.38
"53","2016-02-05",10.35
"54","2016-02-08",9.98
"55","2016-02-09",9.37
"56","2016-02-10",9.39
"57","2016-02-11",9.29
"58","2016-02-12",9.51
"59","2016-02-16",9.59
"60","2016-02-17",9.49
"61","2016-02-18",9.72
"62","2016-02-19",9.56
"63","2016-02-22",9.61
"64","2016-02-23",9.24
"65","2016-02-24",9.59
"66","2016-02-25",9.52
"67","2016-02-26",9.92
"68","2016-02-29",9.36
"69","2016-03-01",10.22
"70","2016-03-02",10.73
"71","2016-03-03",10.76
"72","2016-03-04",10.27
"73","2016-03-07",9.82
"74","2016-03-08",9.85
"75","2016-03-09",9.34
"76","2016-03-10",8.66
"77","2016-03-11",8.91
"78","2016-03-14",9.02
