"","date","WWD"
"1","2007-01-03",19.690001
"2","2007-01-04",19.92
"3","2007-01-05",19.34
"4","2007-01-08",19.535
"5","2007-01-09",19.495001
"6","2007-01-10",19.73
"7","2007-01-11",19.955
"8","2007-01-12",20.01
"9","2007-01-16",19.855
"10","2007-01-17",20.01
"11","2007-01-18",19.9
"12","2007-01-19",20.17
"13","2007-01-22",19.674999
"14","2007-01-23",20.924999
"15","2007-01-24",20.495001
"16","2007-01-25",20.195
"17","2007-01-26",20.24
"18","2007-01-29",20.165001
"19","2007-01-30",20.745001
"20","2007-01-31",20.92
"21","2007-02-01",21.57
"22","2007-02-02",21.045
"23","2007-02-05",21.205
"24","2007-02-06",21.360001
"25","2007-02-07",21.495001
"26","2007-02-08",21.745001
"27","2007-02-09",21.075001
"28","2007-02-12",21.465
"29","2007-02-13",22.030001
"30","2007-02-14",22.125
"31","2007-02-15",21.684999
"32","2007-02-16",22.115
"33","2007-02-20",22.174999
"34","2007-02-21",21.934999
"35","2007-02-22",21.844999
"36","2007-02-23",21.93
"37","2007-02-26",21.945
"38","2007-02-27",21.040001
"39","2007-02-28",20.83
"40","2007-03-01",20.985001
"41","2007-03-02",20.115
"42","2007-03-05",19.695
"43","2007-03-06",19.985001
"44","2007-03-07",19.85
"45","2007-03-08",20.375
"46","2007-03-09",20.504999
"47","2007-03-12",20.610001
"48","2007-03-13",19.594999
"49","2007-03-14",19.950001
"50","2007-03-15",19.825001
"51","2007-03-16",19.709999
"52","2007-03-19",20.115
"53","2007-03-20",20.299999
"54","2007-03-21",20.75
"55","2007-03-22",20.795
"56","2007-03-23",20.52
"57","2007-03-26",20.825001
"58","2007-03-27",20.309999
"59","2007-03-28",20.25
"60","2007-03-29",20.424999
"61","2007-03-30",20.584999
"62","2007-04-02",20.625
"63","2007-04-03",20.940001
"64","2007-04-04",21.02
"65","2007-04-05",20.834999
"66","2007-04-09",20.799999
"67","2007-04-10",21.115
"68","2007-04-11",20.684999
"69","2007-04-12",20.709999
"70","2007-04-13",20.745001
"71","2007-04-16",21.26
"72","2007-04-17",21.145
"73","2007-04-18",21
"74","2007-04-19",20.815001
"75","2007-04-20",21.02
"76","2007-04-23",21.465
"77","2007-04-24",24.995001
"78","2007-04-25",25.049999
"79","2007-04-26",24.995001
"80","2007-04-27",25.299999
"81","2007-04-30",24.674999
"82","2007-05-01",25.41
"83","2007-05-02",26.135
"84","2007-05-03",26.344999
"85","2007-05-04",26.5
"86","2007-05-07",26.684999
"87","2007-05-08",26.264999
"88","2007-05-09",26.455
"89","2007-05-10",26.1
"90","2007-05-11",26.92
"91","2007-05-14",26.395
"92","2007-05-15",26.219999
"93","2007-05-16",26.674999
