"","date","TV"
"1","2007-01-03",27.440001
"2","2007-01-04",27.549999
"3","2007-01-05",27
"4","2007-01-08",28.040001
"5","2007-01-09",27.23
"6","2007-01-10",27.299999
"7","2007-01-11",27.6
"8","2007-01-12",28.049999
"9","2007-01-16",28.35
"10","2007-01-17",28.700001
"11","2007-01-18",28
"12","2007-01-19",28.23
"13","2007-01-22",28.700001
"14","2007-01-23",29.129999
"15","2007-01-24",29.48
"16","2007-01-25",28.870001
"17","2007-01-26",29.18
"18","2007-01-29",29.15
"19","2007-01-30",29.200001
"20","2007-01-31",29.459999
"21","2007-02-01",29.43
"22","2007-02-02",29.360001
"23","2007-02-05",28.9
"24","2007-02-06",29.07
"25","2007-02-07",28.959999
"26","2007-02-08",28.59
"27","2007-02-09",28.190001
"28","2007-02-12",28.5
"29","2007-02-13",29.459999
"30","2007-02-14",30.120001
"31","2007-02-15",29.76
"32","2007-02-16",29.690001
"33","2007-02-20",29.93
"34","2007-02-21",29.84
"35","2007-02-22",29.68
"36","2007-02-23",29.74
"37","2007-02-26",29.02
"38","2007-02-27",27.23
"39","2007-02-28",27.290001
"40","2007-03-01",27
"41","2007-03-02",26.75
"42","2007-03-05",26.35
"43","2007-03-06",27.23
"44","2007-03-07",27.09
"45","2007-03-08",28.030001
"46","2007-03-09",28.34
"47","2007-03-12",28.450001
"48","2007-03-13",27.77
"49","2007-03-14",28.040001
"50","2007-03-15",27.98
"51","2007-03-16",27.77
"52","2007-03-19",27.879999
"53","2007-03-20",28.52
"54","2007-03-21",29.6
"55","2007-03-22",29.450001
"56","2007-03-23",29.82
"57","2007-03-26",29.459999
"58","2007-03-27",29.43
"59","2007-03-28",29.09
"60","2007-03-29",29.379999
"61","2007-03-30",29.799999
"62","2007-04-02",30.5
"63","2007-04-03",30.790001
"64","2007-04-04",30.9
"65","2007-04-05",30.83
"66","2007-04-09",31.040001
"67","2007-04-10",30.860001
"68","2007-04-11",30.49
"69","2007-04-12",30.690001
"70","2007-04-13",30.969999
"71","2007-04-16",31.139999
"72","2007-04-17",30.360001
"73","2007-04-18",30
"74","2007-04-19",30.120001
"75","2007-04-20",29.99
"76","2007-04-23",29.58
"77","2007-04-24",29.459999
"78","2007-04-25",29.34
"79","2007-04-26",28.84
"80","2007-04-27",28.629999
"81","2007-04-30",28.049999
"82","2007-05-01",28.17
"83","2007-05-02",28.99
"84","2007-05-03",29.17
"85","2007-05-04",29.07
"86","2007-05-07",28.860001
"87","2007-05-08",28.700001
"88","2007-05-09",29.110001
"89","2007-05-10",28.200001
"90","2007-05-11",29.09
"91","2007-05-14",28.969999
"92","2007-05-15",28.639999
"93","2007-05-16",29.549999
"94","2007-05-17",29.5
"95","2007-05-18",29.870001
"96","2007-05-21",30.059999
"97","2007-05-22",30.360001
"98","2007-05-23",30.139999
"99","2007-05-24",29.15
"100","2007-05-25",28.76
"101","2007-05-29",27.9
"102","2007-05-30",28.379999
"103","2007-05-31",28.780001
"104","2007-06-01",28.870001
"105","2007-06-04",28.73
"106","2007-06-05",28.15
"107","2007-06-06",27.620001
"108","2007-06-07",26.84
"109","2007-06-08",26.799999
"110","2007-06-11",27.040001
"111","2007-06-12",26.76
"112","2007-06-13",27.059999
"113","2007-06-14",27.559999
"114","2007-06-15",28.549999
"115","2007-06-18",28.74
"116","2007-06-19",28.280001
"117","2007-06-20",27.6
"118","2007-06-21",27.76
"119","2007-06-22",27.450001
"120","2007-06-25",26.969999
"121","2007-06-26",26.35
"122","2007-06-27",26.559999
"123","2007-06-28",27.209999
"124","2007-06-29",27.610001
"125","2007-07-02",27.75
"126","2007-07-03",27.5
"127","2007-07-05",27.780001
"128","2007-07-06",27.83
"129","2007-07-09",27.9
"130","2007-07-10",27.24
"131","2007-07-11",27.66
"132","2007-07-12",28.389999
"133","2007-07-13",28.719999
"134","2007-07-16",28.030001
"135","2007-07-17",28.5
"136","2007-07-18",28.889999
"137","2007-07-19",28.73
"138","2007-07-20",27.709999
"139","2007-07-23",27.5
"140","2007-07-24",27.49
"141","2007-07-25",27.469999
"142","2007-07-26",26.209999
"143","2007-07-27",25.860001
"144","2007-07-30",25.98
"145","2007-07-31",25.25
"146","2007-08-01",25.139999
"147","2007-08-02",25.459999
"148","2007-08-03",24.82
