"","date","CSGP"
"1","2007-01-03",52.150002
"2","2007-01-04",51.939999
"3","2007-01-05",50.669998
"4","2007-01-08",50.580002
"5","2007-01-09",49.990002
"6","2007-01-10",50.41
"7","2007-01-11",50.860001
"8","2007-01-12",51.759998
"9","2007-01-16",51.259998
"10","2007-01-17",50.669998
"11","2007-01-18",50
"12","2007-01-19",50.25
"13","2007-01-22",49.43
"14","2007-01-23",49.360001
"15","2007-01-24",49.57
"16","2007-01-25",48.369999
"17","2007-01-26",48.259998
"18","2007-01-29",48.25
"19","2007-01-30",47.84
"20","2007-01-31",47.470001
"21","2007-02-01",47.919998
"22","2007-02-02",48.110001
"23","2007-02-05",47.540001
"24","2007-02-06",48.48
"25","2007-02-07",48.419998
"26","2007-02-08",48.52
"27","2007-02-09",47.82
"28","2007-02-12",47.740002
"29","2007-02-13",47.490002
"30","2007-02-14",46.869999
"31","2007-02-15",46.57
"32","2007-02-16",46.950001
"33","2007-02-20",47.810001
"34","2007-02-21",46.59
"35","2007-02-22",50.619999
"36","2007-02-23",50.84
"37","2007-02-26",50.57
"38","2007-02-27",49.279999
"39","2007-02-28",46.869999
"40","2007-03-01",46.150002
"41","2007-03-02",44.369999
"42","2007-03-05",43.439999
"43","2007-03-06",44.939999
"44","2007-03-07",44.450001
"45","2007-03-08",44.240002
"46","2007-03-09",44.619999
"47","2007-03-12",44.459999
"48","2007-03-13",44.029999
"49","2007-03-14",43.990002
"50","2007-03-15",44.5
"51","2007-03-16",44.52
"52","2007-03-19",43.950001
"53","2007-03-20",44.130001
"54","2007-03-21",45
"55","2007-03-22",45.189999
"56","2007-03-23",45.560001
"57","2007-03-26",45.490002
"58","2007-03-27",44.610001
"59","2007-03-28",44.16
"60","2007-03-29",44.52
"61","2007-03-30",44.68
"62","2007-04-02",44.950001
"63","2007-04-03",46.84
"64","2007-04-04",46.290001
"65","2007-04-05",47.240002
"66","2007-04-09",47.060001
"67","2007-04-10",47.57
"68","2007-04-11",46.950001
"69","2007-04-12",47.580002
"70","2007-04-13",47.529999
"71","2007-04-16",48.66
"72","2007-04-17",48.419998
"73","2007-04-18",47.529999
"74","2007-04-19",46.580002
"75","2007-04-20",46.279999
"76","2007-04-23",46.509998
"77","2007-04-24",45.68
"78","2007-04-25",45.349998
"79","2007-04-26",49.369999
"80","2007-04-27",49.119999
"81","2007-04-30",48.810001
"82","2007-05-01",49.459999
"83","2007-05-02",49.700001
"84","2007-05-03",49.259998
"85","2007-05-04",49.66
"86","2007-05-07",48.939999
"87","2007-05-08",49.16
"88","2007-05-09",49.259998
"89","2007-05-10",47.700001
"90","2007-05-11",48.740002
"91","2007-05-14",48.110001
"92","2007-05-15",46.77
"93","2007-05-16",47.830002
"94","2007-05-17",47.380001
"95","2007-05-18",48.759998
"96","2007-05-21",49.75
"97","2007-05-22",50.830002
"98","2007-05-23",51.040001
"99","2007-05-24",52.709999
"100","2007-05-25",52.880001
"101","2007-05-29",53.029999
"102","2007-05-30",54.27
"103","2007-05-31",54.259998
"104","2007-06-01",55.709999
"105","2007-06-04",54.740002
"106","2007-06-05",54.119999
"107","2007-06-06",53.389999
"108","2007-06-07",52.470001
"109","2007-06-08",52.59
"110","2007-06-11",52.34
"111","2007-06-12",51.810001
"112","2007-06-13",52.459999
"113","2007-06-14",52.150002
"114","2007-06-15",52.549999
"115","2007-06-18",52.080002
"116","2007-06-19",52.360001
"117","2007-06-20",51.720001
"118","2007-06-21",54.369999
"119","2007-06-22",52.66
"120","2007-06-25",52.98
"121","2007-06-26",53.41
"122","2007-06-27",54.869999
"123","2007-06-28",54.110001
"124","2007-06-29",52.880001
"125","2007-07-02",55.110001
"126","2007-07-03",56.220001
"127","2007-07-05",56.43
"128","2007-07-06",56.25
"129","2007-07-09",55.860001
"130","2007-07-10",53.900002
"131","2007-07-11",54.650002
