"","date","WINT"
"1","2007-01-03",27720
"2","2007-01-04",28224
"3","2007-01-05",28224
"4","2007-01-08",28350
"5","2007-01-09",30240
"6","2007-01-10",30114
"7","2007-01-11",29358
"8","2007-01-12",31122
"9","2007-01-16",31122
"10","2007-01-17",32130
"11","2007-01-18",30996
"12","2007-01-19",32130
"13","2007-01-22",33516
"14","2007-01-23",32130
"15","2007-01-24",31752
"16","2007-01-25",31752
"17","2007-01-26",31878
"18","2007-01-29",30492
"19","2007-01-30",31374
"20","2007-01-31",31626
"21","2007-02-01",31500
"22","2007-02-02",30996
"23","2007-02-05",31248
"24","2007-02-06",31248
"25","2007-02-07",31248
"26","2007-02-08",30744
"27","2007-02-09",29736
"28","2007-02-12",29232
"29","2007-02-13",29232
"30","2007-02-14",29232
"31","2007-02-15",30240
"32","2007-02-16",30744
"33","2007-02-20",29862
"34","2007-02-21",30114
"35","2007-02-22",29736
"36","2007-02-23",30240
"37","2007-02-26",29610
"38","2007-02-27",27720
"39","2007-02-28",27720
"40","2007-03-01",25956
"41","2007-03-02",25830
"42","2007-03-05",24822
"43","2007-03-06",24822
"44","2007-03-07",25956
"45","2007-03-08",25578
"46","2007-03-09",25830
"47","2007-03-12",26208
"48","2007-03-13",26334
"49","2007-03-14",26208
"50","2007-03-15",26334
"51","2007-03-16",25956
"52","2007-03-19",25956
"53","2007-03-20",26334
"54","2007-03-21",26838
"55","2007-03-22",28980
"56","2007-03-23",28728
"57","2007-03-26",28980
"58","2007-03-27",28728
"59","2007-03-28",28476
"60","2007-03-29",28602
"61","2007-03-30",29862
"62","2007-04-02",29232
"63","2007-04-03",28854
"64","2007-04-04",30366
"65","2007-04-05",30870
"66","2007-04-09",31122
"67","2007-04-10",31752
"68","2007-04-11",30996
"69","2007-04-12",31500
"70","2007-04-13",32130
"71","2007-04-16",32760
"72","2007-04-17",33390
"73","2007-04-18",33138
"74","2007-04-19",33516
"75","2007-04-20",34272
"76","2007-04-23",34650
"77","2007-04-24",35658
"78","2007-04-25",35658
"79","2007-04-26",34776
"80","2007-04-27",36414
"81","2007-04-30",37422
"82","2007-05-01",42462
"83","2007-05-02",44352
"84","2007-05-03",40320
"85","2007-05-04",42210
"86","2007-05-07",41202
"87","2007-05-08",41454
"88","2007-05-09",41832
"89","2007-05-10",41076
"90","2007-05-11",41706
"91","2007-05-14",45990
"92","2007-05-15",45864
"93","2007-05-16",45108
"94","2007-05-17",44730
"95","2007-05-18",44352
"96","2007-05-21",42840
"97","2007-05-22",44982
"98","2007-05-23",44730
"99","2007-05-24",43722
"100","2007-05-25",43344
"101","2007-05-29",43344
"102","2007-05-30",41076
"103","2007-05-31",42714
"104","2007-06-01",42966
"105","2007-06-04",43092
"106","2007-06-05",41580
"107","2007-06-06",40824
"108","2007-06-07",41328
"109","2007-06-08",42084
"110","2007-06-11",41202
"111","2007-06-12",40068
"112","2007-06-13",40194
"113","2007-06-14",41202
"114","2007-06-15",42840
"115","2007-06-18",43344
"116","2007-06-19",44226
"117","2007-06-20",43470
"118","2007-06-21",41202
"119","2007-06-22",38808
"120","2007-06-25",38934
"121","2007-06-26",36666
"122","2007-06-27",37422
"123","2007-06-28",36540
"124","2007-06-29",35658
"125","2007-07-02",34650
"126","2007-07-03",34146
"127","2007-07-05",36162
"128","2007-07-06",36540
"129","2007-07-09",35280
"130","2007-07-10",34020
"131","2007-07-11",34272
"132","2007-07-12",34524
"133","2007-07-13",34398
"134","2007-07-16",33390
"135","2007-07-17",32256
"136","2007-07-18",30744
"137","2007-07-19",31374
"138","2007-07-20",30240
"139","2007-07-23",30870
"140","2007-07-24",29484
"141","2007-07-25",29736
"142","2007-07-26",27846
"143","2007-07-27",27090
"144","2007-07-30",26208
"145","2007-07-31",26712
"146","2007-08-01",27216
"147","2007-08-02",26964
"148","2007-08-03",27090
"149","2007-08-06",28854
"150","2007-08-07",30870
"151","2007-08-08",32634
"152","2007-08-09",30744
"153","2007-08-10",28350
"154","2007-08-13",28098
"155","2007-08-14",27594
"156","2007-08-15",27216
"157","2007-08-16",30114
"158","2007-08-17",30114
"159","2007-08-20",28728
"160","2007-08-21",30618
"161","2007-08-22",29862
"162","2007-08-23",29232
"163","2007-08-24",30240
"164","2007-08-27",29106
"165","2007-08-28",28350
"166","2007-08-29",29736
"167","2007-08-30",28854
"168","2007-08-31",29106
"169","2007-09-04",31122
"170","2007-09-05",31374
"171","2007-09-06",33894
"172","2007-09-07",33390
"173","2007-09-10",32382
"174","2007-09-11",34020
"175","2007-09-12",33390
"176","2007-09-13",33516
"177","2007-09-14",34398
"178","2007-09-17",33138
"179","2007-09-18",34146
"180","2007-09-19",35406
"181","2007-09-20",35784
"182","2007-09-21",35910
"183","2007-09-24",34524
"184","2007-09-25",34020
"185","2007-09-26",36036
"186","2007-09-27",35406
"187","2007-09-28",33894
"188","2007-10-01",39816
"189","2007-10-02",39564
"190","2007-10-03",37800
"191","2007-10-04",37170
"192","2007-10-05",36792
"193","2007-10-08",35910
"194","2007-10-09",36288
"195","2007-10-10",35154
"196","2007-10-11",33768
"197","2007-10-12",33516
"198","2007-10-15",31878
"199","2007-10-16",31500
"200","2007-10-17",31752
"201","2007-10-18",31374
"202","2007-10-19",30744
"203","2007-10-22",29988
"204","2007-10-23",30114
"205","2007-10-24",30366
"206","2007-10-25",30366
"207","2007-10-26",31248
"208","2007-10-29",30996
"209","2007-10-30",29862
"210","2007-10-31",31374
"211","2007-11-01",29106
"212","2007-11-02",29610
