"","date","LEE"
"1","2007-01-03",30.700001
"2","2007-01-04",30.540001
"3","2007-01-05",30.059999
"4","2007-01-08",30.030001
"5","2007-01-09",30.32
"6","2007-01-10",29.93
"7","2007-01-11",30.25
"8","2007-01-12",30.33
"9","2007-01-16",30.23
"10","2007-01-17",31.879999
"11","2007-01-18",31.84
"12","2007-01-19",31.58
"13","2007-01-22",31.530001
"14","2007-01-23",32.16
"15","2007-01-24",33.130001
"16","2007-01-25",32.529999
"17","2007-01-26",32.450001
"18","2007-01-29",32.73
"19","2007-01-30",32.889999
"20","2007-01-31",33.23
"21","2007-02-01",33.150002
"22","2007-02-02",33.830002
"23","2007-02-05",33.580002
"24","2007-02-06",33.720001
"25","2007-02-07",33.849998
"26","2007-02-08",34.459999
"27","2007-02-09",34.07
"28","2007-02-12",33.900002
"29","2007-02-13",34.18
"30","2007-02-14",34.650002
"31","2007-02-15",35.130001
"32","2007-02-16",35.509998
"33","2007-02-20",34.400002
"34","2007-02-21",33.970001
"35","2007-02-22",34.32
"36","2007-02-23",34.360001
"37","2007-02-26",34.400002
"38","2007-02-27",32.75
"39","2007-02-28",31.860001
"40","2007-03-01",32.099998
"41","2007-03-02",31.459999
"42","2007-03-05",30.73
"43","2007-03-06",31.09
"44","2007-03-07",30.870001
"45","2007-03-08",30.690001
"46","2007-03-09",30.74
"47","2007-03-12",30.92
"48","2007-03-13",30.58
"49","2007-03-14",30.9
"50","2007-03-15",31.120001
"51","2007-03-16",30.51
"52","2007-03-19",30.530001
"53","2007-03-20",30.280001
"54","2007-03-21",30.209999
"55","2007-03-22",29.889999
"56","2007-03-23",30
"57","2007-03-26",29.98
"58","2007-03-27",29.860001
"59","2007-03-28",29.780001
"60","2007-03-29",29.879999
"61","2007-03-30",30.049999
"62","2007-04-02",30.02
"63","2007-04-03",29.790001
"64","2007-04-04",29.860001
"65","2007-04-05",30.01
"66","2007-04-09",29.83
"67","2007-04-10",30
"68","2007-04-11",29.35
"69","2007-04-12",30.129999
"70","2007-04-13",30.17
"71","2007-04-16",30.6
"72","2007-04-17",30.77
"73","2007-04-18",30.6
"74","2007-04-19",30.08
