"","date","PROF"
"1","2019-10-29",9.707
"2","2019-10-30",9.584
"3","2019-10-31",9.58
"4","2019-11-01",9.555
"5","2019-11-04",9.51
"6","2019-11-05",9.6
"7","2019-11-06",9.56
"8","2019-11-07",9.33
"9","2019-11-08",9.39
"10","2019-11-11",8.81
"11","2019-11-12",8.727
"12","2019-11-13",8.636
"13","2019-11-14",8.57
"14","2019-11-15",8.7
"15","2019-11-18",8.5
"16","2019-11-19",8.29
"17","2019-11-20",8.331
"18","2019-11-21",8.34
"19","2019-11-22",8.27
"20","2019-11-25",8.356
"21","2019-11-26",7.97
"22","2019-11-27",7.8
"23","2019-11-29",7.85
"24","2019-12-02",7.75
"25","2019-12-03",7.805
"26","2019-12-04",8.05
"27","2019-12-05",8.35
"28","2019-12-06",8.48
"29","2019-12-09",9.128
"30","2019-12-10",9.4
"31","2019-12-11",9.66
"32","2019-12-12",9.46
"33","2019-12-13",9.56
"34","2019-12-16",9.76
"35","2019-12-17",9.9
"36","2019-12-18",10
"37","2019-12-19",9.95
"38","2019-12-20",9.87
"39","2019-12-23",10.15
"40","2019-12-24",10.588
"41","2019-12-26",11.95
"42","2019-12-27",10.67
"43","2019-12-30",10.963
"44","2019-12-31",10.95
"45","2020-01-02",10.59
"46","2020-01-03",10.3
"47","2020-01-06",10.19
"48","2020-01-07",10.079
"49","2020-01-08",10
"50","2020-01-09",9.9
"51","2020-01-10",11.25
"52","2020-01-13",12.971
"53","2020-01-14",12.64
"54","2020-01-15",13.01
"55","2020-01-16",13.079
"56","2020-01-17",13.011
"57","2020-01-21",12.4
"58","2020-01-22",12.49
"59","2020-01-23",12.21
"60","2020-01-24",12.13
"61","2020-01-27",11.98
"62","2020-01-28",13.7
"63","2020-01-29",14.34
"64","2020-01-30",15.67
"65","2020-01-31",16.690001
"66","2020-02-03",16.709999
"67","2020-02-04",17.27
"68","2020-02-05",17.860001
"69","2020-02-06",19.309999
"70","2020-02-07",19.700001
"71","2020-02-10",18.34
"72","2020-02-11",17.389999
"73","2020-02-12",16.18
"74","2020-02-13",17.620001
"75","2020-02-14",16.91
"76","2020-02-18",17.059999
"77","2020-02-19",16.51
"78","2020-02-20",16.67
"79","2020-02-21",16.77
"80","2020-02-24",15.96
"81","2020-02-25",14.84
"82","2020-02-26",14.72
"83","2020-02-27",14.49
"84","2020-02-28",13.05
"85","2020-03-02",13.49
"86","2020-03-03",13.17
"87","2020-03-04",14.79
"88","2020-03-05",14.19
"89","2020-03-06",13.88
"90","2020-03-09",12.01
"91","2020-03-10",11.56
"92","2020-03-11",10.99
"93","2020-03-12",9.25
"94","2020-03-13",10.12
"95","2020-03-16",9.29
"96","2020-03-17",9.3
"97","2020-03-18",7.55
"98","2020-03-19",7.65
"99","2020-03-20",7.74
"100","2020-03-23",6.875
"101","2020-03-24",7.92
"102","2020-03-25",8.93
"103","2020-03-26",10.06
"104","2020-03-27",9.4
"105","2020-03-30",9.79
"106","2020-03-31",9.74
"107","2020-04-01",9.41
"108","2020-04-02",9.67
"109","2020-04-03",9.75
"110","2020-04-06",10.31
"111","2020-04-07",10.68
"112","2020-04-08",12.08
"113","2020-04-09",11.62
"114","2020-04-13",11.96
"115","2020-04-14",12.58
"116","2020-04-15",12.2
"117","2020-04-16",11.8
"118","2020-04-17",11.84
"119","2020-04-20",12
"120","2020-04-21",11.66
"121","2020-04-22",11.77
"122","2020-04-23",12.32
"123","2020-04-24",12.71
"124","2020-04-27",13.09
"125","2020-04-28",13.65
"126","2020-04-29",14.47
"127","2020-04-30",13.47
"128","2020-05-01",12.46
"129","2020-05-04",12.21
"130","2020-05-05",12.25
"131","2020-05-06",12.78
"132","2020-05-07",13.05
"133","2020-05-08",13.61
"134","2020-05-11",13.42
"135","2020-05-12",13.4
"136","2020-05-13",12.25
"137","2020-05-14",12.17
"138","2020-05-15",12.62
"139","2020-05-18",12.33
"140","2020-05-19",12.66
"141","2020-05-20",12.55
"142","2020-05-21",11.37
"143","2020-05-22",11.89
"144","2020-05-26",12.2
"145","2020-05-27",12.52
"146","2020-05-28",12.2
"147","2020-05-29",12.34
"148","2020-06-01",12.82
"149","2020-06-02",12.02
"150","2020-06-03",12.5
"151","2020-06-04",12.57
"152","2020-06-05",12.85
"153","2020-06-08",13.33
"154","2020-06-09",13.35
"155","2020-06-10",12.71
"156","2020-06-11",12.46
"157","2020-06-12",12.16
"158","2020-06-15",12.13
"159","2020-06-16",12.4
"160","2020-06-17",12.45
"161","2020-06-18",12.47
"162","2020-06-19",13.03
"163","2020-06-22",13.45
"164","2020-06-23",15.13
"165","2020-06-24",14.65
"166","2020-06-25",14.36
"167","2020-06-26",16.08
"168","2020-06-29",16.08
"169","2020-06-30",16.940001
"170","2020-07-01",17.59
"171","2020-07-02",17.49
"172","2020-07-06",17.030001
"173","2020-07-07",18.129999
"174","2020-07-08",17.709999
"175","2020-07-09",17.85
