"","date","SAGE"
"192","2015-04-22",59.5
"193","2015-04-23",59.939999
"194","2015-04-24",58.57
"195","2015-04-27",54.580002
"196","2015-04-28",53.990002
"197","2015-04-29",54.799999
"198","2015-04-30",53
"199","2015-05-01",54.639999
"200","2015-05-04",57.849998
"201","2015-05-05",54.75
"202","2015-05-06",55.16
"203","2015-05-07",54.860001
"204","2015-05-08",55.990002
"205","2015-05-11",56.580002
"206","2015-05-12",57.93
"207","2015-05-13",57.290001
"208","2015-05-14",58.290001
"209","2015-05-15",58.439999
"210","2015-05-18",59.5
"211","2015-05-19",58.939999
"212","2015-05-20",63.009998
"213","2015-05-21",68.300003
"214","2015-05-22",68.980003
"215","2015-05-26",71
"216","2015-05-27",69.639999
"217","2015-05-28",73.129997
"218","2015-05-29",74.870003
"219","2015-06-01",70.779999
"220","2015-06-02",73.809998
"221","2015-06-03",75.269997
"222","2015-06-04",78.610001
"223","2015-06-05",80.82
"224","2015-06-08",75.150002
"225","2015-06-09",86.709999
"226","2015-06-10",81.970001
"227","2015-06-11",84.599998
"228","2015-06-12",85.480003
"229","2015-06-15",78.040001
"230","2015-06-16",75.830002
"231","2015-06-17",77.25
"232","2015-06-18",76.529999
"233","2015-06-19",70.529999
"234","2015-06-22",72.120003
"235","2015-06-23",74.480003
"236","2015-06-24",74.07
"237","2015-06-25",72.389999
"238","2015-06-26",70.610001
"239","2015-06-29",68.830002
"240","2015-06-30",73
"241","2015-07-01",69.260002
"242","2015-07-02",68.910004
"243","2015-07-06",70.860001
"244","2015-07-07",69.870003
"245","2015-07-08",66.970001
"246","2015-07-09",69.769997
"247","2015-07-10",72.870003
"248","2015-07-13",73.260002
"249","2015-07-14",75.529999
"250","2015-07-15",73.059998
"251","2015-07-16",74.529999
"252","2015-07-17",76.349998
"253","2015-07-20",73.029999
"254","2015-07-21",74.690002
"255","2015-07-22",76.980003
"256","2015-07-23",75.18
"257","2015-07-24",72.449997
"258","2015-07-27",69.279999
"259","2015-07-28",72.830002
"260","2015-07-29",68.940002
"261","2015-07-30",67.760002
"262","2015-07-31",68.360001
"263","2015-08-03",67.760002
"264","2015-08-04",68.629997
"265","2015-08-05",71.309998
"266","2015-08-06",66.949997
"267","2015-08-07",65.510002
"268","2015-08-10",67.290001
"269","2015-08-11",63.880001
"270","2015-08-12",62.470001
"271","2015-08-13",59.75
"272","2015-08-14",58.630001
"273","2015-08-17",62.59
"274","2015-08-18",56.950001
"275","2015-08-19",54.91
"276","2015-08-20",54.490002
"277","2015-08-21",54.279999
"278","2015-08-24",50.740002
"279","2015-08-25",51.720001
"280","2015-08-26",50.389999
"281","2015-08-27",52.919998
"282","2015-08-28",53.599998
"283","2015-08-31",54.009998
"284","2015-09-01",51.880001
"285","2015-09-02",54.77
