"","date","UNVR"
"1","2015-06-17",22
"2","2015-06-18",25.4
"3","2015-06-19",27.25
"4","2015-06-22",26.75
"5","2015-06-23",27
"6","2015-06-24",26.15
"7","2015-06-25",26.33
"8","2015-06-26",26.49
"9","2015-06-29",25.99
"10","2015-06-30",26.030001
"11","2015-07-01",25.959999
"12","2015-07-02",25.940001
"13","2015-07-06",25.309999
"14","2015-07-07",25.41
"15","2015-07-08",24.860001
"16","2015-07-09",24.91
"17","2015-07-10",24.9
"18","2015-07-13",25.059999
"19","2015-07-14",24.91
"20","2015-07-15",24.99
"21","2015-07-16",24.91
"22","2015-07-17",25.01
"23","2015-07-20",24.540001
"24","2015-07-21",24.48
"25","2015-07-22",24.5
"26","2015-07-23",24.5
"27","2015-07-24",24.360001
"28","2015-07-27",23.65
"29","2015-07-28",22.84
"30","2015-07-29",22.129999
"31","2015-07-30",23.940001
"32","2015-07-31",23.9
"33","2015-08-03",22.709999
"34","2015-08-04",22.91
"35","2015-08-05",23.469999
"36","2015-08-06",23.42
"37","2015-08-07",23.43
"38","2015-08-10",23.209999
"39","2015-08-11",22.65
"40","2015-08-12",22.209999
"41","2015-08-13",22.82
"42","2015-08-14",22.040001
"43","2015-08-17",22.200001
"44","2015-08-18",22.370001
"45","2015-08-19",22.52
"46","2015-08-20",22.459999
"47","2015-08-21",22.030001
"48","2015-08-24",21.49
"49","2015-08-25",21.15
"50","2015-08-26",21.57
"51","2015-08-27",22.120001
"52","2015-08-28",22.27
"53","2015-08-31",22.639999
"54","2015-09-01",22.5
"55","2015-09-02",22.620001
"56","2015-09-03",23.07
"57","2015-09-04",22.49
"58","2015-09-08",22.799999
"59","2015-09-09",22.48
"60","2015-09-10",22.879999
"61","2015-09-11",22.99
"62","2015-09-14",22.74
"63","2015-09-15",22.700001
"64","2015-09-16",23
"65","2015-09-17",22.59
"66","2015-09-18",20.77
"67","2015-09-21",20.370001
"68","2015-09-22",20.379999
"69","2015-09-23",20.33
"70","2015-09-24",20.65
"71","2015-09-25",20.469999
"72","2015-09-28",19.09
"73","2015-09-29",19.120001
"74","2015-09-30",18.15
"75","2015-10-01",17.540001
"76","2015-10-02",17.18
"77","2015-10-05",18.030001
"78","2015-10-06",18.129999
"79","2015-10-07",18.139999
"80","2015-10-08",18.74
"81","2015-10-09",19.379999
"82","2015-10-12",19.18
"83","2015-10-13",19.02
"84","2015-10-14",18.73
"85","2015-10-15",19.07
"86","2015-10-16",18.610001
"87","2015-10-19",18.450001
"88","2015-10-20",18.68
"89","2015-10-21",18.4
"90","2015-10-22",18.549999
"91","2015-10-23",17.99
"92","2015-10-26",17.98
"93","2015-10-27",18
"94","2015-10-28",17.700001
"95","2015-10-29",17.620001
"96","2015-10-30",17.66
"97","2015-11-02",18.27
"98","2015-11-03",19.110001
"99","2015-11-04",19.99
"100","2015-11-05",19.32
"101","2015-11-06",19.940001
"102","2015-11-09",18.950001
"103","2015-11-10",18.370001
"104","2015-11-11",18.379999
"105","2015-11-12",18.309999
"106","2015-11-13",18.59
"107","2015-11-16",18.870001
"108","2015-11-17",18.5
"109","2015-11-18",19.01
"110","2015-11-19",19.389999
"111","2015-11-20",19
"112","2015-11-23",19.219999
"113","2015-11-24",19.51
"114","2015-11-25",19.4
"115","2015-11-27",19.01
"116","2015-11-30",18.940001
"117","2015-12-01",18.49
"118","2015-12-02",18.42
"119","2015-12-03",18.030001
"120","2015-12-04",18.24
"121","2015-12-07",17.33
"122","2015-12-08",16.940001
"123","2015-12-09",16.950001
"124","2015-12-10",17.09
"125","2015-12-11",16.809999
"126","2015-12-14",16.280001
"127","2015-12-15",16.620001
"128","2015-12-16",16.959999
"129","2015-12-17",16.690001
"130","2015-12-18",16.68
"131","2015-12-21",16.799999
"132","2015-12-22",17.559999
"133","2015-12-23",17.799999
"134","2015-12-24",17.799999
"135","2015-12-28",17.309999
"136","2015-12-29",16.99
"137","2015-12-30",16.889999
"138","2015-12-31",17.01
"139","2016-01-04",16.389999
"140","2016-01-05",16.120001
"141","2016-01-06",15.83
"142","2016-01-07",15.5
"143","2016-01-08",15.05
"144","2016-01-11",15.03
"145","2016-01-12",14.68
"146","2016-01-13",14.32
"147","2016-01-14",14.87
"148","2016-01-15",14.3
"149","2016-01-19",14.26
"150","2016-01-20",12.75
"151","2016-01-21",12.85
"152","2016-01-22",13.28
"153","2016-01-25",12.9
"154","2016-01-26",12.87
"155","2016-01-27",12.68
"156","2016-01-28",12.43
"157","2016-01-29",12.71
"158","2016-02-01",12.57
"159","2016-02-02",11.68
"160","2016-02-03",11.71
"161","2016-02-04",12.79
"162","2016-02-05",11.97
"163","2016-02-08",11.74
"164","2016-02-09",11.39
"165","2016-02-10",11.12
"166","2016-02-11",11.12
"167","2016-02-12",11.99
"168","2016-02-16",12.17
"169","2016-02-17",12.92
"170","2016-02-18",12.88
"171","2016-02-19",12.96
"172","2016-02-22",13.96
"173","2016-02-23",13.9
"174","2016-02-24",14.01
"175","2016-02-25",15.43
"176","2016-02-26",15.28
"177","2016-02-29",15.73
"178","2016-03-01",16.18
