"","date","MITK"
"1","2007-01-03",1.02
"2","2007-01-04",1.01
"3","2007-01-05",1.01
"4","2007-01-08",0.97
"5","2007-01-09",1.01
"6","2007-01-10",1.03
"7","2007-01-11",1.04
"8","2007-01-12",1
"9","2007-01-16",1.01
"10","2007-01-17",0.96
"11","2007-01-18",0.95
"12","2007-01-19",0.95
"13","2007-01-22",0.95
"14","2007-01-23",0.93
"15","2007-01-24",0.95
"16","2007-01-25",0.9
"17","2007-01-26",0.79
"18","2007-01-29",0.73
"19","2007-01-30",0.74
"20","2007-01-31",0.74
"21","2007-02-01",0.7
"22","2007-02-02",0.74
"23","2007-02-05",0.71
"24","2007-02-06",0.71
"25","2007-02-07",0.7
"26","2007-02-08",0.7
"27","2007-02-09",0.72
"28","2007-02-12",0.72
"29","2007-02-13",0.79
"30","2007-02-14",0.74
"31","2007-02-15",0.7
"32","2007-02-16",0.7
"33","2007-02-20",0.71
"34","2007-02-21",0.71
"35","2007-02-22",0.71
"36","2007-02-23",0.74
"37","2007-02-26",0.72
"38","2007-02-27",0.72
"39","2007-02-28",0.75
"40","2007-03-01",0.72
"41","2007-03-02",0.72
"42","2007-03-05",0.7
"43","2007-03-06",0.7
"44","2007-03-07",0.68
"45","2007-03-08",0.68
"46","2007-03-09",0.68
"47","2007-03-12",0.68
"48","2007-03-13",0.67
"49","2007-03-14",0.67
"50","2007-03-15",0.67
"51","2007-03-16",0.67
"52","2007-03-19",0.68
"53","2007-03-20",0.73
"54","2007-03-21",0.73
"55","2007-03-22",0.74
"56","2007-03-23",0.77
"57","2007-03-26",0.77
"58","2007-03-27",0.7
"59","2007-03-28",0.67
"60","2007-03-29",0.67
"61","2007-03-30",0.67
"62","2007-04-02",0.68
"63","2007-04-03",0.68
"64","2007-04-04",0.66
"65","2007-04-05",0.72
"66","2007-04-09",0.74
"67","2007-04-10",0.7
"68","2007-04-11",0.7
"69","2007-04-12",0.7
"70","2007-04-13",0.7
"71","2007-04-16",0.74
"72","2007-04-17",0.69
"73","2007-04-18",0.7
"74","2007-04-19",0.7
"75","2007-04-20",0.74
"76","2007-04-23",0.73
"77","2007-04-24",0.72
"78","2007-04-25",0.75
"79","2007-04-26",0.76
"80","2007-04-27",0.72
"81","2007-04-30",0.72
"82","2007-05-01",0.7
"83","2007-05-02",0.7
"84","2007-05-03",0.69
"85","2007-05-04",0.68
"86","2007-05-07",0.73
"87","2007-05-08",0.65
"88","2007-05-09",0.63
"89","2007-05-10",0.63
"90","2007-05-11",0.67
"91","2007-05-14",0.72
"92","2007-05-15",0.72
"93","2007-05-16",0.72
"94","2007-05-17",0.72
"95","2007-05-18",0.68
"96","2007-05-21",0.67
"97","2007-05-22",0.67
"98","2007-05-23",0.74
"99","2007-05-24",0.64
"100","2007-05-25",0.64
"101","2007-05-29",0.64
"102","2007-05-30",0.7
"103","2007-05-31",0.64
"104","2007-06-01",0.64
"105","2007-06-04",0.64
