"","date","IESC"
"1","2007-01-03",18.120001
"2","2007-01-04",18.5
"3","2007-01-05",18.389999
"4","2007-01-08",19.42
"5","2007-01-09",19.450001
"6","2007-01-10",19.99
"7","2007-01-11",21.52
"8","2007-01-12",22.24
"9","2007-01-16",23
"10","2007-01-17",22.75
"11","2007-01-18",22.610001
"12","2007-01-19",22.99
"13","2007-01-22",22.49
"14","2007-01-23",22.85
"15","2007-01-24",22.84
"16","2007-01-25",22.440001
"17","2007-01-26",22.16
"18","2007-01-29",22.58
"19","2007-01-30",23.280001
"20","2007-01-31",23.48
"21","2007-02-01",23.540001
"22","2007-02-02",23.74
"23","2007-02-05",24.200001
"24","2007-02-06",24.540001
"25","2007-02-07",24.190001
"26","2007-02-08",23.969999
"27","2007-02-09",23.610001
"28","2007-02-12",24.280001
"29","2007-02-13",24.76
"30","2007-02-14",24.26
"31","2007-02-15",24
"32","2007-02-16",23.549999
"33","2007-02-20",23.99
"34","2007-02-21",24.27
"35","2007-02-22",25.139999
"36","2007-02-23",24.99
"37","2007-02-26",25.030001
"38","2007-02-27",23.49
"39","2007-02-28",23.450001
"40","2007-03-01",23.110001
"41","2007-03-02",23.02
"42","2007-03-05",23.030001
"43","2007-03-06",23.5
"44","2007-03-07",23.469999
"45","2007-03-08",23.93
"46","2007-03-09",24.040001
"47","2007-03-12",23.940001
"48","2007-03-13",23.709999
"49","2007-03-14",23.559999
"50","2007-03-15",24.059999
"51","2007-03-16",24.299999
"52","2007-03-19",24.98
"53","2007-03-20",25.049999
"54","2007-03-21",25.84
"55","2007-03-22",26.709999
"56","2007-03-23",26.84
"57","2007-03-26",26.959999
"58","2007-03-27",25.76
"59","2007-03-28",24.76
"60","2007-03-29",25.059999
"61","2007-03-30",24.73
"62","2007-04-02",25.26
"63","2007-04-03",25.33
"64","2007-04-04",25.040001
"65","2007-04-05",25.41
"66","2007-04-09",25.09
"67","2007-04-10",25.08
"68","2007-04-11",25
"69","2007-04-12",24.6
"70","2007-04-13",24.73
"71","2007-04-16",25.790001
"72","2007-04-17",25.219999
"73","2007-04-18",25.33
"74","2007-04-19",25.43
"75","2007-04-20",26.27
"76","2007-04-23",25.799999
"77","2007-04-24",25.219999
"78","2007-04-25",25.200001
"79","2007-04-26",24.84
"80","2007-04-27",24.76
"81","2007-04-30",23.860001
"82","2007-05-01",24.43
"83","2007-05-02",26.129999
"84","2007-05-03",26.75
"85","2007-05-04",26.66
"86","2007-05-07",26.41
"87","2007-05-08",25.01
"88","2007-05-09",25.98
"89","2007-05-10",24.91
"90","2007-05-11",25.17
"91","2007-05-14",24.860001
"92","2007-05-15",23.84
"93","2007-05-16",24.370001
"94","2007-05-17",23.77
"95","2007-05-18",24.440001
"96","2007-05-21",24.299999
"97","2007-05-22",25.48
"98","2007-05-23",26
"99","2007-05-24",25.98
"100","2007-05-25",26.34
"101","2007-05-29",27.110001
"102","2007-05-30",27.08
"103","2007-05-31",26.48
"104","2007-06-01",27.23
"105","2007-06-04",27.610001
"106","2007-06-05",28.120001
"107","2007-06-06",28.1
"108","2007-06-07",27.75
"109","2007-06-08",28.77
"110","2007-06-11",30.85
"111","2007-06-12",31.299999
"112","2007-06-13",31.780001
"113","2007-06-14",32.240002
"114","2007-06-15",33.029999
"115","2007-06-18",33.349998
"116","2007-06-19",33.919998
"117","2007-06-20",32.43
"118","2007-06-21",31.18
"119","2007-06-22",31.32
"120","2007-06-25",31.85
