"","date","SIX"
"1","2010-05-11",9.75
"2","2010-05-12",9.375
"3","2010-05-13",9.375
"4","2010-05-14",9.325
"5","2010-05-17",9.2875
"6","2010-05-18",9.175
"7","2010-05-19",9.125
"8","2010-05-20",9
"9","2010-05-21",9.0625
"10","2010-05-24",8.875
"11","2010-05-25",8.75
"12","2010-05-26",8.775
"13","2010-05-27",9
"14","2010-05-28",8.75
"15","2010-06-01",8.75
"16","2010-06-02",8.625
"17","2010-06-03",8.595
"18","2010-06-04",8.125
"19","2010-06-07",8.3125
"20","2010-06-08",8.375
"21","2010-06-09",8.5
"22","2010-06-10",8.5
"23","2010-06-11",8.5625
"24","2010-06-14",8.875
"25","2010-06-15",9.0625
"26","2010-06-16",9.025
"27","2010-06-17",9
"28","2010-06-18",9.0625
"29","2010-06-21",9.1225
"30","2010-06-22",9
"31","2010-06-23",9.1475
"32","2010-06-24",8.59
"33","2010-06-25",8.5625
"34","2010-06-28",8.475
"35","2010-06-29",8.4425
"36","2010-06-30",8.4075
"37","2010-07-01",8.25
"38","2010-07-02",8.25
"39","2010-07-06",8.0025
"40","2010-07-07",8.0625
"41","2010-07-08",8.2125
"42","2010-07-09",8.195
"43","2010-07-12",8.1975
"44","2010-07-13",8.4125
"45","2010-07-14",8.48
"46","2010-07-15",8.5025
"47","2010-07-16",8.52
"48","2010-07-19",8.27
"49","2010-07-20",8.29
"50","2010-07-21",8.25
"51","2010-07-22",8.25
"52","2010-07-23",8.27
"53","2010-07-26",8.26
"54","2010-07-27",8.2
"55","2010-07-28",8.135
"56","2010-07-29",8.0875
"57","2010-07-30",8.1175
"58","2010-08-02",8.125
"59","2010-08-03",8.1
"60","2010-08-04",8.1
"61","2010-08-05",8.0975
"62","2010-08-06",8.1225
"63","2010-08-09",8.1675
"64","2010-08-10",8.1
"65","2010-08-11",7.9975
"66","2010-08-12",7.9975
"67","2010-08-13",8
"68","2010-08-16",8.4325
"69","2010-08-17",8.5775
"70","2010-08-18",8.7175
"71","2010-08-19",8.7875
"72","2010-08-20",8.85
"73","2010-08-23",8.9375
"74","2010-08-24",8.92
"75","2010-08-25",8.95
"76","2010-08-26",9.0775
"77","2010-08-27",9.2425
"78","2010-08-30",9.4925
"79","2010-08-31",9.4525
"80","2010-09-01",9.77
"81","2010-09-02",10.245
"82","2010-09-03",10.2425
"83","2010-09-07",10.0025
"84","2010-09-08",10.075
"85","2010-09-09",10.09
"86","2010-09-10",10.1425
"87","2010-09-13",10.28
"88","2010-09-14",10.5375
