"","date","REED"
"1","2007-05-01",8
"2","2007-05-02",8.12
"3","2007-05-03",8.3
"4","2007-05-04",7.6
"5","2007-05-07",7.7
"6","2007-05-08",7.8
"7","2007-05-09",7.61
"8","2007-05-10",7.7
"9","2007-05-11",7.65
"10","2007-05-14",7
"11","2007-05-15",7.25
"12","2007-05-16",6.67
"13","2007-05-17",7.15
"14","2007-05-18",7.42
"15","2007-05-21",7.25
"16","2007-05-22",7
"17","2007-05-23",7.32
"18","2007-05-24",7.3
"19","2007-05-25",7.35
"20","2007-05-29",7
"21","2007-05-30",6.74
"22","2007-05-31",7.4
"23","2007-06-01",7.95
"24","2007-06-04",7.55
"25","2007-06-05",7.2
"26","2007-06-06",7.1
"27","2007-06-07",6.9
"28","2007-06-08",7
"29","2007-06-11",6.89
"30","2007-06-12",6.89
"31","2007-06-13",6.85
"32","2007-06-14",6.7
"33","2007-06-15",7
"34","2007-06-18",6.75
"35","2007-06-19",7.55
"36","2007-06-20",7.99
"37","2007-06-21",7.85
"38","2007-06-22",7.6
"39","2007-06-25",7.8
"40","2007-06-26",7.74
"41","2007-06-27",7.51
"42","2007-06-28",7.65
"43","2007-06-29",7.25
"44","2007-07-02",7.5
"45","2007-07-03",7.45
"46","2007-07-05",7.18
"47","2007-07-06",7.84
"48","2007-07-09",8.2
"49","2007-07-10",8.2
"50","2007-07-11",8
"51","2007-07-12",8
"52","2007-07-13",7.7
"53","2007-07-16",8.1
"54","2007-07-17",8.71
"55","2007-07-18",9.9
"56","2007-07-19",9
"57","2007-07-20",9.75
"58","2007-07-23",8.8
"59","2007-07-24",8.86
"60","2007-07-25",9.2
"61","2007-07-26",9
"62","2007-07-27",9.05
"63","2007-07-30",9.66
"64","2007-07-31",9.55
"65","2007-08-01",9.95
"66","2007-08-02",10.55
"67","2007-08-03",9.65
"68","2007-08-06",10.01
"69","2007-08-07",9.9
"70","2007-08-08",9.85
"71","2007-08-09",9.05
"72","2007-08-10",9.5
"73","2007-08-13",9.25
"74","2007-08-14",9.05
"75","2007-08-15",8.75
"76","2007-08-16",8.23
"77","2007-08-17",8.5
"78","2007-08-20",8.45
"79","2007-08-21",8.2
"80","2007-08-22",8
"81","2007-08-23",7.75
"82","2007-08-24",7.75
"83","2007-08-27",7.75
"84","2007-08-28",7.61
"85","2007-08-29",7.75
"86","2007-08-30",7.4
"87","2007-08-31",7.8
"88","2007-09-04",7.8
"89","2007-09-05",7.85
"90","2007-09-06",7.77
"91","2007-09-07",7.75
"92","2007-09-10",8
"93","2007-09-11",7.7
"94","2007-09-12",7.7
"95","2007-09-13",7.52
"96","2007-09-14",7.69
"97","2007-09-17",7.6
"98","2007-09-18",7.6
"99","2007-09-19",7.73
"100","2007-09-20",7.5
"101","2007-09-21",7.4
"102","2007-09-24",6.92
"103","2007-09-25",6.95
"104","2007-09-26",6.75
"105","2007-09-27",6.85
"106","2007-09-28",7.05
"107","2007-10-01",6.6
"108","2007-10-02",6.8
"109","2007-10-03",7.35
"110","2007-10-04",7.34
"111","2007-10-05",7.25
"112","2007-10-08",7.3
"113","2007-10-09",7.3
"114","2007-10-10",7.34
"115","2007-10-11",7.2
"116","2007-10-12",7
"117","2007-10-15",7.2
"118","2007-10-16",7.1
"119","2007-10-17",6.85
"120","2007-10-18",7
"121","2007-10-19",6.95
"122","2007-10-22",7.24
"123","2007-10-23",7.25
"124","2007-10-24",7
"125","2007-10-25",6.85
"126","2007-10-26",6.8
"127","2007-10-29",7
"128","2007-10-30",7
"129","2007-10-31",7
"130","2007-11-01",7
"131","2007-11-02",7.09
"132","2007-11-05",7
"133","2007-11-06",6.9
"134","2007-11-07",6.6
"135","2007-11-08",6.4
"136","2007-11-09",6.55
"137","2007-11-12",6
"138","2007-11-13",5.4
"139","2007-11-14",5.7
"140","2007-11-15",6.15
"141","2007-11-16",6.11
"142","2007-11-19",6
"143","2007-11-20",6.05
"144","2007-11-21",6.05
"145","2007-11-23",6.4
"146","2007-11-26",6.6
"147","2007-11-27",6.75
"148","2007-11-28",7.18
"149","2007-11-29",6.4
"150","2007-11-30",6.97
"151","2007-12-03",7.23
"152","2007-12-04",6.8
"153","2007-12-05",7.28
"154","2007-12-06",7.15
"155","2007-12-07",7.28
"156","2007-12-10",7.2
"157","2007-12-11",6.55
"158","2007-12-12",6.89
"159","2007-12-13",6.94
"160","2007-12-14",6.38
"161","2007-12-17",6.04
"162","2007-12-18",6.11
"163","2007-12-19",5.93
"164","2007-12-20",6
"165","2007-12-21",5.35
"166","2007-12-24",6.11
"167","2007-12-26",6
"168","2007-12-27",5.95
"169","2007-12-28",5.88
"170","2007-12-31",5.84
"171","2008-01-02",5.99
"172","2008-01-03",5.65
"173","2008-01-04",5.75
"174","2008-01-07",5.63
"175","2008-01-08",5.5
"176","2008-01-09",5.58
"177","2008-01-10",5.3
"178","2008-01-11",5
"179","2008-01-14",4.88
"180","2008-01-15",4.19
"181","2008-01-16",4.25
"182","2008-01-17",4.48
"183","2008-01-18",5.25
"184","2008-01-22",5
"185","2008-01-23",4.85
"186","2008-01-24",5.23
"187","2008-01-25",5
"188","2008-01-28",4.84
"189","2008-01-29",4.85
"190","2008-01-30",4.76
