"","date","OPI"
"1","2009-06-04",76.599998
"2","2009-06-05",78
"3","2009-06-08",77.32
"4","2009-06-09",75.279999
"5","2009-06-10",74.360001
"6","2009-06-11",75.199997
"7","2009-06-12",74.400002
"8","2009-06-15",75.800003
"9","2009-06-16",77.199997
"10","2009-06-17",77.199997
"11","2009-06-18",77.599998
"12","2009-06-19",78.68
"13","2009-06-22",79.800003
"14","2009-06-23",79.519997
"15","2009-06-24",80.080002
"16","2009-06-25",80.160004
"17","2009-06-26",81
"18","2009-06-29",81.599998
"19","2009-06-30",82.120003
"20","2009-07-01",81.720001
"21","2009-07-02",80
"22","2009-07-06",78.839996
"23","2009-07-07",80.120003
"24","2009-07-08",79
"25","2009-07-09",78.120003
"26","2009-07-10",78.080002
"27","2009-07-13",76.959999
"28","2009-07-14",77
"29","2009-07-15",77.199997
"30","2009-07-16",76.879997
"31","2009-07-17",78.400002
"32","2009-07-20",78.760002
"33","2009-07-21",79.239998
"34","2009-07-22",77.599998
"35","2009-07-23",77.839996
"36","2009-07-24",80.400002
"37","2009-07-27",78.919998
"38","2009-07-28",78.800003
"39","2009-07-29",77.400002
"40","2009-07-30",78.400002
"41","2009-07-31",78.519997
"42","2009-08-03",78.400002
"43","2009-08-04",79.080002
"44","2009-08-05",80.279999
"45","2009-08-06",80.239998
"46","2009-08-07",80.400002
"47","2009-08-10",81.480003
"48","2009-08-11",82.040001
"49","2009-08-12",81.519997
"50","2009-08-13",82.199997
"51","2009-08-14",82.040001
"52","2009-08-17",81.040001
"53","2009-08-18",80.720001
"54","2009-08-19",80.400002
"55","2009-08-20",82
"56","2009-08-21",87.959999
"57","2009-08-24",86
"58","2009-08-25",86.400002
"59","2009-08-26",86.120003
"60","2009-08-27",85.239998
"61","2009-08-28",86.360001
"62","2009-08-31",85.32
"63","2009-09-01",85.400002
"64","2009-09-02",85.040001
"65","2009-09-03",85.800003
"66","2009-09-04",87.480003
"67","2009-09-08",89.919998
