"","date","FTHM"
"1","2020-07-31",10.03
"2","2020-08-03",10
"3","2020-08-04",8.8
"4","2020-08-05",9.75
"5","2020-08-06",9.69
"6","2020-08-07",10.24
"7","2020-08-10",10.45
"8","2020-08-11",11.53
"9","2020-08-12",11.86
"10","2020-08-13",12.15
"11","2020-08-14",13.25
"12","2020-08-17",13.13
"13","2020-08-18",13.5
"14","2020-08-19",15.94
"15","2020-08-20",18.700001
"16","2020-08-21",18.950001
"17","2020-08-24",16.620001
"18","2020-08-25",17.68
"19","2020-08-26",17.190001
"20","2020-08-27",17.360001
"21","2020-08-28",18.139999
"22","2020-08-31",17.809999
"23","2020-09-01",17.059999
"24","2020-09-02",20.26
"25","2020-09-03",17.24
"26","2020-09-04",16.73
"27","2020-09-08",16
"28","2020-09-09",15.87
"29","2020-09-10",15.5
"30","2020-09-11",15.1
"31","2020-09-14",16.98
"32","2020-09-15",16.5
"33","2020-09-16",16.030001
"34","2020-09-17",16.76
"35","2020-09-18",15.36
"36","2020-09-21",15.18
"37","2020-09-22",15.45
"38","2020-09-23",14.83
"39","2020-09-24",15.3
"40","2020-09-25",15.6
"41","2020-09-28",15.45
"42","2020-09-29",15.32
"43","2020-09-30",15.74
"44","2020-10-01",17.15
"45","2020-10-02",17.85
"46","2020-10-05",18.639999
"47","2020-10-06",18.09
"48","2020-10-07",19.9
"49","2020-10-08",19.870001
"50","2020-10-09",19.860001
"51","2020-10-12",20.15
"52","2020-10-13",23.809999
"53","2020-10-14",22.889999
"54","2020-10-15",22.41
"55","2020-10-16",21.51
"56","2020-10-19",20.145
"57","2020-10-20",18.860001
"58","2020-10-21",18.879999
"59","2020-10-22",20.4
"60","2020-10-23",19.77
"61","2020-10-26",18.92
"62","2020-10-27",19.940001
"63","2020-10-28",18.99
"64","2020-10-29",19.15
"65","2020-10-30",18.76
"66","2020-11-02",18.51
"67","2020-11-03",18.940001
"68","2020-11-04",20.1
"69","2020-11-05",22
"70","2020-11-06",20.700001
"71","2020-11-09",20.139999
"72","2020-11-10",20.309999
"73","2020-11-11",21.440001
"74","2020-11-12",21.57
"75","2020-11-13",21.639999
"76","2020-11-16",22.059999
"77","2020-11-17",22.32
"78","2020-11-18",21.02
"79","2020-11-19",21.08
"80","2020-11-20",21.040001
"81","2020-11-23",20.469999
"82","2020-11-24",21.9
"83","2020-11-25",22.799999
"84","2020-11-27",22.370001
