"","date","IFF"
"1","2007-01-03",48.919998
"2","2007-01-04",48.389999
"3","2007-01-05",48.779999
"4","2007-01-08",48.740002
"5","2007-01-09",49.27
"6","2007-01-10",49.59
"7","2007-01-11",49.799999
"8","2007-01-12",49.939999
"9","2007-01-16",50.040001
"10","2007-01-17",50.150002
"11","2007-01-18",49.790001
"12","2007-01-19",50.209999
"13","2007-01-22",49.779999
"14","2007-01-23",50.77
"15","2007-01-24",50.580002
"16","2007-01-25",50.029999
"17","2007-01-26",50.189999
"18","2007-01-29",50.610001
"19","2007-01-30",48.119999
"20","2007-01-31",48.48
"21","2007-02-01",49.23
"22","2007-02-02",49.169998
"23","2007-02-05",48.93
"24","2007-02-06",49.240002
"25","2007-02-07",48.75
"26","2007-02-08",48.240002
"27","2007-02-09",48.650002
"28","2007-02-12",48.450001
"29","2007-02-13",48.919998
"30","2007-02-14",48.580002
"31","2007-02-15",48.889999
"32","2007-02-16",48.759998
"33","2007-02-20",49
"34","2007-02-21",48.970001
"35","2007-02-22",48.68
"36","2007-02-23",48.23
"37","2007-02-26",48.23
"38","2007-02-27",46.830002
"39","2007-02-28",46.799999
"40","2007-03-01",46.84
"41","2007-03-02",46.029999
"42","2007-03-05",46
"43","2007-03-06",46.650002
"44","2007-03-07",46.349998
"45","2007-03-08",46.66
"46","2007-03-09",46.720001
"47","2007-03-12",46.900002
"48","2007-03-13",46.220001
"49","2007-03-14",46.450001
"50","2007-03-15",46.669998
"51","2007-03-16",46.220001
"52","2007-03-19",46.080002
"53","2007-03-20",46.810001
"54","2007-03-21",47.549999
"55","2007-03-22",47.91
"56","2007-03-23",47.919998
"57","2007-03-26",48.009998
"58","2007-03-27",47.700001
"59","2007-03-28",47.259998
"60","2007-03-29",47.18
"61","2007-03-30",47.220001
"62","2007-04-02",47.139999
"63","2007-04-03",47.799999
"64","2007-04-04",47.709999
"65","2007-04-05",47.610001
"66","2007-04-09",47.93
"67","2007-04-10",47.77
"68","2007-04-11",47.32
"69","2007-04-12",47.939999
"70","2007-04-13",47.669998
"71","2007-04-16",48.330002
"72","2007-04-17",48.290001
"73","2007-04-18",48.07
"74","2007-04-19",48.02
"75","2007-04-20",48.439999
"76","2007-04-23",48.48
"77","2007-04-24",48.139999
"78","2007-04-25",49.360001
"79","2007-04-26",48.950001
"80","2007-04-27",48.650002
"81","2007-04-30",48.669998
"82","2007-05-01",48.299999
"83","2007-05-02",48.5
"84","2007-05-03",52.75
"85","2007-05-04",51.860001
"86","2007-05-07",52.07
"87","2007-05-08",51.779999
"88","2007-05-09",51.73
"89","2007-05-10",51.07
"90","2007-05-11",51.029999
"91","2007-05-14",50.889999
"92","2007-05-15",51.220001
"93","2007-05-16",50.919998
"94","2007-05-17",51
"95","2007-05-18",50.970001
"96","2007-05-21",51.75
"97","2007-05-22",51.919998
"98","2007-05-23",51.540001
"99","2007-05-24",50.259998
"100","2007-05-25",51.43
"101","2007-05-29",51.080002
"102","2007-05-30",51.099998
"103","2007-05-31",51.330002
"104","2007-06-01",51.450001
"105","2007-06-04",51.34
"106","2007-06-05",51.43
"107","2007-06-06",50.700001
"108","2007-06-07",49.650002
"109","2007-06-08",50.419998
"110","2007-06-11",50.68
"111","2007-06-12",50.639999
"112","2007-06-13",51.950001
"113","2007-06-14",52.119999
"114","2007-06-15",51.77
"115","2007-06-18",52.049999
"116","2007-06-19",52.119999
