"","date","RACA"
"1","2020-08-07",12.75
"2","2020-08-10",12.45
"3","2020-08-11",12.4
"4","2020-08-12",12.5
"5","2020-08-13",12.5
"6","2020-08-14",14.06
"7","2020-08-17",13.7
"8","2020-08-18",13.59
"9","2020-08-19",13.91
"10","2020-08-20",13.5
"11","2020-08-21",13.5
"12","2020-08-24",13
"13","2020-08-25",13.01
"14","2020-08-26",13.1
"15","2020-08-27",13.15
"16","2020-08-28",13
"17","2020-08-31",12.896
"18","2020-09-01",13.05
"19","2020-09-02",12.79
"20","2020-09-03",12.96
"21","2020-09-04",12.75
"22","2020-09-08",13.005
"23","2020-09-09",12.75
"24","2020-09-10",13
"25","2020-09-11",13.1
"26","2020-09-14",12.75
"27","2020-09-15",13.1
"28","2020-09-16",13.55
"29","2020-09-17",12.81
"30","2020-09-18",14.9
"31","2020-09-21",15.49
"32","2020-09-22",14.58
"33","2020-09-23",14.5
"34","2020-09-24",14.25
"35","2020-09-25",14.25
"36","2020-09-28",14.58
"37","2020-09-29",14.58
"38","2020-09-30",14.38
"39","2020-10-01",14.77
"40","2020-10-02",14.5
"41","2020-10-05",14.5
"42","2020-10-06",14.035
"43","2020-10-07",14
"44","2020-10-08",14.25
"45","2020-10-09",14.02
"46","2020-10-12",14.25
"47","2020-10-13",14.1
"48","2020-10-14",14.125
"49","2020-10-15",13.73
"50","2020-10-16",13.7
"51","2020-10-19",13.7
"52","2020-10-20",13.7
"53","2020-10-21",13.925
"54","2020-10-22",13.5
"55","2020-10-23",13.4
"56","2020-10-26",13.07
"57","2020-10-27",13.32
"58","2020-10-28",13.01
"59","2020-10-29",13.37
"60","2020-10-30",13.2
"61","2020-11-02",13.29
"62","2020-11-03",13.3
"63","2020-11-04",13.25
"64","2020-11-05",13.29
"65","2020-11-06",13.2
"66","2020-11-09",12.98
"67","2020-11-10",13.605
"68","2020-11-11",13.03
"69","2020-11-12",13.6
"70","2020-11-13",13.75
"71","2020-11-16",14.1
"72","2020-11-17",14.31
"73","2020-11-18",14.55
"74","2020-11-19",14.6
"75","2020-11-20",14.287
"76","2020-11-23",14.5
"77","2020-11-24",14.3
"78","2020-11-25",14.35
"79","2020-11-27",14.1
