"","date","SIEB"
"1","2007-01-03",3.45
"2","2007-01-04",3.61
"3","2007-01-05",3.63
"4","2007-01-08",3.65
"5","2007-01-09",3.55
"6","2007-01-10",3.59
"7","2007-01-11",3.6
"8","2007-01-12",3.87
"9","2007-01-16",4.2
"10","2007-01-17",4.11
"11","2007-01-18",3.95
"12","2007-01-19",3.92
"13","2007-01-22",3.78
"14","2007-01-23",3.75
"15","2007-01-24",3.78
"16","2007-01-25",3.76
"17","2007-01-26",3.7
"18","2007-01-29",4.19
"19","2007-01-30",4.36
"20","2007-01-31",4.26
"21","2007-02-01",4.28
"22","2007-02-02",4.17
"23","2007-02-05",4.06
"24","2007-02-06",4.24
"25","2007-02-07",4.17
"26","2007-02-08",4.15
"27","2007-02-09",4.09
"28","2007-02-12",3.96
"29","2007-02-13",3.87
"30","2007-02-14",4.06
"31","2007-02-15",4
"32","2007-02-16",4
"33","2007-02-20",3.95
"34","2007-02-21",4.09
"35","2007-02-22",3.99
"36","2007-02-23",4.02
"37","2007-02-26",4.01
"38","2007-02-27",3.92
"39","2007-02-28",3.88
"40","2007-03-01",3.89
"41","2007-03-02",3.85
"42","2007-03-05",3.8
"43","2007-03-06",3.85
"44","2007-03-07",3.83
"45","2007-03-08",3.78
"46","2007-03-09",3.81
"47","2007-03-12",3.88
"48","2007-03-13",3.85
"49","2007-03-14",3.85
"50","2007-03-15",3.86
"51","2007-03-16",3.76
"52","2007-03-19",3.81
"53","2007-03-20",3.86
"54","2007-03-21",3.91
"55","2007-03-22",3.94
"56","2007-03-23",3.94
"57","2007-03-26",3.97
"58","2007-03-27",3.95
"59","2007-03-28",3.89
"60","2007-03-29",3.81
"61","2007-03-30",3.76
"62","2007-04-02",3.86
"63","2007-04-03",3.69
"64","2007-04-04",3.51
"65","2007-04-05",3.4
"66","2007-04-09",3.46
"67","2007-04-10",3.66
"68","2007-04-11",3.56
"69","2007-04-12",3.42
"70","2007-04-13",3.48
"71","2007-04-16",3.45
"72","2007-04-17",3.45
"73","2007-04-18",3.47
"74","2007-04-19",3.49
"75","2007-04-20",3.52
"76","2007-04-23",3.64
"77","2007-04-24",3.65
"78","2007-04-25",3.64
"79","2007-04-26",3.63
"80","2007-04-27",3.66
"81","2007-04-30",3.66
"82","2007-05-01",3.67
"83","2007-05-02",3.69
"84","2007-05-03",3.66
"85","2007-05-04",3.64
"86","2007-05-07",3.7
"87","2007-05-08",3.72
"88","2007-05-09",3.69
"89","2007-05-10",3.61
"90","2007-05-11",3.62
"91","2007-05-14",3.64
"92","2007-05-15",3.69
"93","2007-05-16",3.79
"94","2007-05-17",3.84
"95","2007-05-18",3.83
"96","2007-05-21",3.83
"97","2007-05-22",3.85
"98","2007-05-23",3.77
"99","2007-05-24",3.49
"100","2007-05-25",3.53
"101","2007-05-29",3.59
"102","2007-05-30",3.66
"103","2007-05-31",3.75
"104","2007-06-01",3.73
"105","2007-06-04",4
"106","2007-06-05",4.15
"107","2007-06-06",4.7
"108","2007-06-07",4.53
"109","2007-06-08",4.38
"110","2007-06-11",4.39
"111","2007-06-12",4.39
"112","2007-06-13",4.26
"113","2007-06-14",4.17
"114","2007-06-15",4.22
"115","2007-06-18",3.99
"116","2007-06-19",4.08
"117","2007-06-20",4.06
"118","2007-06-21",4.1
"119","2007-06-22",4.16
"120","2007-06-25",4.24
"121","2007-06-26",4.22
"122","2007-06-27",4.22
"123","2007-06-28",4.15
"124","2007-06-29",4.2
"125","2007-07-02",4.3
"126","2007-07-03",4.2
"127","2007-07-05",4.16
"128","2007-07-06",4.31
"129","2007-07-09",4.38
"130","2007-07-10",4.41
"131","2007-07-11",4.41
"132","2007-07-12",4.41
"133","2007-07-13",4.43
"134","2007-07-16",4.37
"135","2007-07-17",4.38
