"","date","WM"
"1","2007-01-03",37.029999
"2","2007-01-04",36.57
"3","2007-01-05",35.98
"4","2007-01-08",36.07
"5","2007-01-09",35.689999
"6","2007-01-10",36.68
"7","2007-01-11",37.040001
"8","2007-01-12",36.900002
"9","2007-01-16",36.93
"10","2007-01-17",36.959999
"11","2007-01-18",36.849998
"12","2007-01-19",36.91
"13","2007-01-22",37.349998
"14","2007-01-23",37.599998
"15","2007-01-24",37.790001
"16","2007-01-25",37.119999
"17","2007-01-26",37.459999
"18","2007-01-29",37.709999
"19","2007-01-30",37.939999
"20","2007-01-31",37.98
"21","2007-02-01",37.689999
"22","2007-02-02",37.849998
"23","2007-02-05",38.290001
"24","2007-02-06",38.060001
"25","2007-02-07",38.41
"26","2007-02-08",35.43
"27","2007-02-09",35.25
"28","2007-02-12",34.93
"29","2007-02-13",35.02
"30","2007-02-14",35.299999
"31","2007-02-15",35.650002
"32","2007-02-16",35.68
"33","2007-02-20",35.380001
"34","2007-02-21",35.029999
"35","2007-02-22",34
"36","2007-02-23",34.630001
"37","2007-02-26",34.52
"38","2007-02-27",33.830002
"39","2007-02-28",34.049999
"40","2007-03-01",33.75
"41","2007-03-02",33.389999
"42","2007-03-05",33.41
"43","2007-03-06",33.810001
"44","2007-03-07",33.77
"45","2007-03-08",33.84
"46","2007-03-09",33.919998
"47","2007-03-12",33.709999
"48","2007-03-13",32.84
"49","2007-03-14",33.360001
"50","2007-03-15",33.619999
"51","2007-03-16",33.52
"52","2007-03-19",34.009998
"53","2007-03-20",34.099998
"54","2007-03-21",34.400002
"55","2007-03-22",34.330002
"56","2007-03-23",34.93
"57","2007-03-26",35.150002
"58","2007-03-27",34.509998
"59","2007-03-28",34.07
"60","2007-03-29",34.720001
"61","2007-03-30",34.41
"62","2007-04-02",34.650002
"63","2007-04-03",34.990002
"64","2007-04-04",34.73
"65","2007-04-05",34.529999
"66","2007-04-09",34.43
"67","2007-04-10",34.630001
"68","2007-04-11",34.290001
"69","2007-04-12",34.16
"70","2007-04-13",33.98
"71","2007-04-16",34.299999
"72","2007-04-17",34.459999
"73","2007-04-18",35.02
"74","2007-04-19",34.75
"75","2007-04-20",34.849998
"76","2007-04-23",35.57
"77","2007-04-24",35.25
"78","2007-04-25",35.41
"79","2007-04-26",35.349998
"80","2007-04-27",38.130001
"81","2007-04-30",37.41
"82","2007-05-01",37.52
"83","2007-05-02",37.650002
"84","2007-05-03",38.240002
"85","2007-05-04",38
"86","2007-05-07",38.25
"87","2007-05-08",37.98
"88","2007-05-09",38.450001
"89","2007-05-10",38.389999
"90","2007-05-11",38.73
"91","2007-05-14",38.610001
"92","2007-05-15",38.07
"93","2007-05-16",38.48
"94","2007-05-17",38.369999
