"","date","TA"
"1","2007-02-01",146.5
"2","2007-02-02",147.149994
"3","2007-02-05",162.550003
"4","2007-02-06",162.5
"5","2007-02-07",160.75
"6","2007-02-08",174.899994
"7","2007-02-09",180
"8","2007-02-12",186.25
"9","2007-02-13",197.5
"10","2007-02-14",202
"11","2007-02-15",200.25
"12","2007-02-16",199.949997
"13","2007-02-20",196.25
"14","2007-02-21",196.25
"15","2007-02-22",192.850006
"16","2007-02-23",194.899994
"17","2007-02-26",192.25
"18","2007-02-27",184.949997
"19","2007-02-28",181.5
"20","2007-03-01",178.300003
"21","2007-03-02",179.25
"22","2007-03-05",175
"23","2007-03-06",175
"24","2007-03-07",172.5
"25","2007-03-08",181
"26","2007-03-09",181.5
"27","2007-03-12",187.100006
"28","2007-03-13",184.25
"29","2007-03-14",185.350006
"30","2007-03-15",182
"31","2007-03-16",184.25
"32","2007-03-19",183.75
"33","2007-03-20",183.5
"34","2007-03-21",187.699997
"35","2007-03-22",186.25
"36","2007-03-23",187
"37","2007-03-26",189.050003
"38","2007-03-27",185.5
"39","2007-03-28",187.5
"40","2007-03-29",188.649994
"41","2007-03-30",192.100006
"42","2007-04-02",199.75
"43","2007-04-03",201.050003
"44","2007-04-04",202.399994
"45","2007-04-05",200.75
"46","2007-04-09",203.25
"47","2007-04-10",203
"48","2007-04-11",203.199997
"49","2007-04-12",203.050003
"50","2007-04-13",203
"51","2007-04-16",203.5
"52","2007-04-17",210
"53","2007-04-18",215.25
"54","2007-04-19",219.949997
"55","2007-04-20",225.25
"56","2007-04-23",225
"57","2007-04-24",221.949997
"58","2007-04-25",219.800003
"59","2007-04-26",218.699997
"60","2007-04-27",221.449997
"61","2007-04-30",221.300003
"62","2007-05-01",218.75
"63","2007-05-02",219.449997
"64","2007-05-03",219
"65","2007-05-04",220.5
"66","2007-05-07",219.399994
"67","2007-05-08",219.5
"68","2007-05-09",218.949997
"69","2007-05-10",218.899994
"70","2007-05-11",213.100006
"71","2007-05-14",210.050003
"72","2007-05-15",207.800003
"73","2007-05-16",201.25
"74","2007-05-17",199.949997
"75","2007-05-18",200.699997
"76","2007-05-21",201.5
"77","2007-05-22",198.699997
"78","2007-05-23",199
"79","2007-05-24",196.25
"80","2007-05-25",198.75
"81","2007-05-29",199.5
"82","2007-05-30",200
"83","2007-05-31",219.75
"84","2007-06-01",229.850006
"85","2007-06-04",231.75
"86","2007-06-05",230
"87","2007-06-06",230.600006
"88","2007-06-07",229.600006
"89","2007-06-08",226.5
"90","2007-06-11",228.5
"91","2007-06-12",227.199997
"92","2007-06-13",229.75
"93","2007-06-14",232.5
"94","2007-06-15",236.25
"95","2007-06-18",228.100006
"96","2007-06-19",221.5
"97","2007-06-20",222.5
"98","2007-06-21",223.25
"99","2007-06-22",216.25
"100","2007-06-25",213.75
"101","2007-06-26",215.5
"102","2007-06-27",210.600006
"103","2007-06-28",205.5
"104","2007-06-29",202.25
"105","2007-07-02",202.899994
"106","2007-07-03",203.25
"107","2007-07-05",200.550003
"108","2007-07-06",204.25
"109","2007-07-09",200.949997
"110","2007-07-10",200.050003
"111","2007-07-11",204.5
"112","2007-07-12",204.449997
"113","2007-07-13",205.75
"114","2007-07-16",202.5
"115","2007-07-17",204.399994
"116","2007-07-18",202.5
"117","2007-07-19",202.050003
"118","2007-07-20",201.75
"119","2007-07-23",200
"120","2007-07-24",191.5
"121","2007-07-25",186.949997
"122","2007-07-26",181.25
"123","2007-07-27",177.5
"124","2007-07-30",179
"125","2007-07-31",182.600006
"126","2007-08-01",178.399994
"127","2007-08-02",181.75
"128","2007-08-03",180.199997
"129","2007-08-06",174.25
"130","2007-08-07",171.899994
"131","2007-08-08",175.25
"132","2007-08-09",169.600006
"133","2007-08-10",176.25
"134","2007-08-13",177.25
"135","2007-08-14",170
"136","2007-08-15",160.399994
"137","2007-08-16",161
"138","2007-08-17",164.5
"139","2007-08-20",166.600006
"140","2007-08-21",168.5
"141","2007-08-22",174.25
"142","2007-08-23",176.399994
"143","2007-08-24",176.550003
"144","2007-08-27",178.25
"145","2007-08-28",175
"146","2007-08-29",175
"147","2007-08-30",176
"148","2007-08-31",178.100006
"149","2007-09-04",174
"150","2007-09-05",175.5
"151","2007-09-06",174.899994
"152","2007-09-07",174.75
"153","2007-09-10",173.699997
"154","2007-09-11",171.800003
"155","2007-09-12",169.5
"156","2007-09-13",168.25
"157","2007-09-14",170.399994
"158","2007-09-17",169.25
"159","2007-09-18",169.5
"160","2007-09-19",168.75
"161","2007-09-20",165.149994
"162","2007-09-21",168.399994
"163","2007-09-24",162.75
"164","2007-09-25",161.25
"165","2007-09-26",159.649994
"166","2007-09-27",160.149994
"167","2007-09-28",163
"168","2007-10-01",159.5
"169","2007-10-02",159.350006
"170","2007-10-03",155.25
"171","2007-10-04",154
"172","2007-10-05",160
"173","2007-10-08",158.25
"174","2007-10-09",157.25
"175","2007-10-10",153.449997
"176","2007-10-11",152.5
"177","2007-10-12",147.550003
"178","2007-10-15",140.25
"179","2007-10-16",137.649994
"180","2007-10-17",138.75
"181","2007-10-18",138
"182","2007-10-19",136
"183","2007-10-22",135.5
"184","2007-10-23",132.199997
"185","2007-10-24",132.350006
"186","2007-10-25",130
"187","2007-10-26",135.199997
"188","2007-10-29",135.699997
"189","2007-10-30",129.5
"190","2007-10-31",130
"191","2007-11-01",130
"192","2007-11-02",129.199997
"193","2007-11-05",129.649994
"194","2007-11-06",129.25
"195","2007-11-07",129
"196","2007-11-08",127.650002
"197","2007-11-09",126.25
"198","2007-11-12",118.75
"199","2007-11-13",85.800003
"200","2007-11-14",66.25
"201","2007-11-15",69.949997
"202","2007-11-16",78.75
"203","2007-11-19",73.650002
"204","2007-11-20",73.75
"205","2007-11-21",72.5
"206","2007-11-23",73.349998
"207","2007-11-26",74.949997
"208","2007-11-27",72
"209","2007-11-28",75.25
"210","2007-11-29",74.75
"211","2007-11-30",75.050003
"212","2007-12-03",73.75
"213","2007-12-04",72.5
"214","2007-12-05",71
"215","2007-12-06",72.199997
"216","2007-12-07",70.599998
"217","2007-12-10",71
"218","2007-12-11",67.199997
"219","2007-12-12",67
"220","2007-12-13",65.75
"221","2007-12-14",66
"222","2007-12-17",62.5
"223","2007-12-18",62.549999
"224","2007-12-19",61.650002
"225","2007-12-20",62.299999
"226","2007-12-21",64
"227","2007-12-24",64
"228","2007-12-26",63.400002
"229","2007-12-27",63.200001
"230","2007-12-28",63
"231","2007-12-31",62.5
"232","2008-01-02",62
"233","2008-01-03",59.5
"234","2008-01-04",56
"235","2008-01-07",61.5
"236","2008-01-08",63.25
"237","2008-01-09",63.5
"238","2008-01-10",65
"239","2008-01-11",68
"240","2008-01-14",69.550003
"241","2008-01-15",70.5
"242","2008-01-16",69.650002
"243","2008-01-17",67.949997
"244","2008-01-18",67.699997
"245","2008-01-22",70.650002
"246","2008-01-23",67.699997
"247","2008-01-24",68
"248","2008-01-25",66.949997
"249","2008-01-28",68
"250","2008-01-29",67.699997
"251","2008-01-30",67.199997
"252","2008-01-31",71.199997
"253","2008-02-01",72.25
"254","2008-02-04",72.449997
"255","2008-02-05",71.300003
"256","2008-02-06",70.300003
"257","2008-02-07",71
"258","2008-02-08",70.199997
"259","2008-02-11",69.300003
"260","2008-02-12",68.300003
"261","2008-02-13",68.800003
"262","2008-02-14",67.449997
"263","2008-02-15",68.900002
"264","2008-02-19",69.25
"265","2008-02-20",67.550003
"266","2008-02-21",67.5
"267","2008-02-22",66.599998
"268","2008-02-25",65.550003
"269","2008-02-26",65.550003
"270","2008-02-27",64.75
"271","2008-02-28",63.900002
"272","2008-02-29",64.849998
"273","2008-03-03",61.849998
"274","2008-03-04",59.25
"275","2008-03-05",56.299999
"276","2008-03-06",50.849998
"277","2008-03-07",39.75
"278","2008-03-10",34.5
"279","2008-03-11",29.5
"280","2008-03-12",32.450001
"281","2008-03-13",34
"282","2008-03-14",34
"283","2008-03-17",33
"284","2008-03-18",33.599998
"285","2008-03-19",35
"286","2008-03-20",36.400002
"287","2008-03-24",35.25
"288","2008-03-25",36.25
"289","2008-03-26",35.25
"290","2008-03-27",33.150002
"291","2008-03-28",30.6
"292","2008-03-31",30.5
"293","2008-04-01",17.5
"294","2008-04-02",17.25
"295","2008-04-03",16.25
"296","2008-04-04",15.75
"297","2008-04-07",17
"298","2008-04-08",18.35
"299","2008-04-09",17.5
"300","2008-04-10",17.65
"301","2008-04-11",17.15
"302","2008-04-14",17
"303","2008-04-15",16.5
"304","2008-04-16",16
"305","2008-04-17",15.25
"306","2008-04-18",15.5
"307","2008-04-21",14.55
"308","2008-04-22",13.75
"309","2008-04-23",13.25
"310","2008-04-24",13.5
"311","2008-04-25",15.15
"312","2008-04-28",15.75
"313","2008-04-29",15.5
"314","2008-04-30",16.15
"315","2008-05-01",17.5
"316","2008-05-02",15.8
"317","2008-05-05",15.9
"318","2008-05-06",16.200001
"319","2008-05-07",15.95
"320","2008-05-08",14.55
"321","2008-05-09",14.85
"322","2008-05-12",15
