"","date","ROAD"
"1","2018-05-04",12.1
"2","2018-05-07",12.05
"3","2018-05-08",12.05
"4","2018-05-09",12.02
"5","2018-05-10",12
"6","2018-05-11",12.03
"7","2018-05-14",12.14
"8","2018-05-15",12.16
"9","2018-05-16",12.04
"10","2018-05-17",12.11
"11","2018-05-18",12.38
"12","2018-05-21",12.39
"13","2018-05-22",12.25
"14","2018-05-23",12.24
"15","2018-05-24",12.2
"16","2018-05-25",12.26
"17","2018-05-29",12.03
"18","2018-05-30",12.12
"19","2018-05-31",12.15
"20","2018-06-01",12.69
"21","2018-06-04",12.49
"22","2018-06-05",12.29
"23","2018-06-06",12.29
"24","2018-06-07",12.1
"25","2018-06-08",12.14
"26","2018-06-11",12.77
"27","2018-06-12",12.7
"28","2018-06-13",13.67
"29","2018-06-14",13.95
"30","2018-06-15",13.27
"31","2018-06-18",13.87
"32","2018-06-19",13.84
"33","2018-06-20",13.26
"34","2018-06-21",13.44
"35","2018-06-22",13.51
"36","2018-06-25",13.03
"37","2018-06-26",13
"38","2018-06-27",12.8
"39","2018-06-28",13.04
"40","2018-06-29",13.17
"41","2018-07-02",13.01
"42","2018-07-03",13.05
"43","2018-07-05",12.67
"44","2018-07-06",12.73
"45","2018-07-09",12.72
"46","2018-07-10",12.79
"47","2018-07-11",12.5
"48","2018-07-12",12.61
"49","2018-07-13",12.42
"50","2018-07-16",12.63
"51","2018-07-17",12.52
"52","2018-07-18",12.38
"53","2018-07-19",12.45
"54","2018-07-20",12.38
"55","2018-07-23",12.3
"56","2018-07-24",12.38
"57","2018-07-25",12.74
"58","2018-07-26",12.43
"59","2018-07-27",12.49
"60","2018-07-30",12.32
"61","2018-07-31",12.24
"62","2018-08-01",12.2
"63","2018-08-02",11.68
"64","2018-08-03",11.46
"65","2018-08-06",11.38
"66","2018-08-07",11.28
"67","2018-08-08",11.01
"68","2018-08-09",11.36
"69","2018-08-10",11.11
"70","2018-08-13",11.89
"71","2018-08-14",11.9
"72","2018-08-15",11.9
"73","2018-08-16",12.06
"74","2018-08-17",12.04
"75","2018-08-20",11.96
"76","2018-08-21",12.02
"77","2018-08-22",11.93
"78","2018-08-23",12
"79","2018-08-24",11.97
"80","2018-08-27",12.06
"81","2018-08-28",11.97
"82","2018-08-29",11.99
"83","2018-08-30",12
"84","2018-08-31",12.15
"85","2018-09-04",12.21
"86","2018-09-05",12.35
"87","2018-09-06",12.29
"88","2018-09-07",12.51
"89","2018-09-10",12.4
"90","2018-09-11",12.31
"91","2018-09-12",12.39
"92","2018-09-13",12.23
"93","2018-09-14",12.21
"94","2018-09-17",12.27
"95","2018-09-18",12.2
"96","2018-09-19",12.2
"97","2018-09-20",12.42
"98","2018-09-21",12.63
"99","2018-09-24",12.31
"100","2018-09-25",12.09
"101","2018-09-26",12.16
"102","2018-09-27",12.15
"103","2018-09-28",12.1
"104","2018-10-01",11.81
"105","2018-10-02",11.53
"106","2018-10-03",11.41
"107","2018-10-04",11.67
"108","2018-10-05",11.71
"109","2018-10-08",11.39
"110","2018-10-09",11.21
"111","2018-10-10",11.08
"112","2018-10-11",10.81
"113","2018-10-12",10.55
"114","2018-10-15",10.68
