"","date","OM"
"1","2020-09-15",60.68
"2","2020-09-16",60.029999
"3","2020-09-17",58.02
"4","2020-09-18",60.009998
"5","2020-09-21",55
"6","2020-09-22",53.630001
"7","2020-09-23",54.349998
"8","2020-09-24",51.98
"9","2020-09-25",51.799999
"10","2020-09-28",51.73
"11","2020-09-29",49.75
"12","2020-09-30",50
"13","2020-10-01",45.990002
"14","2020-10-02",45.799999
"15","2020-10-05",44.650002
"16","2020-10-06",43.259998
"17","2020-10-07",42.599998
"18","2020-10-08",44.5
"19","2020-10-09",42.509998
"20","2020-10-12",43.830002
"21","2020-10-13",45.259998
"22","2020-10-14",46.060001
"23","2020-10-15",50.02
"24","2020-10-16",48.049999
"25","2020-10-19",47.880001
"26","2020-10-20",46.310001
"27","2020-10-21",45.25
"28","2020-10-22",48.93
"29","2020-10-23",49.73
"30","2020-10-26",47.91
"31","2020-10-27",49.060001
"32","2020-10-28",48.130001
"33","2020-10-29",48.93
"34","2020-10-30",46.470001
"35","2020-11-02",44.869999
"36","2020-11-03",44.02
"37","2020-11-04",44.73
"38","2020-11-05",48.990002
"39","2020-11-06",48.669998
"40","2020-11-09",49.040001
"41","2020-11-10",46.630001
"42","2020-11-11",49.259998
"43","2020-11-12",49.209999
"44","2020-11-13",52.549999
"45","2020-11-16",60.450001
"46","2020-11-17",60.919998
"47","2020-11-18",56.459999
"48","2020-11-19",59
"49","2020-11-20",61.490002
"50","2020-11-23",62.91
"51","2020-11-24",63.75
"52","2020-11-25",60.389999
"53","2020-11-27",63.860001
