"","date","ANNX"
"1","2020-07-24",17.76
"2","2020-07-27",17.5
"3","2020-07-28",17.99
"4","2020-07-29",18.76
"5","2020-07-30",18.41
"6","2020-07-31",18.23
"7","2020-08-03",19.85
"8","2020-08-04",19.23
"9","2020-08-05",21.83
"10","2020-08-06",21.17
"11","2020-08-07",21.74
"12","2020-08-10",22.02
"13","2020-08-11",23.940001
"14","2020-08-12",28.629999
"15","2020-08-13",27.610001
"16","2020-08-14",26.17
"17","2020-08-17",26.549999
"18","2020-08-18",26.83
"19","2020-08-19",25.860001
"20","2020-08-20",24.610001
"21","2020-08-21",24.6
"22","2020-08-24",23.860001
"23","2020-08-25",23.49
"24","2020-08-26",23.120001
"25","2020-08-27",23.870001
"26","2020-08-28",24.27
"27","2020-08-31",24.67
"28","2020-09-01",24.370001
"29","2020-09-02",26.389999
"30","2020-09-03",26.219999
"31","2020-09-04",25.09
"32","2020-09-08",26.059999
"33","2020-09-09",26.74
"34","2020-09-10",25.51
"35","2020-09-11",24.799999
"36","2020-09-14",23.09
"37","2020-09-15",23.02
"38","2020-09-16",22.469999
"39","2020-09-17",21.290001
"40","2020-09-18",22.5
"41","2020-09-21",22.02
"42","2020-09-22",22.18
"43","2020-09-23",23
"44","2020-09-24",22.969999
"45","2020-09-25",23
"46","2020-09-28",24.549999
"47","2020-09-29",28.049999
"48","2020-09-30",30.23
"49","2020-10-01",28.93
"50","2020-10-02",26.969999
"51","2020-10-05",27.75
"52","2020-10-06",27.309999
"53","2020-10-07",27
"54","2020-10-08",27.33
"55","2020-10-09",27.879999
"56","2020-10-12",29.110001
"57","2020-10-13",29.4
"58","2020-10-14",28.799999
"59","2020-10-15",29.16
"60","2020-10-16",30.32
"61","2020-10-19",30.040001
"62","2020-10-20",27.709999
"63","2020-10-21",26.23
"64","2020-10-22",24.59
"65","2020-10-23",24.440001
"66","2020-10-26",24.969999
"67","2020-10-27",24.51
"68","2020-10-28",23.780001
"69","2020-10-29",21.690001
"70","2020-10-30",20.809999
"71","2020-11-02",23.01
"72","2020-11-03",23.27
"73","2020-11-04",23.860001
"74","2020-11-05",24.08
"75","2020-11-06",23.41
"76","2020-11-09",22.719999
"77","2020-11-10",22.67
"78","2020-11-11",23.040001
"79","2020-11-12",22.99
"80","2020-11-13",22.860001
"81","2020-11-16",22.629999
"82","2020-11-17",23.67
"83","2020-11-18",23.73
"84","2020-11-19",24.93
"85","2020-11-20",24.950001
"86","2020-11-23",25.01
"87","2020-11-24",24.99
"88","2020-11-25",24.629999
"89","2020-11-27",25.129999
