"","date","DLNG"
"1","2013-11-13",18
"2","2013-11-14",18.01
"3","2013-11-15",18.02
"4","2013-11-18",18.049999
"5","2013-11-19",18.049999
"6","2013-11-20",18.25
"7","2013-11-21",18.35
"8","2013-11-22",18.24
"9","2013-11-25",18.16
"10","2013-11-26",18.25
"11","2013-11-27",18.6
"12","2013-11-29",18.75
"13","2013-12-02",18.9
"14","2013-12-03",19.4
"15","2013-12-04",19.23
"16","2013-12-05",19.049999
"17","2013-12-06",19.459999
"18","2013-12-09",19.790001
"19","2013-12-10",19.469999
"20","2013-12-11",19.209999
"21","2013-12-12",19.33
"22","2013-12-13",19.6
"23","2013-12-16",19.52
"24","2013-12-17",19.9
"25","2013-12-18",20.09
"26","2013-12-19",20.440001
"27","2013-12-20",21.059999
"28","2013-12-23",21.67
"29","2013-12-24",21.84
"30","2013-12-26",22.51
"31","2013-12-27",22.67
"32","2013-12-30",22.629999
"33","2013-12-31",22.549999
"34","2014-01-02",21.84
"35","2014-01-03",21.879999
"36","2014-01-06",21.83
"37","2014-01-07",21.18
"38","2014-01-08",21.190001
"39","2014-01-09",20.969999
"40","2014-01-10",21.01
"41","2014-01-13",22.219999
"42","2014-01-14",22.01
"43","2014-01-15",21.51
"44","2014-01-16",22.08
"45","2014-01-17",22
"46","2014-01-21",21.84
"47","2014-01-22",21.629999
"48","2014-01-23",21.84
"49","2014-01-24",21.73
"50","2014-01-27",21.620001
"51","2014-01-28",21.41
"52","2014-01-29",21.16
"53","2014-01-30",21.440001
"54","2014-01-31",21.379999
"55","2014-02-03",21.16
"56","2014-02-04",21.15
"57","2014-02-05",21.25
"58","2014-02-06",21.6
"59","2014-02-07",21.42
"60","2014-02-10",21.91
"61","2014-02-11",21.370001
"62","2014-02-12",21.49
"63","2014-02-13",21.24
"64","2014-02-14",21.49
"65","2014-02-18",20.940001
"66","2014-02-19",21.85
"67","2014-02-20",21.41
"68","2014-02-21",21.549999
"69","2014-02-24",22.33
"70","2014-02-25",22.040001
"71","2014-02-26",22.07
"72","2014-02-27",21.969999
"73","2014-02-28",21.809999
"74","2014-03-03",21.9
"75","2014-03-04",22.07
"76","2014-03-05",22.084999
"77","2014-03-06",22.07
"78","2014-03-07",22.23
"79","2014-03-10",22.18
"80","2014-03-11",22.129999
"81","2014-03-12",22.25
"82","2014-03-13",21.6
"83","2014-03-14",21.66
"84","2014-03-17",22.309999
"85","2014-03-18",21.83
"86","2014-03-19",22
"87","2014-03-20",21.389999
"88","2014-03-21",21.76
"89","2014-03-24",21.620001
"90","2014-03-25",21.58
"91","2014-03-26",21.809999
"92","2014-03-27",22.09
"93","2014-03-28",21.67
"94","2014-03-31",21.67
"95","2014-04-01",21.49
"96","2014-04-02",22
"97","2014-04-03",21.9
"98","2014-04-04",22.174999
"99","2014-04-07",21.530001
"100","2014-04-08",20.959999
"101","2014-04-09",21.51
"102","2014-04-10",21.15
"103","2014-04-11",21.275
"104","2014-04-14",21.34
"105","2014-04-15",21.27
"106","2014-04-16",21.549999
"107","2014-04-17",21.85
"108","2014-04-21",21.549999
"109","2014-04-22",21.950001
"110","2014-04-23",22.09
"111","2014-04-24",22.219999
"112","2014-04-25",21.77
"113","2014-04-28",21.540001
"114","2014-04-29",21.93
"115","2014-04-30",21.809999
"116","2014-05-01",21.799999
"117","2014-05-02",21.799999
"118","2014-05-05",21.809999
"119","2014-05-06",21.99
"120","2014-05-07",22.43
"121","2014-05-08",22.690001
"122","2014-05-09",22.74
"123","2014-05-12",22.440001
"124","2014-05-13",22.99
"125","2014-05-14",22.99
"126","2014-05-15",22.809999
"127","2014-05-16",22.799999
"128","2014-05-19",22.91
"129","2014-05-20",22.74
"130","2014-05-21",22.57
"131","2014-05-22",21.76
"132","2014-05-23",22.440001
"133","2014-05-27",22.889999
"134","2014-05-28",23.299999
"135","2014-05-29",23.379999
"136","2014-05-30",24.030001
"137","2014-06-02",23.879999
"138","2014-06-03",23.58
"139","2014-06-04",23.66
"140","2014-06-05",23.690001
"141","2014-06-06",23.790001
"142","2014-06-09",24.540001
"143","2014-06-10",24.27
"144","2014-06-11",24.41
"145","2014-06-12",22.790001
"146","2014-06-13",23.26
"147","2014-06-16",24.040001
"148","2014-06-17",23.74
"149","2014-06-18",24.200001
"150","2014-06-19",25.27
"151","2014-06-20",24.74
"152","2014-06-23",24
"153","2014-06-24",24.59
"154","2014-06-25",23.959999
"155","2014-06-26",24.290001
"156","2014-06-27",24.950001
