"","date","BAH"
"1","2010-11-18",19.5
"2","2010-11-19",19.43
"3","2010-11-22",19.73
"4","2010-11-23",19.66
"5","2010-11-24",20
"6","2010-11-26",19.82
"7","2010-11-29",19.459999
"8","2010-11-30",19.4
"9","2010-12-01",19.4
"10","2010-12-02",19.139999
"11","2010-12-03",19.030001
"12","2010-12-06",18.99
"13","2010-12-07",18.860001
"14","2010-12-08",18.860001
"15","2010-12-09",18.690001
"16","2010-12-10",18.6
"17","2010-12-13",18.57
"18","2010-12-14",18.690001
"19","2010-12-15",18.700001
"20","2010-12-16",18.950001
"21","2010-12-17",19.030001
"22","2010-12-20",19.59
"23","2010-12-21",19.309999
"24","2010-12-22",19.4
"25","2010-12-23",19.139999
"26","2010-12-27",19.719999
"27","2010-12-28",19.41
"28","2010-12-29",19.41
"29","2010-12-30",19.76
"30","2010-12-31",19.43
"31","2011-01-03",19.190001
"32","2011-01-04",18.879999
"33","2011-01-05",18.780001
"34","2011-01-06",18.459999
"35","2011-01-07",18.23
"36","2011-01-10",18.18
"37","2011-01-11",18.65
"38","2011-01-12",18.48
"39","2011-01-13",18.469999
"40","2011-01-14",18.58
"41","2011-01-18",18.58
"42","2011-01-19",18.32
"43","2011-01-20",18.09
"44","2011-01-21",18.110001
"45","2011-01-24",18.389999
"46","2011-01-25",18.459999
"47","2011-01-26",18.469999
"48","2011-01-27",18.799999
"49","2011-01-28",18.93
"50","2011-01-31",18.66
"51","2011-02-01",18.700001
"52","2011-02-02",19.01
"53","2011-02-03",18.780001
"54","2011-02-04",18.75
"55","2011-02-07",19.25
"56","2011-02-08",19.35
"57","2011-02-09",18.93
"58","2011-02-10",18.77
"59","2011-02-11",18.959999
"60","2011-02-14",18.780001
"61","2011-02-15",18.860001
"62","2011-02-16",18.98
"63","2011-02-17",18.940001
"64","2011-02-18",19.219999
"65","2011-02-22",19.15
"66","2011-02-23",18.83
"67","2011-02-24",18.5
"68","2011-02-25",18.620001
"69","2011-02-28",18.49
"70","2011-03-01",18.5
"71","2011-03-02",18.5
"72","2011-03-03",18.719999
"73","2011-03-04",18.5
"74","2011-03-07",18.360001
"75","2011-03-08",18.49
"76","2011-03-09",18.440001
"77","2011-03-10",18.200001
"78","2011-03-11",18.200001
"79","2011-03-14",18.49
"80","2011-03-15",18
"81","2011-03-16",18.17
"82","2011-03-17",18.219999
"83","2011-03-18",18.5
"84","2011-03-21",18.290001
"85","2011-03-22",18.24
