"","date","CMRE"
"1","2010-11-04",11.85
"2","2010-11-05",11.75
"3","2010-11-08",11.4
"4","2010-11-09",11
"5","2010-11-10",10.8
"6","2010-11-11",10.75
"7","2010-11-12",11
"8","2010-11-15",11.1
"9","2010-11-16",10.95
"10","2010-11-17",10.8
"11","2010-11-18",11.21
"12","2010-11-19",11.19
"13","2010-11-22",10.95
"14","2010-11-23",11.08
"15","2010-11-24",11.21
"16","2010-11-26",11.23
"17","2010-11-29",11.37
"18","2010-11-30",11.32
"19","2010-12-01",11.65
"20","2010-12-02",11.98
"21","2010-12-03",11.96
"22","2010-12-06",11.77
"23","2010-12-07",11.75
"24","2010-12-08",11.91
"25","2010-12-09",12.04
"26","2010-12-10",12.34
"27","2010-12-13",12.27
"28","2010-12-14",12.75
"29","2010-12-15",12.77
"30","2010-12-16",12.85
"31","2010-12-17",12.78
"32","2010-12-20",13.06
"33","2010-12-21",13.37
"34","2010-12-22",13.52
"35","2010-12-23",13.33
"36","2010-12-27",13.66
"37","2010-12-28",13.85
"38","2010-12-29",13.99
"39","2010-12-30",14.27
"40","2010-12-31",14.46
"41","2011-01-03",14.39
"42","2011-01-04",14.33
"43","2011-01-05",14.5
"44","2011-01-06",14.54
"45","2011-01-07",14.73
"46","2011-01-10",14.56
"47","2011-01-11",14.86
"48","2011-01-12",15.05
"49","2011-01-13",15.16
"50","2011-01-14",14.98
"51","2011-01-18",15
"52","2011-01-19",15.03
"53","2011-01-20",14.99
"54","2011-01-21",14.97
"55","2011-01-24",14.97
"56","2011-01-25",15.02
"57","2011-01-26",15
"58","2011-01-27",15.1
"59","2011-01-28",15.22
"60","2011-01-31",15.3
"61","2011-02-01",15.54
"62","2011-02-02",15.67
"63","2011-02-03",15.69
"64","2011-02-04",15.66
"65","2011-02-07",15.62
"66","2011-02-08",15.57
"67","2011-02-09",15.69
"68","2011-02-10",15.71
"69","2011-02-11",15.99
"70","2011-02-14",16.26
"71","2011-02-15",16.25
"72","2011-02-16",16.280001
"73","2011-02-17",16.76
"74","2011-02-18",17
"75","2011-02-22",16.6
"76","2011-02-23",16.6
"77","2011-02-24",16.610001
"78","2011-02-25",16.74
"79","2011-02-28",16.780001
"80","2011-03-01",16.690001
"81","2011-03-02",16.700001
"82","2011-03-03",16.950001
"83","2011-03-04",16.950001
"84","2011-03-07",16.780001
"85","2011-03-08",16.719999
"86","2011-03-09",16.93
"87","2011-03-10",16.35
"88","2011-03-11",16.450001
"89","2011-03-14",16.309999
"90","2011-03-15",16.059999
"91","2011-03-16",15.86
"92","2011-03-17",15.95
