"","date","VMD"
"1","2019-08-09",7.02
"2","2019-08-12",7.01
"3","2019-08-13",7.281
"4","2019-08-14",7.12
"5","2019-08-15",6.82
"6","2019-08-16",6.93
"7","2019-08-19",6.84
"8","2019-08-20",6.713
"9","2019-08-21",6.5
"10","2019-08-22",6.51
"11","2019-08-23",6.102
"12","2019-08-26",6.251
"13","2019-08-27",6.33
"14","2019-08-28",6.24
"15","2019-08-29",6.388
"16","2019-08-30",6.38
"17","2019-09-03",6.42
"18","2019-09-04",6.21
"19","2019-09-05",6.12
"20","2019-09-06",6.28
"21","2019-09-09",6.4
"22","2019-09-10",6.298
"23","2019-09-11",6.35
"24","2019-09-12",6.75
"25","2019-09-13",6.77
"26","2019-09-16",6.85
"27","2019-09-17",6.72
"28","2019-09-18",6.81
"29","2019-09-19",6.63
"30","2019-09-20",6.945
"31","2019-09-23",7
"32","2019-09-24",7
"33","2019-09-25",7.1
"34","2019-09-26",6.93
"35","2019-09-27",6.94
"36","2019-09-30",6.92
"37","2019-10-01",6.85
"38","2019-10-02",6.61
"39","2019-10-03",6.82
"40","2019-10-04",6.969
"41","2019-10-07",7.311
"42","2019-10-08",7.29
"43","2019-10-09",7.52
"44","2019-10-10",7.55
"45","2019-10-11",7.732
"46","2019-10-14",7.7
"47","2019-10-15",7.92
"48","2019-10-16",7.95
"49","2019-10-17",7.95
"50","2019-10-18",7.87
"51","2019-10-21",8.534
"52","2019-10-22",8.18
"53","2019-10-23",7.74
"54","2019-10-24",8.26
"55","2019-10-25",8.26
"56","2019-10-28",8.29
"57","2019-10-29",8.237
"58","2019-10-30",8.19
"59","2019-10-31",8.12
"60","2019-11-01",8.05
"61","2019-11-04",7.97
"62","2019-11-05",7.23
"63","2019-11-06",7.59
"64","2019-11-07",7.33
"65","2019-11-08",7.02
"66","2019-11-11",6.9
"67","2019-11-12",6.79
"68","2019-11-13",6.42
"69","2019-11-14",6.703
"70","2019-11-15",6.6
"71","2019-11-18",6.31
"72","2019-11-19",6.17
"73","2019-11-20",6.06
"74","2019-11-21",6.06
"75","2019-11-22",6.39
"76","2019-11-25",6.2
"77","2019-11-26",6.13
"78","2019-11-27",6.17
"79","2019-11-29",6.18
"80","2019-12-02",6.39
"81","2019-12-03",6.07
"82","2019-12-04",6.07
"83","2019-12-05",6.13
"84","2019-12-06",6.38
"85","2019-12-09",6.3
"86","2019-12-10",6.35
"87","2019-12-11",6.44
"88","2019-12-12",6.285
"89","2019-12-13",6.27
"90","2019-12-16",6.24
"91","2019-12-17",6.2
"92","2019-12-18",6.16
"93","2019-12-19",6.25
"94","2019-12-20",6.32
"95","2019-12-23",6.28
"96","2019-12-24",6.24
"97","2019-12-26",6.34
"98","2019-12-27",6.28
"99","2019-12-30",6.33
"100","2019-12-31",6.2
"101","2020-01-02",6.29
"102","2020-01-03",6.2
"103","2020-01-06",6.08
"104","2020-01-07",5.85
"105","2020-01-08",6.09
"106","2020-01-09",5.85
"107","2020-01-10",5.83
"108","2020-01-13",5.72
"109","2020-01-14",5.71
"110","2020-01-15",5.7
"111","2020-01-16",5.7
"112","2020-01-17",5.51
"113","2020-01-21",5.5
"114","2020-01-22",5.6
"115","2020-01-23",5.73
"116","2020-01-24",5.5
"117","2020-01-27",5.38
"118","2020-01-28",5.69
"119","2020-01-29",5.58
"120","2020-01-30",5.46
"121","2020-01-31",5.25
"122","2020-02-03",5.12
"123","2020-02-04",5.44
"124","2020-02-05",5.515
"125","2020-02-06",5.44
"126","2020-02-07",5.56
"127","2020-02-10",5.42
"128","2020-02-11",5.73
"129","2020-02-12",5.72
"130","2020-02-13",5.61
"131","2020-02-14",5.62
"132","2020-02-18",5.5
"133","2020-02-19",5.73
"134","2020-02-20",5.73
"135","2020-02-21",5.59
"136","2020-02-24",5.18
"137","2020-02-25",4.98
"138","2020-02-26",4.81
"139","2020-02-27",5
"140","2020-02-28",5
"141","2020-03-02",4.8
"142","2020-03-03",4
"143","2020-03-04",4.21
"144","2020-03-05",4.06
"145","2020-03-06",3.94
"146","2020-03-09",3.51
"147","2020-03-10",3.65
"148","2020-03-11",3.09
"149","2020-03-12",2.84
"150","2020-03-13",2.9
"151","2020-03-16",2.72
"152","2020-03-17",3.22
"153","2020-03-18",3.2
"154","2020-03-19",3.71
"155","2020-03-20",4.67
"156","2020-03-23",4.04
"157","2020-03-24",4.05
"158","2020-03-25",4.13
"159","2020-03-26",4.23
"160","2020-03-27",4.21
"161","2020-03-30",4.57
"162","2020-03-31",4.76
"163","2020-04-01",4.47
"164","2020-04-02",4.6
"165","2020-04-03",4.26
"166","2020-04-06",4.4
"167","2020-04-07",5.2
"168","2020-04-08",5.06
"169","2020-04-09",5.29
"170","2020-04-13",6.1
"171","2020-04-14",6.17
"172","2020-04-15",6.15
"173","2020-04-16",6.25
"174","2020-04-17",6.65
"175","2020-04-20",6.74
"176","2020-04-21",6.51
"177","2020-04-22",6.45
"178","2020-04-23",6.43
"179","2020-04-24",6.65
"180","2020-04-27",7.05
"181","2020-04-28",6.8
"182","2020-04-29",6.6
"183","2020-04-30",6.49
"184","2020-05-01",6.61
"185","2020-05-04",6.31
"186","2020-05-05",6.8
"187","2020-05-06",6.78
"188","2020-05-07",7.01
"189","2020-05-08",7.05
"190","2020-05-11",7.22
"191","2020-05-12",7.02
"192","2020-05-13",6.95
"193","2020-05-14",7.09
"194","2020-05-15",7.75
"195","2020-05-18",7.81
"196","2020-05-19",7.78
"197","2020-05-20",7.65
"198","2020-05-21",7.82
"199","2020-05-22",8.38
"200","2020-05-26",8.48
"201","2020-05-27",8.03
"202","2020-05-28",8
"203","2020-05-29",8.33
