"","date","AAON"
"1","2007-01-03",5.260247
"2","2007-01-04",5.325432
"3","2007-01-05",5.185185
"4","2007-01-08",5.234568
"5","2007-01-09",5.250371
"6","2007-01-10",5.236543
"7","2007-01-11",5.370864
"8","2007-01-12",5.528889
"9","2007-01-16",5.515062
"10","2007-01-17",5.46963
"11","2007-01-18",5.244444
"12","2007-01-19",5.428148
"13","2007-01-22",5.234568
"14","2007-01-23",5.321482
"15","2007-01-24",5.509136
"16","2007-01-25",5.497284
"17","2007-01-26",5.47358
"18","2007-01-29",5.432099
"19","2007-01-30",5.461729
"20","2007-01-31",5.428148
"21","2007-02-01",5.507161
"22","2007-02-02",5.491358
"23","2007-02-05",5.388642
"24","2007-02-06",5.475555
"25","2007-02-07",5.449876
"26","2007-02-08",5.519012
"27","2007-02-09",5.50321
"28","2007-02-12",5.515062
"29","2007-02-13",5.582222
"30","2007-02-14",5.6
"31","2007-02-15",5.605926
"32","2007-02-16",5.607901
"33","2007-02-20",5.82716
"34","2007-02-21",5.72642
"35","2007-02-22",5.671111
"36","2007-02-23",5.598025
"37","2007-02-26",5.603951
"38","2007-02-27",5.481482
"39","2007-02-28",5.485432
"40","2007-03-01",5.441975
"41","2007-03-02",5.368889
"42","2007-03-05",5.084445
"43","2007-03-06",5.195062
"44","2007-03-07",5.137778
"45","2007-03-08",5.145679
"46","2007-03-09",5.202963
"47","2007-03-12",5.143704
"48","2007-03-13",4.877037
"49","2007-03-14",5.511111
"50","2007-03-15",5.584198
"51","2007-03-16",5.283951
"52","2007-03-19",5.307654
"53","2007-03-20",5.34321
"54","2007-03-21",5.329383
"55","2007-03-22",5.451852
"56","2007-03-23",5.301728
"57","2007-03-26",5.254321
"58","2007-03-27",5.155556
"59","2007-03-28",5.054815
"60","2007-03-29",5.05679
"61","2007-03-30",5.161481
"62","2007-04-02",5.125926
"63","2007-04-03",5.060741
"64","2007-04-04",5.12395
"65","2007-04-05",5.080494
"66","2007-04-09",5.12395
"67","2007-04-10",5.116049
"68","2007-04-11",4.961975
"69","2007-04-12",5.035062
"70","2007-04-13",4.938272
"71","2007-04-16",4.938272
"72","2007-04-17",5.078518
"73","2007-04-18",5.050864
"74","2007-04-19",4.880988
"75","2007-04-20",4.958025
"76","2007-04-23",4.940247
"77","2007-04-24",5.114074
"78","2007-04-25",5.228642
"79","2007-04-26",5.232593
"80","2007-04-27",4.977778
"81","2007-04-30",4.884938
"82","2007-05-01",5.070617
