"","date","BOSC"
"1","2007-01-03",50
"2","2007-01-04",51
"3","2007-01-05",51.200001
"4","2007-01-08",50.599998
"5","2007-01-09",50.599998
"6","2007-01-10",50.599998
"7","2007-01-11",50.400002
"8","2007-01-12",50.400002
"9","2007-01-16",50
"10","2007-01-17",50
"11","2007-01-18",50
"12","2007-01-19",50
"13","2007-01-22",50.200001
"14","2007-01-23",50.200001
"15","2007-01-24",51.200001
"16","2007-01-25",50
"17","2007-01-26",50
"18","2007-01-29",50
"19","2007-01-30",50.400002
"20","2007-01-31",52.200001
"21","2007-02-01",51
"22","2007-02-02",50.400002
"23","2007-02-05",50.200001
"24","2007-02-06",50.400002
"25","2007-02-07",50
"26","2007-02-08",50
"27","2007-02-09",50.400002
"28","2007-02-12",50
"29","2007-02-13",50.400002
"30","2007-02-14",50.200001
"31","2007-02-15",50.400002
"32","2007-02-16",50.400002
"33","2007-02-20",50.200001
"34","2007-02-21",50.200001
"35","2007-02-22",50.200001
"36","2007-02-23",50.200001
"37","2007-02-26",51
"38","2007-02-27",51.200001
"39","2007-02-28",51.200001
"40","2007-03-01",51.599998
"41","2007-03-02",51.799999
"42","2007-03-05",50
"43","2007-03-06",50.799999
"44","2007-03-07",50.799999
"45","2007-03-08",50.599998
"46","2007-03-09",50
"47","2007-03-12",52
"48","2007-03-13",51.200001
"49","2007-03-14",51.200001
"50","2007-03-15",50.200001
"51","2007-03-16",52.599998
"52","2007-03-19",51
"53","2007-03-20",50.599998
"54","2007-03-21",51.200001
"55","2007-03-22",51.400002
"56","2007-03-23",51.400002
"57","2007-03-26",52.400002
"58","2007-03-27",52
"59","2007-03-28",51
"60","2007-03-29",51.200001
"61","2007-03-30",51.200001
"62","2007-04-02",51
"63","2007-04-03",51.400002
"64","2007-04-04",52
"65","2007-04-05",51.400002
"66","2007-04-09",51
"67","2007-04-10",51.200001
"68","2007-04-11",51
"69","2007-04-12",58
"70","2007-04-13",54.400002
"71","2007-04-16",53.599998
"72","2007-04-17",56.200001
"73","2007-04-18",57
