"","date","CLSD"
"1","2016-06-02",7.25
"2","2016-06-03",7.06
"3","2016-06-06",7
"4","2016-06-07",6.92
"5","2016-06-08",7
"6","2016-06-09",6.96
"7","2016-06-10",6.9
"8","2016-06-13",6.9
"9","2016-06-14",6.99
"10","2016-06-15",7.01
"11","2016-06-16",7
"12","2016-06-17",7.1
"13","2016-06-20",7.04
"14","2016-06-21",6.97
"15","2016-06-22",7.1
"16","2016-06-23",6.9
"17","2016-06-24",6.8
"18","2016-06-27",7
"19","2016-06-28",6.91
"20","2016-06-29",6.93
"21","2016-06-30",7.01
"22","2016-07-01",6.78
"23","2016-07-05",6.9
"24","2016-07-06",6.63
"25","2016-07-07",6.79
"26","2016-07-08",6.545
"27","2016-07-11",6.55
"28","2016-07-12",6.78
"29","2016-07-13",7
"30","2016-07-14",6.75
"31","2016-07-15",6.6
"32","2016-07-18",6.59
"33","2016-07-19",6.49
"34","2016-07-20",6.55
"35","2016-07-21",6.493
"36","2016-07-22",6.59
"37","2016-07-25",6.57
"38","2016-07-26",6.72
"39","2016-07-27",6.52
"40","2016-07-28",6.53
"41","2016-07-29",6.05
"42","2016-08-01",6.08
"43","2016-08-02",6.44
"44","2016-08-03",6.41
"45","2016-08-04",6.48
"46","2016-08-05",6.19
"47","2016-08-08",6.005
"48","2016-08-09",6.77
"49","2016-08-10",6.77
"50","2016-08-11",7.19
"51","2016-08-12",7.19
"52","2016-08-15",7.14
"53","2016-08-16",6.76
"54","2016-08-17",7
"55","2016-08-18",7
"56","2016-08-19",7.02
"57","2016-08-22",7.08
"58","2016-08-23",7.45
"59","2016-08-24",7.13
"60","2016-08-25",7.2
"61","2016-08-26",7.01
"62","2016-08-29",7.13
"63","2016-08-30",7.46
"64","2016-08-31",7.38
"65","2016-09-01",7.71
"66","2016-09-02",8.16
"67","2016-09-06",8.105
"68","2016-09-07",8.3
"69","2016-09-08",8.18
"70","2016-09-09",8.4
"71","2016-09-12",7.92
"72","2016-09-13",8
"73","2016-09-14",8.14
"74","2016-09-15",8.13
"75","2016-09-16",8.37
"76","2016-09-19",10.44
"77","2016-09-20",11.01
"78","2016-09-21",11.88
"79","2016-09-22",11.75
"80","2016-09-23",13.98
"81","2016-09-26",15.26
"82","2016-09-27",16.65
"83","2016-09-28",17.540001
"84","2016-09-29",16.5
"85","2016-09-30",17.35
"86","2016-10-03",18.07
"87","2016-10-04",17.33
"88","2016-10-05",18.4
"89","2016-10-06",20.15
"90","2016-10-07",23.370001
"91","2016-10-10",24.68
"92","2016-10-11",24.719999
"93","2016-10-12",21.41
"94","2016-10-13",19.110001
"95","2016-10-14",20.16
"96","2016-10-17",21.23
"97","2016-10-18",21.860001
"98","2016-10-19",20.190001
"99","2016-10-20",19.5
"100","2016-10-21",18.879999
"101","2016-10-24",19.719999
"102","2016-10-25",19.75
"103","2016-10-26",19.440001
"104","2016-10-27",19.42
"105","2016-10-28",19.93
"106","2016-10-31",21.629999
"107","2016-11-01",18.15
"108","2016-11-02",14.48
"109","2016-11-03",14.8
"110","2016-11-04",16.1
"111","2016-11-07",16.48
"112","2016-11-08",16.709999
"113","2016-11-09",17.709999
"114","2016-11-10",19.08
"115","2016-11-11",19.83
"116","2016-11-14",20.99
"117","2016-11-15",20.84
"118","2016-11-16",20.67
"119","2016-11-17",21.950001
"120","2016-11-18",23.049999
"121","2016-11-21",22.950001
"122","2016-11-22",22.389999
"123","2016-11-23",21.719999
"124","2016-11-25",21.42
"125","2016-11-28",21.82
"126","2016-11-29",18.51
"127","2016-11-30",14.64
"128","2016-12-01",15.36
"129","2016-12-02",15.62
"130","2016-12-05",14.83
"131","2016-12-06",15.18
"132","2016-12-07",14.43
"133","2016-12-08",11.53
"134","2016-12-09",9
"135","2016-12-12",8.68
"136","2016-12-13",8.5
"137","2016-12-14",8.58
"138","2016-12-15",8.9
"139","2016-12-16",9.07
"140","2016-12-19",9.26
"141","2016-12-20",8.99
"142","2016-12-21",9.01
"143","2016-12-22",9.09
"144","2016-12-23",9.05
