"","date","MRC"
"1","2012-04-12",21.040001
"2","2012-04-13",20.799999
"3","2012-04-16",20.65
"4","2012-04-17",20.610001
"5","2012-04-18",20.5
"6","2012-04-19",20.51
"7","2012-04-20",20.67
"8","2012-04-23",20.5
"9","2012-04-24",20.51
"10","2012-04-25",20.25
"11","2012-04-26",20.09
"12","2012-04-27",19.83
"13","2012-04-30",19.6
"14","2012-05-01",20.32
"15","2012-05-02",20.389999
"16","2012-05-03",20.719999
"17","2012-05-04",20.9
"18","2012-05-07",21.049999
"19","2012-05-08",20.85
"20","2012-05-09",20.389999
"21","2012-05-10",20.719999
"22","2012-05-11",20.860001
"23","2012-05-14",20.66
"24","2012-05-15",20.65
"25","2012-05-16",20.5
"26","2012-05-17",20.1
"27","2012-05-18",20.09
"28","2012-05-21",20.25
"29","2012-05-22",20.459999
"30","2012-05-23",20.49
"31","2012-05-24",20.459999
"32","2012-05-25",20.43
"33","2012-05-29",20.799999
"34","2012-05-30",20.58
"35","2012-05-31",20.76
"36","2012-06-01",19.610001
"37","2012-06-04",19.73
"38","2012-06-05",20.15
"39","2012-06-06",20.35
"40","2012-06-07",20.82
"41","2012-06-08",20.85
"42","2012-06-11",20.530001
"43","2012-06-12",20.66
"44","2012-06-13",20.690001
"45","2012-06-14",20.709999
"46","2012-06-15",21.01
"47","2012-06-18",21.02
"48","2012-06-19",21.41
"49","2012-06-20",21.16
"50","2012-06-21",20.23
"51","2012-06-22",19.98
"52","2012-06-25",20.02
"53","2012-06-26",20.719999
"54","2012-06-27",21.290001
"55","2012-06-28",21.07
"56","2012-06-29",21.280001
"57","2012-07-02",21.57
"58","2012-07-03",21.42
"59","2012-07-05",21.549999
"60","2012-07-06",21.780001
"61","2012-07-09",21.450001
"62","2012-07-10",20.969999
"63","2012-07-11",20.48
"64","2012-07-12",20.719999
"65","2012-07-13",21.23
"66","2012-07-16",21.530001
"67","2012-07-17",21.9
"68","2012-07-18",21.719999
"69","2012-07-19",22.52
"70","2012-07-20",23.18
"71","2012-07-23",22.76
"72","2012-07-24",22.57
"73","2012-07-25",22.860001
"74","2012-07-26",23.469999
"75","2012-07-27",23.57
"76","2012-07-30",23.610001
"77","2012-07-31",23.110001
"78","2012-08-01",22.43
"79","2012-08-02",22.35
"80","2012-08-03",23.5
"81","2012-08-06",23.780001
"82","2012-08-07",23.889999
"83","2012-08-08",23.450001
"84","2012-08-09",23.01
"85","2012-08-10",22.639999
"86","2012-08-13",22.530001
"87","2012-08-14",22.24
"88","2012-08-15",22.25
"89","2012-08-16",22.09
"90","2012-08-17",22.68
"91","2012-08-20",22.09
"92","2012-08-21",22.24
"93","2012-08-22",21.9
"94","2012-08-23",22.049999
"95","2012-08-24",22.16
"96","2012-08-27",22
"97","2012-08-28",22.370001
"98","2012-08-29",22.530001
"99","2012-08-30",22
"100","2012-08-31",22.030001
"101","2012-09-04",22.07
"102","2012-09-05",22.139999
"103","2012-09-06",22.52
"104","2012-09-07",22.780001
"105","2012-09-10",22.549999
"106","2012-09-11",22.49
"107","2012-09-12",22.639999
"108","2012-09-13",23.76
"109","2012-09-14",25.049999
"110","2012-09-17",25.01
"111","2012-09-18",25.139999
"112","2012-09-19",25.08
"113","2012-09-20",25.08
"114","2012-09-21",25.190001
"115","2012-09-24",25.139999
"116","2012-09-25",24.77
"117","2012-09-26",24.219999
"118","2012-09-27",24.33
"119","2012-09-28",24.59
"120","2012-10-01",24.68
"121","2012-10-02",23.530001
"122","2012-10-03",23.290001
"123","2012-10-04",24.219999
"124","2012-10-05",24.309999
