"","date","ETRN"
"1","2018-10-31",19.5
"2","2018-11-01",19.6
"3","2018-11-02",19.299999
"4","2018-11-05",19.51
"5","2018-11-06",19.5
"6","2018-11-07",19.5
"7","2018-11-08",19.5
"8","2018-11-09",19.5
"9","2018-11-12",19.73
"10","2018-11-13",20.889999
"11","2018-11-14",22.200001
"12","2018-11-15",21.99
"13","2018-11-16",20.879999
"14","2018-11-19",20.549999
"15","2018-11-20",20.59
"16","2018-11-21",21.309999
"17","2018-11-23",21.23
"18","2018-11-26",21.629999
"19","2018-11-27",22.030001
"20","2018-11-28",22.459999
"21","2018-11-29",23
"22","2018-11-30",22.32
"23","2018-12-03",23.01
"24","2018-12-04",22.129999
"25","2018-12-06",22.09
"26","2018-12-07",21.889999
"27","2018-12-10",21.5
"28","2018-12-11",21.709999
"29","2018-12-12",21.51
"30","2018-12-13",21.219999
"31","2018-12-14",21.32
"32","2018-12-17",20.57
"33","2018-12-18",20.110001
"34","2018-12-19",20.35
"35","2018-12-20",19.92
"36","2018-12-21",19.67
"37","2018-12-24",18.49
"38","2018-12-26",19.559999
"39","2018-12-27",19.639999
"40","2018-12-28",19.49
"41","2018-12-31",20.02
"42","2019-01-02",20.01
"43","2019-01-03",20.01
"44","2019-01-04",20.74
"45","2019-01-07",20.6
"46","2019-01-08",20.73
"47","2019-01-09",21.299999
"48","2019-01-10",21.1
"49","2019-01-11",21.01
"50","2019-01-14",20.940001
"51","2019-01-15",21.01
"52","2019-01-16",21.200001
"53","2019-01-17",21.049999
"54","2019-01-18",20.969999
"55","2019-01-22",20.68
"56","2019-01-23",20.879999
"57","2019-01-24",20.860001
"58","2019-01-25",20.940001
"59","2019-01-28",20.610001
"60","2019-01-29",20.700001
"61","2019-01-30",20.77
"62","2019-01-31",20.82
"63","2019-02-01",20.790001
"64","2019-02-04",20.75
"65","2019-02-05",20.360001
"66","2019-02-06",19.440001
"67","2019-02-07",19.27
"68","2019-02-08",18.959999
"69","2019-02-11",18.82
"70","2019-02-12",19.26
"71","2019-02-13",19.66
"72","2019-02-14",19.52
"73","2019-02-15",19.52
"74","2019-02-19",19.959999
"75","2019-02-20",19.809999
"76","2019-02-21",19.65
"77","2019-02-22",19.83
"78","2019-02-25",20
"79","2019-02-26",18.49
"80","2019-02-27",18.389999
"81","2019-02-28",17.639999
"82","2019-03-01",18.059999
"83","2019-03-04",18.440001
