"","date","FULT"
"1","2007-01-03",16.690001
"2","2007-01-04",16.51
"3","2007-01-05",16.219999
"4","2007-01-08",16.209999
"5","2007-01-09",16.15
"6","2007-01-10",16.18
"7","2007-01-11",16.219999
"8","2007-01-12",16.190001
"9","2007-01-16",16.040001
"10","2007-01-17",15.6
"11","2007-01-18",15.62
"12","2007-01-19",15.47
"13","2007-01-22",15.42
"14","2007-01-23",15.68
"15","2007-01-24",15.82
"16","2007-01-25",15.6
"17","2007-01-26",15.78
"18","2007-01-29",15.87
"19","2007-01-30",15.9
"20","2007-01-31",16.01
"21","2007-02-01",15.9
"22","2007-02-02",16
"23","2007-02-05",15.96
"24","2007-02-06",16
"25","2007-02-07",16.040001
"26","2007-02-08",16.049999
"27","2007-02-09",15.92
"28","2007-02-12",15.96
"29","2007-02-13",16.01
"30","2007-02-14",16.059999
"31","2007-02-15",16.040001
"32","2007-02-16",16.07
"33","2007-02-20",16.15
"34","2007-02-21",16.09
"35","2007-02-22",15.96
"36","2007-02-23",15.84
"37","2007-02-26",15.82
"38","2007-02-27",15.42
"39","2007-02-28",15.37
"40","2007-03-01",15.35
"41","2007-03-02",15.36
"42","2007-03-05",15.07
"43","2007-03-06",15.33
"44","2007-03-07",15.19
"45","2007-03-08",15.27
"46","2007-03-09",15.26
"47","2007-03-12",15.2
"48","2007-03-13",14.86
"49","2007-03-14",15.06
"50","2007-03-15",15.2
"51","2007-03-16",15.19
"52","2007-03-19",15.2
"53","2007-03-20",15.2
"54","2007-03-21",15.53
"55","2007-03-22",15.4
"56","2007-03-23",15.4
"57","2007-03-26",15.41
"58","2007-03-27",14.95
"59","2007-03-28",14.61
"60","2007-03-29",14.64
"61","2007-03-30",14.53
"62","2007-04-02",14.26
"63","2007-04-03",14.47
"64","2007-04-04",14.33
"65","2007-04-05",14.48
"66","2007-04-09",14.52
"67","2007-04-10",14.64
"68","2007-04-11",14.57
"69","2007-04-12",14.54
"70","2007-04-13",14.58
"71","2007-04-16",14.97
"72","2007-04-17",15.03
"73","2007-04-18",15.01
"74","2007-04-19",14.77
"75","2007-04-20",14.72
"76","2007-04-23",14.53
"77","2007-04-24",14.6
"78","2007-04-25",14.79
"79","2007-04-26",14.82
"80","2007-04-27",14.76
"81","2007-04-30",14.72
"82","2007-05-01",14.72
"83","2007-05-02",14.8
"84","2007-05-03",14.88
"85","2007-05-04",14.95
"86","2007-05-07",14.93
"87","2007-05-08",14.92
"88","2007-05-09",15.09
"89","2007-05-10",14.91
"90","2007-05-11",15.07
"91","2007-05-14",14.95
"92","2007-05-15",14.87
"93","2007-05-16",14.97
"94","2007-05-17",14.9
"95","2007-05-18",14.89
"96","2007-05-21",14.92
"97","2007-05-22",14.9
"98","2007-05-23",14.94
"99","2007-05-24",14.86
"100","2007-05-25",14.83
"101","2007-05-29",14.97
"102","2007-05-30",15.08
"103","2007-05-31",15.25
"104","2007-06-01",15.32
"105","2007-06-04",15.23
"106","2007-06-05",15
"107","2007-06-06",14.89
"108","2007-06-07",14.83
"109","2007-06-08",15
"110","2007-06-11",14.93
"111","2007-06-12",14.73
"112","2007-06-13",14.8
"113","2007-06-14",14.8
"114","2007-06-15",15.14
"115","2007-06-18",14.75
"116","2007-06-19",14.7
"117","2007-06-20",14.62
"118","2007-06-21",14.51
"119","2007-06-22",14.27
"120","2007-06-25",14.24
"121","2007-06-26",14.36
"122","2007-06-27",14.48
"123","2007-06-28",14.51
"124","2007-06-29",14.42
"125","2007-07-02",14.43
"126","2007-07-03",14.54
"127","2007-07-05",14.5
"128","2007-07-06",14.54
"129","2007-07-09",14.46
"130","2007-07-10",14.33
"131","2007-07-11",14.34
"132","2007-07-12",14.66
"133","2007-07-13",14.63
"134","2007-07-16",14.67
"135","2007-07-17",14.63
"136","2007-07-18",13.93
"137","2007-07-19",13.72
"138","2007-07-20",13.81
"139","2007-07-23",13.82
"140","2007-07-24",13.45
"141","2007-07-25",13.48
"142","2007-07-26",13.22
"143","2007-07-27",13.25
"144","2007-07-30",13.31
"145","2007-07-31",13.22
"146","2007-08-01",13.43
"147","2007-08-02",13.44
"148","2007-08-03",13.19
"149","2007-08-06",13.89
"150","2007-08-07",14.48
"151","2007-08-08",15.25
"152","2007-08-09",15.49
"153","2007-08-10",14.72
"154","2007-08-13",14.1
"155","2007-08-14",13.82
"156","2007-08-15",14.08
"157","2007-08-16",15.06
"158","2007-08-17",15.34
"159","2007-08-20",15.23
"160","2007-08-21",15.22
"161","2007-08-22",15.24
"162","2007-08-23",14.91
"163","2007-08-24",14.99
"164","2007-08-27",14.79
"165","2007-08-28",14.4
"166","2007-08-29",14.79
"167","2007-08-30",14.55
"168","2007-08-31",14.7
"169","2007-09-04",14.79
"170","2007-09-05",14.54
"171","2007-09-06",14.61
"172","2007-09-07",14.45
"173","2007-09-10",14.25
"174","2007-09-11",14.48
"175","2007-09-12",14.33
"176","2007-09-13",14.43
"177","2007-09-14",14.5
"178","2007-09-17",14.39
"179","2007-09-18",15.14
"180","2007-09-19",15.25
"181","2007-09-20",15.03
"182","2007-09-21",14.99
"183","2007-09-24",14.75
"184","2007-09-25",14.57
"185","2007-09-26",14.67
"186","2007-09-27",14.85
"187","2007-09-28",14.38
"188","2007-10-01",14.62
"189","2007-10-02",14.78
"190","2007-10-03",14.81
"191","2007-10-04",14.91
"192","2007-10-05",14.92
"193","2007-10-08",14.86
"194","2007-10-09",14.94
"195","2007-10-10",14.76
"196","2007-10-11",14.39
"197","2007-10-12",14.23
"198","2007-10-15",13.89
