"","date","PLYA"
"1","2015-11-10",10.24
"2","2015-11-11",9.65
"3","2015-11-12",9.65
"4","2015-11-13",9.65
"5","2015-11-16",9.65
"6","2015-11-17",9.65
"7","2015-11-18",9.85
"8","2015-11-19",9.85
"9","2015-11-20",9.85
"10","2015-11-23",9.85
"11","2015-11-24",9.85
"12","2015-11-25",9.66
"13","2015-11-27",9.66
"14","2015-11-30",9.66
"15","2015-12-01",9.66
"16","2015-12-02",9.66
"17","2015-12-03",9.66
"18","2015-12-04",9.62
"19","2015-12-07",9.62
"20","2015-12-08",9.65
"21","2015-12-09",9.65
"22","2015-12-10",9.63
"23","2015-12-11",9.63
"24","2015-12-14",9.63
"25","2015-12-15",9.63
"26","2015-12-16",9.63
"27","2015-12-17",9.63
"28","2015-12-18",9.63
"29","2015-12-21",9.63
"30","2015-12-22",9.63
"31","2015-12-23",9.6
"32","2015-12-24",9.6
"33","2015-12-28",9.6
"34","2015-12-29",9.6
"35","2015-12-30",9.6
"36","2015-12-31",9.9
"37","2016-01-04",9.9
"38","2016-01-05",9.9
"39","2016-01-06",9.9
"40","2016-01-07",9.9
"41","2016-01-08",9.9
"42","2016-01-11",9.9
"43","2016-01-12",9.6
"44","2016-01-13",9.66
"45","2016-01-14",9.66
"46","2016-01-15",9.66
"47","2016-01-19",9.6
"48","2016-01-20",9.6
"49","2016-01-21",9.61
"50","2016-01-22",9.69
"51","2016-01-25",9.69
"52","2016-01-26",9.69
"53","2016-01-27",9.69
"54","2016-01-28",9.75
"55","2016-01-29",9.75
"56","2016-02-01",9.75
"57","2016-02-02",9.75
"58","2016-02-03",9.75
"59","2016-02-04",9.75
"60","2016-02-05",9.75
"61","2016-02-08",9.75
"62","2016-02-09",9.75
"63","2016-02-10",9.75
"64","2016-02-11",9.75
"65","2016-02-12",9.75
"66","2016-02-16",9.75
"67","2016-02-17",9.75
"68","2016-02-18",9.8
"69","2016-02-19",9.8
"70","2016-02-22",9.8
"71","2016-02-23",9.8
"72","2016-02-24",9.8
"73","2016-02-25",9.8
"74","2016-02-26",9.8
"75","2016-02-29",9.8
"76","2016-03-01",9.8
"77","2016-03-02",9.625
"78","2016-03-03",9.7
"79","2016-03-04",9.7
"80","2016-03-07",9.75
"81","2016-03-08",9.75
"82","2016-03-09",9.57
"83","2016-03-10",9.74
"84","2016-03-11",9.74
"85","2016-03-14",9.74
"86","2016-03-15",9.8
"87","2016-03-16",9.8
"88","2016-03-17",9.8
"89","2016-03-18",9.8
"90","2016-03-21",9.8
"91","2016-03-22",9.8
"92","2016-03-23",9.8
"93","2016-03-24",9.8
"94","2016-03-28",9.8
"95","2016-03-29",9.8
"96","2016-03-30",9.8
"97","2016-03-31",9.8
"98","2016-04-01",9.8
"99","2016-04-04",9.85
"100","2016-04-05",9.85
"101","2016-04-06",9.85
"102","2016-04-07",9.85
"103","2016-04-08",9.85
"104","2016-04-11",9.85
"105","2016-04-12",9.85
"106","2016-04-13",9.85
"107","2016-04-14",9.85
"108","2016-04-15",9.55
"109","2016-04-18",9.55
"110","2016-04-19",9.52
"111","2016-04-20",9.52
"112","2016-04-21",9.52
"113","2016-04-22",9.52
"114","2016-04-25",9.51
"115","2016-04-26",9.77
"116","2016-04-27",9.77
"117","2016-04-28",9.77
"118","2016-04-29",9.77
"119","2016-05-02",9.87
"120","2016-05-03",9.87
"121","2016-05-04",9.87
"122","2016-05-05",9.87
"123","2016-05-06",9.87
"124","2016-05-09",9.87
"125","2016-05-10",9.87
"126","2016-05-11",9.87
"127","2016-05-12",9.87
"128","2016-05-13",9.87
"129","2016-05-16",9.88
"130","2016-05-17",9.88
"131","2016-05-18",9.852
