"","date","MNPR"
"1","2019-12-19",26.5
"2","2019-12-20",27
"3","2019-12-23",21.74
"4","2019-12-24",19.5
"5","2019-12-26",17.4
"6","2019-12-27",19.790001
"7","2019-12-30",18.549999
"8","2019-12-31",16.6
"9","2020-01-02",17.27
"10","2020-01-03",17.75
"11","2020-01-06",16.83
"12","2020-01-07",16.860001
"13","2020-01-08",16.4
"14","2020-01-09",17.799999
"15","2020-01-10",22
"16","2020-01-13",21.190001
"17","2020-01-14",19.99
"18","2020-01-15",18.76
"19","2020-01-16",17.709999
"20","2020-01-17",17.309999
"21","2020-01-21",17.700001
"22","2020-01-22",17.65
"23","2020-01-23",16.620001
"24","2020-01-24",16.5
"25","2020-01-27",16.76
"26","2020-01-28",17.15
"27","2020-01-29",19.5
"28","2020-01-30",16.799999
"29","2020-01-31",14.35
"30","2020-02-03",15.51
"31","2020-02-04",15.12
"32","2020-02-05",15.16
"33","2020-02-06",15.42
"34","2020-02-07",15.6
"35","2020-02-10",11.58
"36","2020-02-11",12.93
"37","2020-02-12",13.16
"38","2020-02-13",12.22
"39","2020-02-14",12.407
"40","2020-02-18",12.03
"41","2020-02-19",11.153
"42","2020-02-20",10.91
"43","2020-02-21",9.95
"44","2020-02-24",10.14
"45","2020-02-25",9.939
"46","2020-02-26",9.66
"47","2020-02-27",9.77
"48","2020-02-28",9.6
"49","2020-03-02",9.8
"50","2020-03-03",10.2
"51","2020-03-04",9.22
"52","2020-03-05",9.165
"53","2020-03-06",9.16
"54","2020-03-09",8.5
"55","2020-03-10",8.74
"56","2020-03-11",8.09
"57","2020-03-12",8.19
"58","2020-03-13",6.41
"59","2020-03-16",5.06
"60","2020-03-17",6.98
"61","2020-03-18",7.79
"62","2020-03-19",7
"63","2020-03-20",7
"64","2020-03-23",6.389
"65","2020-03-24",7.16
"66","2020-03-25",7.4
"67","2020-03-26",7.429
"68","2020-03-27",7.215
"69","2020-03-30",7.091
"70","2020-03-31",7.165
"71","2020-04-01",7.09
"72","2020-04-02",7.022
"73","2020-04-03",6.4
"74","2020-04-06",6.6
"75","2020-04-07",6.861
"76","2020-04-08",6.72
"77","2020-04-09",6.807
"78","2020-04-13",7.45
"79","2020-04-14",8.026
"80","2020-04-15",7.26
"81","2020-04-16",8.05
"82","2020-04-17",8.001
"83","2020-04-20",8.12
"84","2020-04-21",8.1
"85","2020-04-22",7.82
"86","2020-04-23",7.202
"87","2020-04-24",7.794
"88","2020-04-27",7.15
"89","2020-04-28",7.25
"90","2020-04-29",7.385
"91","2020-04-30",7.36
"92","2020-05-01",7.15
"93","2020-05-04",7.4
"94","2020-05-05",7.37
"95","2020-05-06",7.52
"96","2020-05-07",7.6
"97","2020-05-08",7.79
"98","2020-05-11",8.06
"99","2020-05-12",8.02
"100","2020-05-13",7.9
"101","2020-05-14",7.898
"102","2020-05-15",7.66
"103","2020-05-18",7.86
"104","2020-05-19",7.86
"105","2020-05-20",7.93
"106","2020-05-21",7.69
"107","2020-05-22",7.61
"108","2020-05-26",7.71
"109","2020-05-27",7.83
"110","2020-05-28",7.897
"111","2020-05-29",7.7
"112","2020-06-01",7.73
"113","2020-06-02",7.869
"114","2020-06-03",8
"115","2020-06-04",7.85
"116","2020-06-05",7.6
"117","2020-06-08",8.45
"118","2020-06-09",8.75
"119","2020-06-10",7.74
"120","2020-06-11",7.3
"121","2020-06-12",7.98
"122","2020-06-15",8.225
"123","2020-06-16",9.5
"124","2020-06-17",8.47
"125","2020-06-18",8.64
"126","2020-06-19",8.21
"127","2020-06-22",8.23
"128","2020-06-23",8.002
"129","2020-06-24",7.9
"130","2020-06-25",8.13
"131","2020-06-26",6.47
"132","2020-06-29",6.9
"133","2020-06-30",7.46
"134","2020-07-01",7.11
"135","2020-07-02",7.18
"136","2020-07-06",8.15
"137","2020-07-07",7.661
"138","2020-07-08",8
"139","2020-07-09",7.68
"140","2020-07-10",8.05
"141","2020-07-13",7.925
"142","2020-07-14",7.94
"143","2020-07-15",7.59
"144","2020-07-16",7.8
"145","2020-07-17",7.85
"146","2020-07-20",7.85
"147","2020-07-21",7.78
"148","2020-07-22",7.68
"149","2020-07-23",7.514
"150","2020-07-24",7.7
"151","2020-07-27",7.628
"152","2020-07-28",7.7
"153","2020-07-29",7.52
"154","2020-07-30",7.65
"155","2020-07-31",7.34
"156","2020-08-03",7.15
"157","2020-08-04",7.231
"158","2020-08-05",7.37
"159","2020-08-06",7.2
"160","2020-08-07",7
"161","2020-08-10",7.67
"162","2020-08-11",7.393
"163","2020-08-12",6.99
"164","2020-08-13",6.05
"165","2020-08-14",5.84
"166","2020-08-17",5.65
"167","2020-08-18",5.58
"168","2020-08-19",6.17
"169","2020-08-20",5.92
"170","2020-08-21",5.69
"171","2020-08-24",5.52
"172","2020-08-25",5.87
"173","2020-08-26",5.77
"174","2020-08-27",5.75
"175","2020-08-28",5.74
"176","2020-08-31",5.65
"177","2020-09-01",5.52
"178","2020-09-02",5.3
"179","2020-09-03",4.98
"180","2020-09-04",5.24
"181","2020-09-08",5.52
"182","2020-09-09",5.49
"183","2020-09-10",5.45
"184","2020-09-11",5.47
"185","2020-09-14",5.46
"186","2020-09-15",5.58
"187","2020-09-16",5.56
"188","2020-09-17",5.38
"189","2020-09-18",5.24
"190","2020-09-21",5.3
"191","2020-09-22",5.15
"192","2020-09-23",4.975
"193","2020-09-24",5.01
"194","2020-09-25",5.184
"195","2020-09-28",4.93
"196","2020-09-29",4.99
"197","2020-09-30",5.353
"198","2020-10-01",5.08
"199","2020-10-02",5
"200","2020-10-05",4.9
"201","2020-10-06",4.96
"202","2020-10-07",5.06
"203","2020-10-08",5.2
"204","2020-10-09",5.25
"205","2020-10-12",5.04
"206","2020-10-13",5.05
"207","2020-10-14",5.01
"208","2020-10-15",4.91
"209","2020-10-16",4.96
"210","2020-10-19",4.86
"211","2020-10-20",5.001
"212","2020-10-21",4.9
"213","2020-10-22",4.85
"214","2020-10-23",4.8
"215","2020-10-26",5
"216","2020-10-27",4.92
"217","2020-10-28",4.85
"218","2020-10-29",4.85
"219","2020-10-30",4.44
"220","2020-11-02",4.44
"221","2020-11-03",4.43
"222","2020-11-04",4.4
"223","2020-11-05",4.4
"224","2020-11-06",4.39
"225","2020-11-09",4.373
"226","2020-11-10",4.36
"227","2020-11-11",4.68
"228","2020-11-12",4.9
"229","2020-11-13",4.76
"230","2020-11-16",4.96
"231","2020-11-17",5.02
"232","2020-11-18",5.17
"233","2020-11-19",5.145
"234","2020-11-20",5.1
"235","2020-11-23",4.9
"236","2020-11-24",4.87
"237","2020-11-25",4.9
"238","2020-11-27",4.98
