"","date","HYRE"
"1","2018-06-27",5.1
"2","2018-06-28",4.91
"3","2018-06-29",5.05
"4","2018-07-02",4.97
"5","2018-07-03",4.99
"6","2018-07-05",5
"7","2018-07-06",4.7
"8","2018-07-09",4.43
"9","2018-07-10",4.81
"10","2018-07-11",4.8
"11","2018-07-12",4.99
"12","2018-07-13",4.87
"13","2018-07-16",4.85
"14","2018-07-17",4.83
"15","2018-07-18",4.8
"16","2018-07-19",4.65
"17","2018-07-20",4.61
"18","2018-07-23",4.17
"19","2018-07-24",3.75
"20","2018-07-25",3.23
"21","2018-07-26",3.36
"22","2018-07-27",3.42
"23","2018-07-30",3.32
"24","2018-07-31",3.58
"25","2018-08-01",3.6
"26","2018-08-02",3.47
"27","2018-08-03",3.35
"28","2018-08-06",3.15
"29","2018-08-07",3.26
"30","2018-08-08",3.076
"31","2018-08-09",3.06
"32","2018-08-10",2.98
"33","2018-08-13",2.77
"34","2018-08-14",3.01
"35","2018-08-15",2.85
"36","2018-08-16",2.95
"37","2018-08-17",2.93
"38","2018-08-20",3.21
"39","2018-08-21",3.24
"40","2018-08-22",3.49
"41","2018-08-23",3.65
"42","2018-08-24",3.27
"43","2018-08-27",3.41
"44","2018-08-28",3.35
"45","2018-08-29",3.25
"46","2018-08-30",3.14
"47","2018-08-31",3.17
"48","2018-09-04",3.29
"49","2018-09-05",3.01
"50","2018-09-06",2.95
"51","2018-09-07",3.06
"52","2018-09-10",2.94
"53","2018-09-11",2.77
"54","2018-09-12",2.6
"55","2018-09-13",2.57
"56","2018-09-14",2.84
"57","2018-09-17",2.83
"58","2018-09-18",3.1
"59","2018-09-19",3.03
"60","2018-09-20",3.26
"61","2018-09-21",2.85
"62","2018-09-24",2.63
"63","2018-09-25",2.63
"64","2018-09-26",2.63
"65","2018-09-27",2.63
"66","2018-09-28",2.55
"67","2018-10-01",2.75
"68","2018-10-02",2.6
"69","2018-10-03",2.67
"70","2018-10-04",2.7
"71","2018-10-05",2.6
"72","2018-10-08",2.24
"73","2018-10-09",2.46
"74","2018-10-10",2.4
"75","2018-10-11",2.26
"76","2018-10-12",2.3
"77","2018-10-15",1.99
"78","2018-10-16",2.03
"79","2018-10-17",2.05
"80","2018-10-18",2.1
"81","2018-10-19",2.25
"82","2018-10-22",2.34
"83","2018-10-23",2.3
"84","2018-10-24",2.21
"85","2018-10-25",2.14
"86","2018-10-26",2.23
"87","2018-10-29",2.29
"88","2018-10-30",2.29
"89","2018-10-31",2.06
"90","2018-11-01",2.14
"91","2018-11-02",2.07
"92","2018-11-05",2.24
"93","2018-11-06",2.37
"94","2018-11-07",2.58
"95","2018-11-08",2.54
"96","2018-11-09",2.15
"97","2018-11-12",2.1
"98","2018-11-13",2.04
"99","2018-11-14",2.13
"100","2018-11-15",1.99
"101","2018-11-16",2.01
"102","2018-11-19",1.82
"103","2018-11-20",1.77
"104","2018-11-21",1.9
"105","2018-11-23",1.91
"106","2018-11-26",1.82
"107","2018-11-27",1.79
"108","2018-11-28",1.8
"109","2018-11-29",1.7
"110","2018-11-30",1.7
"111","2018-12-03",1.62
"112","2018-12-04",1.68
"113","2018-12-06",1.7
"114","2018-12-07",1.802
"115","2018-12-10",2.14
"116","2018-12-11",2.13
"117","2018-12-12",2.24
"118","2018-12-13",2.13
"119","2018-12-14",2.12
"120","2018-12-17",2.34
"121","2018-12-18",2.83
"122","2018-12-19",2.66
"123","2018-12-20",2.76
"124","2018-12-21",2.69
"125","2018-12-24",2.56
"126","2018-12-26",2.36
"127","2018-12-27",2.31
"128","2018-12-28",2.22
"129","2018-12-31",2.39
"130","2019-01-02",2.52
"131","2019-01-03",2.75
"132","2019-01-04",3.15
"133","2019-01-07",3.35
"134","2019-01-08",3.2
"135","2019-01-09",3.58
"136","2019-01-10",3.48
"137","2019-01-11",4.15
"138","2019-01-14",4.15
"139","2019-01-15",4.3
"140","2019-01-16",3.87
"141","2019-01-17",4.13
"142","2019-01-18",4
"143","2019-01-22",3.62
"144","2019-01-23",3.7
"145","2019-01-24",3.54
"146","2019-01-25",4.56
"147","2019-01-28",4.02
"148","2019-01-29",4.45
"149","2019-01-30",4.52
"150","2019-01-31",4.43
"151","2019-02-01",4.32
"152","2019-02-04",3.82
"153","2019-02-05",4.02
"154","2019-02-06",3.94
"155","2019-02-07",4.13
"156","2019-02-08",3.91
"157","2019-02-11",3.89
"158","2019-02-12",3.74
"159","2019-02-13",4.03
"160","2019-02-14",4.26
"161","2019-02-15",4.23
"162","2019-02-19",4.06
"163","2019-02-20",4
"164","2019-02-21",4.38
"165","2019-02-22",4.99
"166","2019-02-25",5.34
"167","2019-02-26",5.84
"168","2019-02-27",5.37
"169","2019-02-28",5.69
"170","2019-03-01",5.16
"171","2019-03-04",5.5
"172","2019-03-05",5.82
"173","2019-03-06",5.33
"174","2019-03-07",5.32
"175","2019-03-08",5.21
"176","2019-03-11",5.53
"177","2019-03-12",7.1
"178","2019-03-13",6.99
"179","2019-03-14",6.57
"180","2019-03-15",7.52
"181","2019-03-18",6.91
"182","2019-03-19",6.76
"183","2019-03-20",7.2
"184","2019-03-21",7.06
"185","2019-03-22",6.61
"186","2019-03-25",6.63
"187","2019-03-26",7.38
"188","2019-03-27",6.48
"189","2019-03-28",6.11
"190","2019-03-29",5.03
"191","2019-04-01",4.93
"192","2019-04-02",5.2
"193","2019-04-03",5.34
"194","2019-04-04",5.37
"195","2019-04-05",5.19
"196","2019-04-08",5.12
"197","2019-04-09",4.87
"198","2019-04-10",4.97
"199","2019-04-11",5.01
"200","2019-04-12",4.77
"201","2019-04-15",4.5
"202","2019-04-16",4.86
"203","2019-04-17",4.94
"204","2019-04-18",5.05
"205","2019-04-22",5.18
"206","2019-04-23",5.34
"207","2019-04-24",5.6
"208","2019-04-25",5.53
"209","2019-04-26",5.61
"210","2019-04-29",5.55
"211","2019-04-30",5.56
"212","2019-05-01",5.73
"213","2019-05-02",5.42
"214","2019-05-03",5.35
"215","2019-05-06",5.58
"216","2019-05-07",5.09
"217","2019-05-08",5.16
"218","2019-05-09",5.06
"219","2019-05-10",5.14
"220","2019-05-13",4.75
"221","2019-05-14",4.72
"222","2019-05-15",4.41
"223","2019-05-16",4.84
"224","2019-05-17",4.83
"225","2019-05-20",4.23
"226","2019-05-21",4.28
"227","2019-05-22",4.2
"228","2019-05-23",4.2
"229","2019-05-24",4.28
"230","2019-05-28",4.22
"231","2019-05-29",4.04
"232","2019-05-30",4
"233","2019-05-31",3.93
"234","2019-06-03",3.75
"235","2019-06-04",4.19
