"","date","ATV"
"1","2007-05-03",143.333328
"2","2007-05-04",171.266663
"3","2007-05-07",156.666672
"4","2007-05-08",153.333328
"5","2007-05-09",159
"6","2007-05-10",152.800003
"7","2007-05-11",155
"8","2007-05-14",164.333328
"9","2007-05-15",161.333328
"10","2007-05-16",162.46666
"11","2007-05-17",156
"12","2007-05-18",158.266663
"13","2007-05-21",159.666672
"14","2007-05-22",157.600006
"15","2007-05-23",165
"16","2007-05-24",182.666672
"17","2007-05-25",200.53334
"18","2007-05-29",200
"19","2007-05-30",198.333328
"20","2007-05-31",196.600006
"21","2007-06-01",196.666672
"22","2007-06-04",197.933334
"23","2007-06-05",195
"24","2007-06-06",191.666672
"25","2007-06-07",183.133331
"26","2007-06-08",180.733337
"27","2007-06-11",167.866669
"28","2007-06-12",163.066666
"29","2007-06-13",161.866669
"30","2007-06-14",169.933334
"31","2007-06-15",169.066666
"32","2007-06-18",168.066666
"33","2007-06-19",171.53334
"34","2007-06-20",171.399994
"35","2007-06-21",180
"36","2007-06-22",170
"37","2007-06-25",171.066666
"38","2007-06-26",169.46666
"39","2007-06-27",167.199997
"40","2007-06-28",165
"41","2007-06-29",161.266663
"42","2007-07-02",166.933334
"43","2007-07-03",165.399994
"44","2007-07-05",160
"45","2007-07-06",151.266663
"46","2007-07-09",152
"47","2007-07-10",152.199997
"48","2007-07-11",148.266663
"49","2007-07-12",141.666672
"50","2007-07-13",147.199997
"51","2007-07-16",148.399994
"52","2007-07-17",147.666672
"53","2007-07-18",147.333328
"54","2007-07-19",146.666672
"55","2007-07-20",145.866669
"56","2007-07-23",146.666672
"57","2007-07-24",145
"58","2007-07-25",141.666672
"59","2007-07-26",136.399994
"60","2007-07-27",133.333328
"61","2007-07-30",127
"62","2007-07-31",117.73333
"63","2007-08-01",117.333336
"64","2007-08-02",116.466667
"65","2007-08-03",115.066666
"66","2007-08-06",98.800003
"67","2007-08-07",89.333336
"68","2007-08-08",97.26667
"69","2007-08-09",93.400002
"70","2007-08-10",93.333336
"71","2007-08-13",93.333336
"72","2007-08-14",96.666664
"73","2007-08-15",96.599998
"74","2007-08-16",92.333336
"75","2007-08-17",93.066666
"76","2007-08-20",92.133331
"77","2007-08-21",87
"78","2007-08-22",86.666664
"79","2007-08-23",87.199997
"80","2007-08-24",91.866669
"81","2007-08-27",98
"82","2007-08-28",94
"83","2007-08-29",94
"84","2007-08-30",93
"85","2007-08-31",93.333336
"86","2007-09-04",92.333336
"87","2007-09-05",90.666664
"88","2007-09-06",94.800003
"89","2007-09-07",92.866669
"90","2007-09-10",86.666664
"91","2007-09-11",88.066666
"92","2007-09-12",88.26667
"93","2007-09-13",87.400002
"94","2007-09-14",89.133331
"95","2007-09-17",86.400002
"96","2007-09-18",88.066666
"97","2007-09-19",94.199997
"98","2007-09-20",113.133331
"99","2007-09-21",116
"100","2007-09-24",117.800003
"101","2007-09-25",130.666672
"102","2007-09-26",143.266663
"103","2007-09-27",153.333328
"104","2007-09-28",137.866669
"105","2007-10-01",149.066666
"106","2007-10-02",139.53334
"107","2007-10-03",130.199997
"108","2007-10-04",124.066666
"109","2007-10-05",127.866669
"110","2007-10-08",123.666664
"111","2007-10-09",125.73333
"112","2007-10-10",155.199997
"113","2007-10-11",134.800003
"114","2007-10-12",135.333328
"115","2007-10-15",136.066666
"116","2007-10-16",130.800003
"117","2007-10-17",131.399994
"118","2007-10-18",123.066666
"119","2007-10-19",119.533333
"120","2007-10-22",113
"121","2007-10-23",131.46666
"122","2007-10-24",126.199997
"123","2007-10-25",122.333336
"124","2007-10-26",119.933334
"125","2007-10-29",119.73333
"126","2007-10-30",112.933334
"127","2007-10-31",113.26667
"128","2007-11-01",102.333336
"129","2007-11-02",104.199997
"130","2007-11-05",103.533333
"131","2007-11-06",102.599998
"132","2007-11-07",97.333336
