"","date","CTT"
"1","2013-12-12",13.5
"2","2013-12-13",13.51
"3","2013-12-16",13.5
"4","2013-12-17",13.55
"5","2013-12-18",13.48
"6","2013-12-19",13.55
"7","2013-12-20",13.58
"8","2013-12-23",13.68
"9","2013-12-24",13.69
"10","2013-12-26",13.72
"11","2013-12-27",13.74
"12","2013-12-30",13.84
"13","2013-12-31",13.95
"14","2014-01-02",13.83
"15","2014-01-03",13.94
"16","2014-01-06",14.3
"17","2014-01-07",14.2
"18","2014-01-08",14.08
"19","2014-01-09",14.08
"20","2014-01-10",13.8
"21","2014-01-13",13.82
"22","2014-01-14",13.98
"23","2014-01-15",13.88
"24","2014-01-16",13.57
"25","2014-01-17",13.89
"26","2014-01-21",13.94
"27","2014-01-22",14
"28","2014-01-23",13.99
"29","2014-01-24",13.9
"30","2014-01-27",13.89
"31","2014-01-28",13.78
"32","2014-01-29",13.6
"33","2014-01-30",13.5
"34","2014-01-31",13.84
"35","2014-02-03",13.36
"36","2014-02-04",13.46
"37","2014-02-05",13.44
"38","2014-02-06",13.48
"39","2014-02-07",13.68
"40","2014-02-10",13.36
"41","2014-02-11",13.23
"42","2014-02-12",12.89
"43","2014-02-13",13.05
"44","2014-02-14",13.1
"45","2014-02-18",13.15
"46","2014-02-19",13.21
"47","2014-02-20",12.86
"48","2014-02-21",13
"49","2014-02-24",13.14
"50","2014-02-25",13.17
"51","2014-02-26",13.13
"52","2014-02-27",13.07
"53","2014-02-28",13.25
"54","2014-03-03",13.44
"55","2014-03-04",13.3
"56","2014-03-05",13.47
"57","2014-03-06",13.42
"58","2014-03-07",13.48
"59","2014-03-10",13.53
"60","2014-03-11",13.46
"61","2014-03-12",13.45
"62","2014-03-13",13.16
"63","2014-03-14",13.33
"64","2014-03-17",13.5
"65","2014-03-18",13.79
"66","2014-03-19",13.77
"67","2014-03-20",13.75
"68","2014-03-21",13.76
"69","2014-03-24",13.86
"70","2014-03-25",13.81
"71","2014-03-26",13.49
"72","2014-03-27",13.45
"73","2014-03-28",13.32
"74","2014-03-31",14.05
"75","2014-04-01",13.72
"76","2014-04-02",14
"77","2014-04-03",14.05
"78","2014-04-04",14.06
"79","2014-04-07",13.74
"80","2014-04-08",13.32
"81","2014-04-09",13.53
"82","2014-04-10",13.19
"83","2014-04-11",13.33
"84","2014-04-14",13.39
"85","2014-04-15",13.4
"86","2014-04-16",13.48
"87","2014-04-17",13.5
"88","2014-04-21",13.33
"89","2014-04-22",13.57
"90","2014-04-23",13.39
"91","2014-04-24",13.42
"92","2014-04-25",13.36
"93","2014-04-28",13.35
"94","2014-04-29",13.36
"95","2014-04-30",13.48
"96","2014-05-01",13.45
"97","2014-05-02",13.43
"98","2014-05-05",13.42
"99","2014-05-06",13.29
"100","2014-05-07",13.25
"101","2014-05-08",13.15
"102","2014-05-09",12.98
"103","2014-05-12",13.39
"104","2014-05-13",13.18
"105","2014-05-14",13.05
"106","2014-05-15",13.17
"107","2014-05-16",13.42
"108","2014-05-19",13.2
"109","2014-05-20",13.11
"110","2014-05-21",13.18
"111","2014-05-22",13.36
"112","2014-05-23",13.33
"113","2014-05-27",13.46
"114","2014-05-28",13.24
"115","2014-05-29",13.3
"116","2014-05-30",13.24
"117","2014-06-02",13.41
"118","2014-06-03",13.44
"119","2014-06-04",13.43
"120","2014-06-05",13.52
"121","2014-06-06",13.61
"122","2014-06-09",13.75
"123","2014-06-10",13.81
"124","2014-06-11",13.87
"125","2014-06-12",13.92
"126","2014-06-13",13.9
"127","2014-06-16",13.71
"128","2014-06-17",13.56
"129","2014-06-18",13.26
"130","2014-06-19",13.21
"131","2014-06-20",13.5
"132","2014-06-23",13.34
"133","2014-06-24",13.24
"134","2014-06-25",13.26
"135","2014-06-26",13.3
"136","2014-06-27",13.5
"137","2014-06-30",13.67
"138","2014-07-01",13.59
"139","2014-07-02",13.6
"140","2014-07-03",13.56
"141","2014-07-07",13.2
"142","2014-07-08",12.52
"143","2014-07-09",12.46
"144","2014-07-10",11.98
"145","2014-07-11",11.98
"146","2014-07-14",12.04
"147","2014-07-15",12.15
"148","2014-07-16",12.4
"149","2014-07-17",12.38
"150","2014-07-18",12.36
"151","2014-07-21",12.41
"152","2014-07-22",12.51
"153","2014-07-23",12.4
"154","2014-07-24",12.3
"155","2014-07-25",12.33
"156","2014-07-28",12.38
"157","2014-07-29",12.33
"158","2014-07-30",12.26
"159","2014-07-31",12
"160","2014-08-01",12.05
"161","2014-08-04",11.92
"162","2014-08-05",11.81
