"","date","GS"
"1","2007-01-03",200.720001
"2","2007-01-04",198.850006
"3","2007-01-05",199.050003
"4","2007-01-08",203.729996
"5","2007-01-09",204.080002
"6","2007-01-10",208.110001
"7","2007-01-11",211.880005
"8","2007-01-12",213.990005
"9","2007-01-16",213.589996
"10","2007-01-17",213.229996
"11","2007-01-18",209.679993
"12","2007-01-19",210.289993
"13","2007-01-22",212.970001
"14","2007-01-23",212.639999
"15","2007-01-24",220.100006
"16","2007-01-25",213.070007
"17","2007-01-26",213.5
"18","2007-01-29",211.039993
"19","2007-01-30",208.779999
"20","2007-01-31",212.160004
"21","2007-02-01",212
"22","2007-02-02",213.429993
"23","2007-02-05",212.550003
"24","2007-02-06",214.649994
"25","2007-02-07",213.550003
"26","2007-02-08",213.899994
"27","2007-02-09",213.279999
"28","2007-02-12",211.130005
"29","2007-02-13",212.529999
"30","2007-02-14",217.399994
"31","2007-02-15",216.820007
"32","2007-02-16",216.919998
"33","2007-02-20",220.940002
"34","2007-02-21",220.149994
"35","2007-02-22",218.970001
"36","2007-02-23",216.5
"37","2007-02-26",214
"38","2007-02-27",196
"39","2007-02-28",201.75
"40","2007-03-01",199.660004
"41","2007-03-02",195.669998
"42","2007-03-05",190
"43","2007-03-06",197.369995
"44","2007-03-07",195.589996
"45","2007-03-08",199.940002
"46","2007-03-09",201.699997
"47","2007-03-12",202.600006
"48","2007-03-13",199.029999
"49","2007-03-14",200.149994
"50","2007-03-15",200.889999
"51","2007-03-16",199
"52","2007-03-19",202.440002
"53","2007-03-20",204
"54","2007-03-21",210.949997
"55","2007-03-22",210.080002
"56","2007-03-23",211.889999
"57","2007-03-26",211.729996
"58","2007-03-27",209.869995
"59","2007-03-28",206.759995
"60","2007-03-29",207.199997
"61","2007-03-30",206.630005
"62","2007-04-02",205.649994
"63","2007-04-03",209.75
"64","2007-04-04",208.789993
"65","2007-04-05",207.929993
"66","2007-04-09",208.940002
"67","2007-04-10",209.050003
"68","2007-04-11",206.929993
"69","2007-04-12",207.050003
"70","2007-04-13",206.5
"71","2007-04-16",214.520004
"72","2007-04-17",214.899994
"73","2007-04-18",216.75
"74","2007-04-19",219.289993
"75","2007-04-20",220
"76","2007-04-23",222.419998
"77","2007-04-24",220.720001
"78","2007-04-25",225.600006
"79","2007-04-26",224.809998
"80","2007-04-27",224.279999
"81","2007-04-30",218.610001
"82","2007-05-01",218.580002
"83","2007-05-02",219.490005
"84","2007-05-03",221.559998
"85","2007-05-04",227.339996
"86","2007-05-07",227.220001
"87","2007-05-08",224.949997
"88","2007-05-09",226.570007
"89","2007-05-10",223.100006
"90","2007-05-11",227.5
"91","2007-05-14",226.179993
"92","2007-05-15",224.380005
"93","2007-05-16",227.110001
"94","2007-05-17",227.380005
"95","2007-05-18",230.339996
"96","2007-05-21",229.229996
"97","2007-05-22",230.710007
"98","2007-05-23",228.539993
"99","2007-05-24",225.679993
"100","2007-05-25",225.529999
"101","2007-05-29",228.440002
"102","2007-05-30",232
"103","2007-05-31",230.820007
"104","2007-06-01",230.710007
"105","2007-06-04",229.710007
"106","2007-06-05",229.360001
"107","2007-06-06",227.350006
"108","2007-06-07",220.050003
"109","2007-06-08",225.059998
"110","2007-06-11",227.160004
"111","2007-06-12",227.850006
"112","2007-06-13",233.639999
"113","2007-06-14",225.75
"114","2007-06-15",226.190002
"115","2007-06-18",226.970001
"116","2007-06-19",229.470001
"117","2007-06-20",225.889999
"118","2007-06-21",226.899994
"119","2007-06-22",222.399994
"120","2007-06-25",216.740005
"121","2007-06-26",214.169998
"122","2007-06-27",219.330002
"123","2007-06-28",218.960007
"124","2007-06-29",216.75
"125","2007-07-02",219.179993
"126","2007-07-03",224.550003
"127","2007-07-05",221.320007
"128","2007-07-06",223.639999
"129","2007-07-09",223.300003
"130","2007-07-10",217.080002
"131","2007-07-11",216.720001
"132","2007-07-12",220.289993
"133","2007-07-13",222.179993
"134","2007-07-16",220.399994
"135","2007-07-17",219.399994
"136","2007-07-18",214.990005
"137","2007-07-19",211.690002
"138","2007-07-20",205.940002
"139","2007-07-23",205.039993
"140","2007-07-24",198.149994
"141","2007-07-25",203.160004
"142","2007-07-26",195.119995
"143","2007-07-27",192.649994
"144","2007-07-30",195.740005
"145","2007-07-31",188.339996
"146","2007-08-01",189
"147","2007-08-02",187.460007
"148","2007-08-03",179.679993
"149","2007-08-06",187.789993
"150","2007-08-07",191.25
"151","2007-08-08",193.300003
"152","2007-08-09",182.25
"153","2007-08-10",180.5
"154","2007-08-13",177.5
"155","2007-08-14",169.75
"156","2007-08-15",164.899994
"157","2007-08-16",169.850006
"158","2007-08-17",175
"159","2007-08-20",172.759995
"160","2007-08-21",175.479996
