"","date","ANGI"
"1","2011-11-17",16.26
"2","2011-11-18",15.8
"3","2011-11-21",15.4
"4","2011-11-22",16.120001
"5","2011-11-23",14.77
"6","2011-11-25",13.5
"7","2011-11-28",13
"8","2011-11-29",11.8
"9","2011-11-30",11.56
"10","2011-12-01",12.55
"11","2011-12-02",14.01
"12","2011-12-05",13.63
"13","2011-12-06",14.01
"14","2011-12-07",15.61
"15","2011-12-08",16.15
"16","2011-12-09",16.030001
"17","2011-12-12",16.49
"18","2011-12-13",16.75
"19","2011-12-14",16.42
"20","2011-12-15",16
"21","2011-12-16",15.73
"22","2011-12-19",15.65
"23","2011-12-20",15.9
"24","2011-12-21",16
"25","2011-12-22",16.08
"26","2011-12-23",16.530001
"27","2011-12-27",16.690001
"28","2011-12-28",16.389999
"29","2011-12-29",15.99
"30","2011-12-30",16.1
"31","2012-01-03",15.09
"32","2012-01-04",14.09
"33","2012-01-05",13.79
"34","2012-01-06",13.23
"35","2012-01-09",13.41
"36","2012-01-10",13.86
"37","2012-01-11",14.03
"38","2012-01-12",15.03
"39","2012-01-13",15.1
"40","2012-01-17",15.75
"41","2012-01-18",15.9
"42","2012-01-19",15.9
"43","2012-01-20",15.7
"44","2012-01-23",15.8
"45","2012-01-24",15.8
"46","2012-01-25",15.64
"47","2012-01-26",15.59
"48","2012-01-27",15.2
"49","2012-01-30",14.72
"50","2012-01-31",14.74
"51","2012-02-01",14.23
"52","2012-02-02",14.68
"53","2012-02-03",14.91
"54","2012-02-06",14.73
"55","2012-02-07",15.43
"56","2012-02-08",16.27
"57","2012-02-09",16.049999
"58","2012-02-10",16.139999
"59","2012-02-13",16.41
"60","2012-02-14",15.61
"61","2012-02-15",15.05
"62","2012-02-16",15.41
"63","2012-02-17",14.92
"64","2012-02-21",14.93
"65","2012-02-22",14.46
"66","2012-02-23",15.47
"67","2012-02-24",15.61
"68","2012-02-27",15.84
"69","2012-02-28",15.98
"70","2012-02-29",16
"71","2012-03-01",16.120001
"72","2012-03-02",15.25
"73","2012-03-05",15.61
"74","2012-03-06",14.79
"75","2012-03-07",15.5
"76","2012-03-08",15.48
"77","2012-03-09",15.5
"78","2012-03-12",15.93
"79","2012-03-13",16.040001
"80","2012-03-14",15.73
"81","2012-03-15",16.129999
"82","2012-03-16",16.08
"83","2012-03-19",17.83
"84","2012-03-20",17.280001
"85","2012-03-21",16.799999
"86","2012-03-22",17.040001
"87","2012-03-23",17.059999
"88","2012-03-26",17.57
"89","2012-03-27",17.9
"90","2012-03-28",18.91
"91","2012-03-29",17.969999
"92","2012-03-30",18.889999
"93","2012-04-02",18.35
"94","2012-04-03",17.49
"95","2012-04-04",16.860001
"96","2012-04-05",16.02
