"","date","STRT"
"1","2007-01-03",47.099998
"2","2007-01-04",46.369999
"3","2007-01-05",45.889999
"4","2007-01-08",46.080002
"5","2007-01-09",46.080002
"6","2007-01-10",45.509998
"7","2007-01-11",45.849998
"8","2007-01-12",46.560001
"9","2007-01-16",46.790001
"10","2007-01-17",46.09
"11","2007-01-18",44.169998
"12","2007-01-19",44.450001
"13","2007-01-22",45.049999
"14","2007-01-23",46.599998
"15","2007-01-24",48.5
"16","2007-01-25",47.41
"17","2007-01-26",48.049999
"18","2007-01-29",47.599998
"19","2007-01-30",46.66
"20","2007-01-31",46.66
"21","2007-02-01",47.240002
"22","2007-02-02",47.07
"23","2007-02-05",46.869999
"24","2007-02-06",46.650002
"25","2007-02-07",46.759998
"26","2007-02-08",46.029999
"27","2007-02-09",46.02
"28","2007-02-12",45.900002
"29","2007-02-13",46
"30","2007-02-14",46.07
"31","2007-02-15",45.880001
"32","2007-02-16",46.09
"33","2007-02-20",45.830002
"34","2007-02-21",45.91
"35","2007-02-22",45.779999
"36","2007-02-23",45.5
"37","2007-02-26",45.75
"38","2007-02-27",45.75
"39","2007-02-28",46.16
"40","2007-03-01",45.970001
"41","2007-03-02",45.049999
"42","2007-03-05",43.509998
"43","2007-03-06",42.639999
"44","2007-03-07",42.549999
"45","2007-03-08",42.610001
"46","2007-03-09",45.150002
"47","2007-03-12",47.23
"48","2007-03-13",46.02
"49","2007-03-14",45.27
"50","2007-03-15",43.490002
"51","2007-03-16",43.560001
"52","2007-03-19",43.169998
"53","2007-03-20",43.029999
"54","2007-03-21",42.700001
"55","2007-03-22",42.880001
"56","2007-03-23",42.889999
"57","2007-03-26",42.700001
"58","2007-03-27",43.400002
"59","2007-03-28",43.75
"60","2007-03-29",43.75
"61","2007-03-30",43.75
"62","2007-04-02",43.349998
"63","2007-04-03",43.650002
"64","2007-04-04",43.099998
"65","2007-04-05",43.07
"66","2007-04-09",43.470001
"67","2007-04-10",43.470001
"68","2007-04-11",43.950001
"69","2007-04-12",43.990002
"70","2007-04-13",44.189999
