"","date","CLRB"
"1","2007-01-03",272340
"2","2007-01-04",266220
"3","2007-01-05",272340
"4","2007-01-08",284580
"5","2007-01-09",278460
"6","2007-01-10",269280
"7","2007-01-11",275400
"8","2007-01-12",275400
"9","2007-01-16",290700
"10","2007-01-17",342720
"11","2007-01-18",345780
"12","2007-01-19",333540
"13","2007-01-22",351900
"14","2007-01-23",342720
"15","2007-01-24",339660
"16","2007-01-25",339660
"17","2007-01-26",327420
"18","2007-01-29",333540
"19","2007-01-30",309060
"20","2007-01-31",312120
"21","2007-02-01",330480
"22","2007-02-02",336600
"23","2007-02-05",333540
"24","2007-02-06",333540
"25","2007-02-07",330480
"26","2007-02-08",330480
"27","2007-02-09",330480
"28","2007-02-12",330480
"29","2007-02-13",333540
"30","2007-02-14",336600
"31","2007-02-15",321300
"32","2007-02-16",324360
"33","2007-02-20",333540
"34","2007-02-21",345780
"35","2007-02-22",354960
"36","2007-02-23",354960
"37","2007-02-26",351900
"38","2007-02-27",324360
"39","2007-02-28",315180
"40","2007-03-01",302940
"41","2007-03-02",287640
"42","2007-03-05",306000
"43","2007-03-06",290700
"44","2007-03-07",306000
"45","2007-03-08",315180
"46","2007-03-09",321300
"47","2007-03-12",318240
"48","2007-03-13",318240
"49","2007-03-14",321300
"50","2007-03-15",330480
"51","2007-03-16",321300
"52","2007-03-19",318240
"53","2007-03-20",318240
"54","2007-03-21",321300
"55","2007-03-22",339660
"56","2007-03-23",330480
"57","2007-03-26",315180
"58","2007-03-27",333540
"59","2007-03-28",333540
"60","2007-03-29",358020
"61","2007-03-30",354960
"62","2007-04-02",397800
"63","2007-04-03",413100
"64","2007-04-04",410040
"65","2007-04-05",400860
"66","2007-04-09",394740
"67","2007-04-10",391680
"68","2007-04-11",406980
"69","2007-04-12",397800
"70","2007-04-13",400860
"71","2007-04-16",397800
"72","2007-04-17",397800
"73","2007-04-18",394740
"74","2007-04-19",391680
"75","2007-04-20",391680
"76","2007-04-23",376380
"77","2007-04-24",370260
"78","2007-04-25",370260
"79","2007-04-26",379440
"80","2007-04-27",367200
"81","2007-04-30",382500
"82","2007-05-01",373320
"83","2007-05-02",388620
"84","2007-05-03",388620
"85","2007-05-04",388620
"86","2007-05-07",382500
"87","2007-05-08",367200
"88","2007-05-09",361080
"89","2007-05-10",351900
"90","2007-05-11",351900
"91","2007-05-14",336600
"92","2007-05-15",330480
"93","2007-05-16",336600
"94","2007-05-17",342720
"95","2007-05-18",351900
"96","2007-05-21",351900
"97","2007-05-22",348840
"98","2007-05-23",336600
"99","2007-05-24",339660
"100","2007-05-25",336600
"101","2007-05-29",336600
"102","2007-05-30",339660
"103","2007-05-31",336600
"104","2007-06-01",318240
"105","2007-06-04",306000
"106","2007-06-05",290700
"107","2007-06-06",302940
"108","2007-06-07",290700
"109","2007-06-08",284580
"110","2007-06-11",306000
"111","2007-06-12",306000
"112","2007-06-13",296820
"113","2007-06-14",306000
"114","2007-06-15",296820
"115","2007-06-18",330480
"116","2007-06-19",306000
"117","2007-06-20",306000
"118","2007-06-21",296820
"119","2007-06-22",296820
"120","2007-06-25",290700
"121","2007-06-26",269280
"122","2007-06-27",253980
"123","2007-06-28",269280
"124","2007-06-29",266220
"125","2007-07-02",260100
"126","2007-07-03",260100
"127","2007-07-05",238680
"128","2007-07-06",232560
"129","2007-07-09",244800
"130","2007-07-10",244800
"131","2007-07-11",247860
"132","2007-07-12",244800
