"","date","CRTD"
"1","2020-09-11",3.11
"2","2020-09-14",3.11
"3","2020-09-15",3.15
"4","2020-09-16",3.19
"5","2020-09-17",3.14
"6","2020-09-18",3.2
"7","2020-09-21",2.95
"8","2020-09-22",3
"9","2020-09-23",2.78
"10","2020-09-24",2.78
"11","2020-09-25",2.8
"12","2020-09-28",2.77
"13","2020-09-29",2.63
"14","2020-09-30",2.67
"15","2020-10-01",2.91
"16","2020-10-02",2.74
"17","2020-10-05",2.7
"18","2020-10-06",2.735
"19","2020-10-07",2.917
"20","2020-10-08",3.05
"21","2020-10-09",3.05
"22","2020-10-12",2.94
"23","2020-10-13",2.951
"24","2020-10-14",2.78
"25","2020-10-15",2.8
"26","2020-10-16",2.78
"27","2020-10-19",2.75
"28","2020-10-20",2.75
"29","2020-10-21",2.78
"30","2020-10-22",2.72
"31","2020-10-23",2.8
"32","2020-10-26",2.55
"33","2020-10-27",2.88
"34","2020-10-28",2.55
"35","2020-10-29",2.515
"36","2020-10-30",2.4
"37","2020-11-02",2.48
"38","2020-11-03",2.65
"39","2020-11-04",2.57
"40","2020-11-05",2.335
"41","2020-11-06",2.4
"42","2020-11-09",2.44
"43","2020-11-10",2.58
"44","2020-11-11",2.45
"45","2020-11-12",2.51
"46","2020-11-13",2.88
"47","2020-11-16",2.95
"48","2020-11-17",3.006
"49","2020-11-18",2.96
"50","2020-11-19",3.09
"51","2020-11-20",3.11
"52","2020-11-23",3.036
"53","2020-11-24",2.854
"54","2020-11-25",2.9
"55","2020-11-27",3.13
