"","date","RDN"
"1","2007-01-03",55.18
"2","2007-01-04",55.549999
"3","2007-01-05",55.25
"4","2007-01-08",54.700001
"5","2007-01-09",54.439999
"6","2007-01-10",54.509998
"7","2007-01-11",56.299999
"8","2007-01-12",56.32
"9","2007-01-16",56.23
"10","2007-01-17",56.290001
"11","2007-01-18",56.75
"12","2007-01-19",56.709999
"13","2007-01-22",56.669998
"14","2007-01-23",57.23
"15","2007-01-24",60.540001
"16","2007-01-25",59.259998
"17","2007-01-26",59.389999
"18","2007-01-29",59.200001
"19","2007-01-30",59.349998
"20","2007-01-31",60.220001
"21","2007-02-01",60.790001
"22","2007-02-02",61.279999
"23","2007-02-05",60.84
"24","2007-02-06",66.510002
"25","2007-02-07",65.050003
"26","2007-02-08",62.950001
"27","2007-02-09",62.220001
"28","2007-02-12",60.919998
"29","2007-02-13",61.900002
"30","2007-02-14",62.93
"31","2007-02-15",62.810001
"32","2007-02-16",62.720001
"33","2007-02-20",63.18
"34","2007-02-21",62.439999
"35","2007-02-22",61.330002
"36","2007-02-23",60.52
"37","2007-02-26",59.549999
"38","2007-02-27",57.75
"39","2007-02-28",57.450001
"40","2007-03-01",56.369999
"41","2007-03-02",55.060001
"42","2007-03-05",53.939999
"43","2007-03-06",55.509998
"44","2007-03-07",56.169998
"45","2007-03-08",56.060001
"46","2007-03-09",55.84
"47","2007-03-12",55.880001
"48","2007-03-13",54.060001
"49","2007-03-14",53.169998
"50","2007-03-15",55.41
"51","2007-03-16",54.130001
"52","2007-03-19",53.959999
"53","2007-03-20",55.259998
"54","2007-03-21",57.869999
"55","2007-03-22",56.439999
"56","2007-03-23",56.68
"57","2007-03-26",56.419998
"58","2007-03-27",55.380001
"59","2007-03-28",54.459999
"60","2007-03-29",54.41
"61","2007-03-30",54.880001
"62","2007-04-02",53.630001
"63","2007-04-03",54.43
"64","2007-04-04",53.59
"65","2007-04-05",52.540001
"66","2007-04-09",52.439999
"67","2007-04-10",53.509998
"68","2007-04-11",53.009998
"69","2007-04-12",53.240002
"70","2007-04-13",54.82
"71","2007-04-16",55.400002
"72","2007-04-17",56.93
"73","2007-04-18",58.59
"74","2007-04-19",58.73
"75","2007-04-20",59.529999
"76","2007-04-23",58.32
"77","2007-04-24",57.860001
"78","2007-04-25",59.689999
"79","2007-04-26",60.830002
"80","2007-04-27",60.25
"81","2007-04-30",58.110001
"82","2007-05-01",58.32
"83","2007-05-02",58.91
"84","2007-05-03",59.27
"85","2007-05-04",59.459999
"86","2007-05-07",59.459999
"87","2007-05-08",59.52
"88","2007-05-09",61.650002
"89","2007-05-10",61.810001
"90","2007-05-11",62.549999
"91","2007-05-14",62.360001
"92","2007-05-15",61.84
"93","2007-05-16",62.549999
"94","2007-05-17",62.360001
