"","date","DLR"
"1","2007-01-03",34.57
"2","2007-01-04",35.099998
"3","2007-01-05",34.48
"4","2007-01-08",34.060001
"5","2007-01-09",34.040001
"6","2007-01-10",34.5
"7","2007-01-11",34.419998
"8","2007-01-12",35.349998
"9","2007-01-16",35.75
"10","2007-01-17",35.400002
"11","2007-01-18",35.459999
"12","2007-01-19",35.549999
"13","2007-01-22",35.25
"14","2007-01-23",35.48
"15","2007-01-24",35.549999
"16","2007-01-25",35.599998
"17","2007-01-26",35.57
"18","2007-01-29",35.75
"19","2007-01-30",35.849998
"20","2007-01-31",35.939999
"21","2007-02-01",36.59
"22","2007-02-02",37.18
"23","2007-02-05",37.349998
"24","2007-02-06",37.580002
"25","2007-02-07",38
"26","2007-02-08",38.040001
"27","2007-02-09",37.380001
"28","2007-02-12",36.869999
"29","2007-02-13",37.299999
"30","2007-02-14",37.959999
"31","2007-02-15",38
"32","2007-02-16",37.93
"33","2007-02-20",39.130001
"34","2007-02-21",39.5
"35","2007-02-22",39.130001
"36","2007-02-23",39.029999
"37","2007-02-26",38.650002
"38","2007-02-27",37.299999
"39","2007-02-28",39.639999
"40","2007-03-01",39.119999
"41","2007-03-02",38.5
"42","2007-03-05",37.23
"43","2007-03-06",38.209999
"44","2007-03-07",38.5
"45","2007-03-08",38.599998
"46","2007-03-09",38.5
"47","2007-03-12",38.66
"48","2007-03-13",37.779999
"49","2007-03-14",37.740002
"50","2007-03-15",37.970001
"51","2007-03-16",37.990002
"52","2007-03-19",38.119999
"53","2007-03-20",38.869999
"54","2007-03-21",39.619999
"55","2007-03-22",39.540001
"56","2007-03-23",39.919998
"57","2007-03-26",39.740002
"58","2007-03-27",39.25
"59","2007-03-28",38.990002
"60","2007-03-29",39.110001
"61","2007-03-30",39.900002
"62","2007-04-02",39.82
"63","2007-04-03",40.34
"64","2007-04-04",39.389999
"65","2007-04-05",39.25
"66","2007-04-09",39.400002
"67","2007-04-10",40.119999
"68","2007-04-11",39.990002
"69","2007-04-12",39.790001
"70","2007-04-13",40.240002
"71","2007-04-16",40.18
"72","2007-04-17",40.150002
"73","2007-04-18",39.419998
"74","2007-04-19",39.150002
"75","2007-04-20",40.049999
"76","2007-04-23",40.150002
"77","2007-04-24",40.009998
"78","2007-04-25",40.099998
"79","2007-04-26",40.549999
