"","date","LUB"
"1","2007-01-03",11.5
"2","2007-01-04",11.42
"3","2007-01-05",10.86
"4","2007-01-08",10.89
"5","2007-01-09",11.07
"6","2007-01-10",10.9
"7","2007-01-11",10.92
"8","2007-01-12",11.08
"9","2007-01-16",11.01
"10","2007-01-17",11.14
"11","2007-01-18",10.84
"12","2007-01-19",11.01
"13","2007-01-22",10.77
"14","2007-01-23",10.74
"15","2007-01-24",11
"16","2007-01-25",10.66
"17","2007-01-26",10.53
"18","2007-01-29",10.68
"19","2007-01-30",10.74
"20","2007-01-31",10.83
"21","2007-02-01",11.3
"22","2007-02-02",11.22
"23","2007-02-05",10.92
"24","2007-02-06",10.85
"25","2007-02-07",10.78
"26","2007-02-08",10.89
"27","2007-02-09",10.51
"28","2007-02-12",10.69
"29","2007-02-13",10.75
"30","2007-02-14",10.63
"31","2007-02-15",10.81
"32","2007-02-16",10.83
"33","2007-02-20",10.88
"34","2007-02-21",11
"35","2007-02-22",11.19
"36","2007-02-23",10.95
"37","2007-02-26",10.89
"38","2007-02-27",10.36
"39","2007-02-28",10.33
"40","2007-03-01",10.34
"41","2007-03-02",9.88
"42","2007-03-05",9.5
"43","2007-03-06",9.85
"44","2007-03-07",10
"45","2007-03-08",9.9
"46","2007-03-09",9.95
"47","2007-03-12",10.29
"48","2007-03-13",10.17
"49","2007-03-14",10.01
"50","2007-03-15",10.27
"51","2007-03-16",10.23
"52","2007-03-19",10.56
"53","2007-03-20",10.09
"54","2007-03-21",10
"55","2007-03-22",9.96
"56","2007-03-23",10.19
"57","2007-03-26",9.95
"58","2007-03-27",9.95
"59","2007-03-28",9.89
"60","2007-03-29",9.77
"61","2007-03-30",9.77
"62","2007-04-02",9.99
"63","2007-04-03",10.07
"64","2007-04-04",10.22
"65","2007-04-05",10.31
"66","2007-04-09",10.18
"67","2007-04-10",10.2
"68","2007-04-11",10.04
"69","2007-04-12",10.12
"70","2007-04-13",10.14
"71","2007-04-16",10.45
"72","2007-04-17",10.48
"73","2007-04-18",10.25
"74","2007-04-19",10.13
"75","2007-04-20",10.2
"76","2007-04-23",10.12
"77","2007-04-24",10.01
"78","2007-04-25",10.01
"79","2007-04-26",10.02
"80","2007-04-27",10.1
"81","2007-04-30",10.01
"82","2007-05-01",10.03
"83","2007-05-02",10.12
"84","2007-05-03",10.25
"85","2007-05-04",10.19
"86","2007-05-07",10.14
"87","2007-05-08",10.12
"88","2007-05-09",10.17
"89","2007-05-10",10.03
"90","2007-05-11",10.29
"91","2007-05-14",10.24
"92","2007-05-15",10.14
"93","2007-05-16",10.18
"94","2007-05-17",9.99
"95","2007-05-18",9.9
"96","2007-05-21",9.79
"97","2007-05-22",9.8
"98","2007-05-23",9.76
"99","2007-05-24",9.46
"100","2007-05-25",9.74
"101","2007-05-29",9.62
"102","2007-05-30",9.52
"103","2007-05-31",9.64
"104","2007-06-01",9.79
"105","2007-06-04",9.62
"106","2007-06-05",9.54
"107","2007-06-06",9.71
"108","2007-06-07",9.48
"109","2007-06-08",9.79
"110","2007-06-11",9.96
"111","2007-06-12",9.41
"112","2007-06-13",9.57
"113","2007-06-14",9.31
"114","2007-06-15",9.51
"115","2007-06-18",9.77
"116","2007-06-19",9.72
"117","2007-06-20",9.51
"118","2007-06-21",9.84
"119","2007-06-22",9.78
"120","2007-06-25",9.83
"121","2007-06-26",9.84
"122","2007-06-27",9.94
"123","2007-06-28",9.94
"124","2007-06-29",9.66
"125","2007-07-02",9.54
"126","2007-07-03",9.54
"127","2007-07-05",9.6
"128","2007-07-06",9.65
"129","2007-07-09",9.61
"130","2007-07-10",9.5
"131","2007-07-11",9.37
"132","2007-07-12",9.34
"133","2007-07-13",9.45
"134","2007-07-16",9.37
"135","2007-07-17",9.3
"136","2007-07-18",9.48
"137","2007-07-19",9.49
"138","2007-07-20",9.5
"139","2007-07-23",9.64
"140","2007-07-24",9.44
"141","2007-07-25",9.65
"142","2007-07-26",9.66
"143","2007-07-27",9.66
"144","2007-07-30",9.91
"145","2007-07-31",10.02
"146","2007-08-01",9.91
"147","2007-08-02",9.62
"148","2007-08-03",9.45
"149","2007-08-06",9.93
"150","2007-08-07",10
"151","2007-08-08",9.84
"152","2007-08-09",9.65
"153","2007-08-10",9.94
"154","2007-08-13",9.67
"155","2007-08-14",9.93
"156","2007-08-15",10.02
"157","2007-08-16",9.9
"158","2007-08-17",10.03
"159","2007-08-20",10.03
"160","2007-08-21",10.21
"161","2007-08-22",10.46
"162","2007-08-23",10.55
"163","2007-08-24",10.68
"164","2007-08-27",11.05
"165","2007-08-28",11.06
"166","2007-08-29",11.15
"167","2007-08-30",11.11
"168","2007-08-31",11.46
"169","2007-09-04",11.39
"170","2007-09-05",11.35
"171","2007-09-06",11.37
"172","2007-09-07",11.28
"173","2007-09-10",11.26
"174","2007-09-11",11.4
"175","2007-09-12",11.03
