"","date","RM"
"1","2012-03-28",16.450001
"2","2012-03-29",16.77
"3","2012-03-30",16.799999
"4","2012-04-02",17.209999
"5","2012-04-03",16.85
"6","2012-04-04",16.41
"7","2012-04-05",16.049999
"8","2012-04-09",15.75
"9","2012-04-10",15.45
"10","2012-04-11",15.68
"11","2012-04-12",15.9
"12","2012-04-13",16.01
"13","2012-04-16",15.78
"14","2012-04-17",15.61
"15","2012-04-18",15.47
"16","2012-04-19",15.46
"17","2012-04-20",15.77
"18","2012-04-23",16
"19","2012-04-24",15.8
"20","2012-04-25",15.9
"21","2012-04-26",15.82
"22","2012-04-27",16.35
"23","2012-04-30",16.91
"24","2012-05-01",17.049999
"25","2012-05-02",17.049999
"26","2012-05-03",16.809999
"27","2012-05-04",16.57
"28","2012-05-07",16.549999
"29","2012-05-08",16.42
"30","2012-05-09",16.33
"31","2012-05-10",16.35
"32","2012-05-11",16.23
"33","2012-05-14",15.9
"34","2012-05-15",16.049999
"35","2012-05-16",15.65
"36","2012-05-17",14.73
"37","2012-05-18",14.46
"38","2012-05-21",14.97
"39","2012-05-22",14.47
"40","2012-05-23",14.71
"41","2012-05-24",14.76
"42","2012-05-25",14.9
"43","2012-05-29",14.62
"44","2012-05-30",14.26
"45","2012-05-31",14.75
"46","2012-06-01",14.5
"47","2012-06-04",14.2
"48","2012-06-05",14.03
"49","2012-06-06",13.92
"50","2012-06-07",13.66
"51","2012-06-08",13.67
"52","2012-06-11",13.06
"53","2012-06-12",13.58
"54","2012-06-13",13.5
"55","2012-06-14",13.71
"56","2012-06-15",13.67
"57","2012-06-18",13.75
"58","2012-06-19",14.29
"59","2012-06-20",15.3
"60","2012-06-21",15.36
"61","2012-06-22",15.35
"62","2012-06-25",16.379999
"63","2012-06-26",16.299999
"64","2012-06-27",15.88
"65","2012-06-28",16.25
"66","2012-06-29",16.450001
"67","2012-07-02",16
"68","2012-07-03",15.95
"69","2012-07-05",15.99
"70","2012-07-06",15.75
"71","2012-07-09",16.09
"72","2012-07-10",16.09
"73","2012-07-11",15.98
"74","2012-07-12",15.54
"75","2012-07-13",16.540001
"76","2012-07-16",16.120001
"77","2012-07-17",16.190001
"78","2012-07-18",16.290001
"79","2012-07-19",15.74
"80","2012-07-20",15.04
"81","2012-07-23",15.02
"82","2012-07-24",14.81
"83","2012-07-25",15.07
"84","2012-07-26",15.5
"85","2012-07-27",15.85
"86","2012-07-30",15.27
"87","2012-07-31",15.09
"88","2012-08-01",15.06
"89","2012-08-02",16.209999
"90","2012-08-03",16.85
"91","2012-08-06",16.34
"92","2012-08-07",15.65
"93","2012-08-08",16.41
"94","2012-08-09",16.99
"95","2012-08-10",16.51
"96","2012-08-13",16.1
"97","2012-08-14",15.95
"98","2012-08-15",16.629999
"99","2012-08-16",16.709999
"100","2012-08-17",17
"101","2012-08-20",17.02
"102","2012-08-21",16.26
"103","2012-08-22",16.540001
"104","2012-08-23",16.309999
"105","2012-08-24",16.549999
"106","2012-08-27",16.049999
"107","2012-08-28",15.99
"108","2012-08-29",16.450001
"109","2012-08-30",16.67
"110","2012-08-31",16.790001
"111","2012-09-04",16.879999
"112","2012-09-05",16.809999
"113","2012-09-06",17.49
"114","2012-09-07",17.790001
"115","2012-09-10",17.790001
"116","2012-09-11",17.620001
"117","2012-09-12",17.440001
"118","2012-09-13",17.75
"119","2012-09-14",17.709999
"120","2012-09-17",17.59
"121","2012-09-18",17.57
"122","2012-09-19",17.68
"123","2012-09-20",17.51
"124","2012-09-21",17.620001
"125","2012-09-24",17.5
"126","2012-09-25",17.25
"127","2012-09-26",17.469999
"128","2012-09-27",17.27
"129","2012-09-28",17.25
"130","2012-10-01",17.33
"131","2012-10-02",17.24
"132","2012-10-03",17.299999
"133","2012-10-04",17.5
"134","2012-10-05",17.040001
"135","2012-10-08",17.200001
"136","2012-10-09",17.200001
"137","2012-10-10",16.950001
"138","2012-10-11",17.48
"139","2012-10-12",17.93
"140","2012-10-15",18
"141","2012-10-16",18.18
"142","2012-10-17",18.030001
"143","2012-10-18",18.120001
"144","2012-10-19",17.889999
"145","2012-10-22",17.690001
"146","2012-10-23",17.51
"147","2012-10-24",17.709999
"148","2012-10-25",17.6
"149","2012-10-26",17.450001
"150","2012-10-31",17.48
"151","2012-11-01",17.15
