"","date","ADXN"
"1","2020-02-12",11.3
"2","2020-02-13",11.3
"3","2020-02-14",11.3
"4","2020-02-18",11.3
"5","2020-02-19",11.3
"6","2020-02-20",11.3
"7","2020-02-21",11.3
"8","2020-02-24",11.3
"9","2020-02-25",11.3
"10","2020-02-26",11.3
"11","2020-02-27",11.3
"12","2020-02-28",11.3
"13","2020-03-02",11.3
"14","2020-03-03",11.3
"15","2020-03-04",11.3
"16","2020-03-05",11.3
"17","2020-03-06",11.3
"18","2020-03-09",11.3
"19","2020-03-10",11.3
"20","2020-03-11",11.3
"21","2020-03-12",8.85
"22","2020-03-13",8.85
"23","2020-03-16",7.82
"24","2020-03-17",7.04
"25","2020-03-18",7.04
"26","2020-03-19",7.04
"27","2020-03-20",6.34
"28","2020-03-23",6.19
"29","2020-03-24",6.19
"30","2020-03-25",6.23
"31","2020-03-26",6.23
"32","2020-03-27",7.5
"33","2020-03-30",7.5
"34","2020-03-31",6.6
"35","2020-04-01",6.75
"36","2020-04-02",6.75
"37","2020-04-03",6.75
"38","2020-04-06",6.75
"39","2020-04-07",6.75
"40","2020-04-08",6.75
"41","2020-04-09",6.75
"42","2020-04-13",6.75
"43","2020-04-14",8.23
"44","2020-04-15",8.23
"45","2020-04-16",8.23
"46","2020-04-17",8.5
"47","2020-04-20",8.5
"48","2020-04-21",8.5
"49","2020-04-22",7
"50","2020-04-23",7.46
"51","2020-04-24",7.46
"52","2020-04-27",7.46
"53","2020-04-28",7.46
"54","2020-04-29",7.46
"55","2020-04-30",7.46
"56","2020-05-01",7.46
"57","2020-05-04",7.46
"58","2020-05-05",7.46
"59","2020-05-06",7.46
"60","2020-05-07",7.46
"61","2020-05-08",7.28
"62","2020-05-11",7.28
"63","2020-05-12",7.28
"64","2020-05-13",7.28
"65","2020-05-14",7.28
"66","2020-05-15",7.28
"67","2020-05-18",7.28
"68","2020-05-19",7.28
"69","2020-05-20",7.28
"70","2020-05-21",7.28
"71","2020-05-22",7.28
"72","2020-05-26",7.28
"73","2020-05-27",7.28
"74","2020-05-28",7.28
"75","2020-05-29",7.28
"76","2020-06-01",7.28
"77","2020-06-02",7.28
"78","2020-06-03",7.28
"79","2020-06-04",7.28
"80","2020-06-05",7.28
"81","2020-06-08",7.28
"82","2020-06-09",7.28
"83","2020-06-10",7.28
"84","2020-06-11",7.28
"85","2020-06-12",7.28
"86","2020-06-15",7.28
"87","2020-06-16",7.28
"88","2020-06-17",11.79
"89","2020-06-18",10.582
"90","2020-06-19",9.727
"91","2020-06-22",9.727
"92","2020-06-23",9.6
"93","2020-06-24",9.12
"94","2020-06-25",9.83
"95","2020-06-26",9.83
"96","2020-06-29",9
"97","2020-06-30",8.717
"98","2020-07-01",8.84
"99","2020-07-02",9.445
"100","2020-07-06",9.19
"101","2020-07-07",9.21
"102","2020-07-08",9.16
"103","2020-07-09",10.45
"104","2020-07-10",10.35
"105","2020-07-13",10.35
"106","2020-07-14",10.35
"107","2020-07-15",9
"108","2020-07-16",8.52
"109","2020-07-17",8.52
"110","2020-07-20",8.52
"111","2020-07-21",8.52
"112","2020-07-22",8.52
"113","2020-07-23",7
"114","2020-07-24",9.4
"115","2020-07-27",9.73
"116","2020-07-28",8.65
"117","2020-07-29",8.56
"118","2020-07-30",9.05
"119","2020-07-31",9.295
"120","2020-08-03",9.295
"121","2020-08-04",10.15
"122","2020-08-05",10.74
"123","2020-08-06",11.622
"124","2020-08-07",21
"125","2020-08-10",14.685
"126","2020-08-11",14.433
"127","2020-08-12",14.41
"128","2020-08-13",14.661
"129","2020-08-14",13
"130","2020-08-17",13.5
"131","2020-08-18",14.01
"132","2020-08-19",14
"133","2020-08-20",13.81
"134","2020-08-21",14.1
"135","2020-08-24",14.005
"136","2020-08-25",14
"137","2020-08-26",14.4
"138","2020-08-27",11.9
"139","2020-08-28",14.27
"140","2020-08-31",14.96
"141","2020-09-01",14.01
"142","2020-09-02",14.7
"143","2020-09-03",11.65
"144","2020-09-04",14.77
"145","2020-09-08",13.829
"146","2020-09-09",13.856
"147","2020-09-10",13.13
"148","2020-09-11",12.6
"149","2020-09-14",11.78
"150","2020-09-15",11.78
"151","2020-09-16",11.78
"152","2020-09-17",13.519
"153","2020-09-18",12.26
"154","2020-09-21",12.732
"155","2020-09-22",12.732
"156","2020-09-23",11.55
"157","2020-09-24",12.35
"158","2020-09-25",12.35
"159","2020-09-28",12.35
"160","2020-09-29",12.04
"161","2020-09-30",12.27
"162","2020-10-01",12.27
"163","2020-10-02",13.135
"164","2020-10-05",12.681
"165","2020-10-06",12.681
"166","2020-10-07",12.681
"167","2020-10-08",12.681
"168","2020-10-09",12.681
"169","2020-10-12",12.681
"170","2020-10-13",11.77
"171","2020-10-14",12.2
"172","2020-10-15",12.2
"173","2020-10-16",12.2
"174","2020-10-19",12.455
"175","2020-10-20",12.455
"176","2020-10-21",12.455
"177","2020-10-22",12.455
"178","2020-10-23",12.455
"179","2020-10-26",12.455
"180","2020-10-27",12.455
"181","2020-10-28",11.03
"182","2020-10-29",11.03
"183","2020-10-30",11.03
"184","2020-11-02",11.03
"185","2020-11-03",11.422
"186","2020-11-04",11.422
"187","2020-11-05",11.422
"188","2020-11-06",11.33
"189","2020-11-09",11.36
"190","2020-11-10",11.36
"191","2020-11-11",11.36
"192","2020-11-12",11.89
"193","2020-11-13",11.89
"194","2020-11-16",11.89
"195","2020-11-17",12.06
"196","2020-11-18",12
"197","2020-11-19",12
"198","2020-11-20",12
"199","2020-11-23",11.05
"200","2020-11-24",11.05
"201","2020-11-25",11.05
"202","2020-11-27",10.618
