"","date","FLUX"
"1","2020-08-14",4.2
"2","2020-08-17",5.04
"3","2020-08-18",4.2
"4","2020-08-19",4.84
"5","2020-08-20",5.35
"6","2020-08-21",5.11
"7","2020-08-24",4.93
"8","2020-08-25",4.98
"9","2020-08-26",5.05
"10","2020-08-27",6.07
"11","2020-08-28",5.7
"12","2020-08-31",6
"13","2020-09-01",5.87
"14","2020-09-02",5.65
"15","2020-09-03",5.26
"16","2020-09-04",5.19
"17","2020-09-08",5.31
"18","2020-09-09",5.45
"19","2020-09-10",5.31
"20","2020-09-11",5.24
"21","2020-09-14",5.42
"22","2020-09-15",5.48
"23","2020-09-16",5.82
"24","2020-09-17",5.8
"25","2020-09-18",6.28
"26","2020-09-21",6.29
"27","2020-09-22",6
"28","2020-09-23",5.17
"29","2020-09-24",5.66
"30","2020-09-25",5.49
"31","2020-09-28",5.4
"32","2020-09-29",6.85
"33","2020-09-30",6.7
"34","2020-10-01",6.7
"35","2020-10-02",7.3
"36","2020-10-05",7.69
"37","2020-10-06",7.77
"38","2020-10-07",8.6
"39","2020-10-08",8.15
"40","2020-10-09",9.1
"41","2020-10-12",10.32
"42","2020-10-13",11.35
"43","2020-10-14",12.09
"44","2020-10-15",11.46
"45","2020-10-16",10.43
"46","2020-10-19",9.24
"47","2020-10-20",8.91
"48","2020-10-21",8.58
"49","2020-10-22",8.4
"50","2020-10-23",8.66
"51","2020-10-26",8.14
"52","2020-10-27",7.31
"53","2020-10-28",7.12
"54","2020-10-29",7.31
"55","2020-10-30",6.67
"56","2020-11-02",7.16
"57","2020-11-03",7.85
"58","2020-11-04",7.91
"59","2020-11-05",9.03
"60","2020-11-06",9.86
"61","2020-11-09",8.53
"62","2020-11-10",8.84
"63","2020-11-11",8.95
"64","2020-11-12",8.88
"65","2020-11-13",8.41
"66","2020-11-16",8.89
"67","2020-11-17",8.56
"68","2020-11-18",8.17
"69","2020-11-19",9.78
"70","2020-11-20",10.36
"71","2020-11-23",11.1
"72","2020-11-24",9.81
"73","2020-11-25",10.18
"74","2020-11-27",9.99
