"","date","MTSI"
"1","2012-03-15",20.549999
"2","2012-03-16",21.75
"3","2012-03-19",22
"4","2012-03-20",21.5
"5","2012-03-21",21.17
"6","2012-03-22",20.879999
"7","2012-03-23",20.83
"8","2012-03-26",21.459999
"9","2012-03-27",21
"10","2012-03-28",21.01
"11","2012-03-29",20.799999
"12","2012-03-30",20.74
"13","2012-04-02",21.790001
"14","2012-04-03",21.66
"15","2012-04-04",21.299999
"16","2012-04-05",21.74
"17","2012-04-09",21.040001
"18","2012-04-10",20.700001
"19","2012-04-11",21.120001
"20","2012-04-12",21
"21","2012-04-13",21.059999
"22","2012-04-16",20.780001
"23","2012-04-17",20.9
"24","2012-04-18",20.41
"25","2012-04-19",19.969999
"26","2012-04-20",19.860001
"27","2012-04-23",19.83
"28","2012-04-24",20.219999
"29","2012-04-25",20.33
"30","2012-04-26",20.01
"31","2012-04-27",19.82
"32","2012-04-30",19.83
"33","2012-05-01",19.91
"34","2012-05-02",20.610001
"35","2012-05-03",20.24
"36","2012-05-04",20
"37","2012-05-07",20.18
"38","2012-05-08",20.01
"39","2012-05-09",16.4
"40","2012-05-10",16.23
"41","2012-05-11",15.75
"42","2012-05-14",15.66
"43","2012-05-15",15.85
"44","2012-05-16",15.2
"45","2012-05-17",14.26
"46","2012-05-18",13.97
"47","2012-05-21",14.75
"48","2012-05-22",15.29
"49","2012-05-23",15.49
"50","2012-05-24",14.88
"51","2012-05-25",15.56
"52","2012-05-29",15.94
"53","2012-05-30",16
"54","2012-05-31",16.559999
"55","2012-06-01",16.01
"56","2012-06-04",16.059999
"57","2012-06-05",15.75
"58","2012-06-06",16.09
"59","2012-06-07",16.23
"60","2012-06-08",17.07
"61","2012-06-11",16.190001
"62","2012-06-12",16.139999
"63","2012-06-13",16.25
"64","2012-06-14",16.85
"65","2012-06-15",16.98
"66","2012-06-18",18.370001
"67","2012-06-19",18.08
"68","2012-06-20",17.690001
"69","2012-06-21",17.5
"70","2012-06-22",17.26
"71","2012-06-25",16.889999
"72","2012-06-26",17.370001
"73","2012-06-27",18.360001
"74","2012-06-28",18.02
"75","2012-06-29",18.5
"76","2012-07-02",18.190001
"77","2012-07-03",18.66
"78","2012-07-05",18.77
"79","2012-07-06",18.4
"80","2012-07-09",18.809999
"81","2012-07-10",18.200001
"82","2012-07-11",16.48
"83","2012-07-12",16.639999
"84","2012-07-13",16.26
"85","2012-07-16",15.92
"86","2012-07-17",17.040001
"87","2012-07-18",17.450001
"88","2012-07-19",17.24
"89","2012-07-20",16.940001
"90","2012-07-23",16.23
"91","2012-07-24",15.33
"92","2012-07-25",16.67
"93","2012-07-26",16.709999
"94","2012-07-27",17.25
"95","2012-07-30",17.959999
"96","2012-07-31",17.690001
"97","2012-08-01",16.889999
"98","2012-08-02",16.709999
"99","2012-08-03",13.23
"100","2012-08-06",13.53
"101","2012-08-07",12.96
"102","2012-08-08",12.64
"103","2012-08-09",12.45
"104","2012-08-10",12.83
"105","2012-08-13",12.39
"106","2012-08-14",11.9
"107","2012-08-15",10.97
"108","2012-08-16",11.72
"109","2012-08-17",11.65
"110","2012-08-20",11.65
"111","2012-08-21",11.01
"112","2012-08-22",11.11
"113","2012-08-23",10.98
"114","2012-08-24",11.2
"115","2012-08-27",11.05
"116","2012-08-28",11.16
"117","2012-08-29",11.15
"118","2012-08-30",11.17
"119","2012-08-31",11.52
"120","2012-09-04",11
"121","2012-09-05",11.11
"122","2012-09-06",11.57
"123","2012-09-07",11.95
"124","2012-09-10",11.97
"125","2012-09-11",11.24
"126","2012-09-12",11.43
"127","2012-09-13",12.34
"128","2012-09-14",12.65
"129","2012-09-17",12.96
"130","2012-09-18",13.34
"131","2012-09-19",14.08
"132","2012-09-20",13.99
"133","2012-09-21",13.86
"134","2012-09-24",12.97
"135","2012-09-25",12.51
"136","2012-09-26",12.6
"137","2012-09-27",12.96
"138","2012-09-28",12.7
"139","2012-10-01",12.9
"140","2012-10-02",12.87
"141","2012-10-03",12.78
"142","2012-10-04",12.77
"143","2012-10-05",11.95
"144","2012-10-08",12.11
"145","2012-10-09",11.97
"146","2012-10-10",11.88
"147","2012-10-11",11.9
"148","2012-10-12",11.76
"149","2012-10-15",12.4
"150","2012-10-16",12.26
"151","2012-10-17",12.63
"152","2012-10-18",12.46
"153","2012-10-19",11.69
"154","2012-10-22",12.08
"155","2012-10-23",12.1
"156","2012-10-24",11.91
"157","2012-10-25",12.17
"158","2012-10-26",12.3
"159","2012-10-31",12.49
"160","2012-11-01",12.07
"161","2012-11-02",12.04
"162","2012-11-05",12.04
"163","2012-11-06",12.06
"164","2012-11-07",11.16
"165","2012-11-08",11.01
"166","2012-11-09",10.87
"167","2012-11-12",11.08
"168","2012-11-13",10.75
"169","2012-11-14",11.24
"170","2012-11-15",11.62
"171","2012-11-16",11.49
"172","2012-11-19",11.98
"173","2012-11-20",12.23
"174","2012-11-21",12.39
"175","2012-11-23",12.46
"176","2012-11-26",12.55
"177","2012-11-27",12.74
"178","2012-11-28",13.08
"179","2012-11-29",13.4
"180","2012-11-30",14.12
"181","2012-12-03",14.28
"182","2012-12-04",14
"183","2012-12-05",13.78
"184","2012-12-06",13.32
"185","2012-12-07",13.73
"186","2012-12-10",13.94
"187","2012-12-11",14.18
"188","2012-12-12",14.43
"189","2012-12-13",14.03
"190","2012-12-14",13.54
"191","2012-12-17",13.33
"192","2012-12-18",14.3
"193","2012-12-19",14.59
"194","2012-12-20",14.87
"195","2012-12-21",14.61
"196","2012-12-24",14.5
"197","2012-12-26",14.73
"198","2012-12-27",14.78
"199","2012-12-28",14.93
"200","2012-12-31",14.97
"201","2013-01-02",14.35
"202","2013-01-03",14.29
"203","2013-01-04",14.39
"204","2013-01-07",14.41
"205","2013-01-08",14.77
"206","2013-01-09",14.95
"207","2013-01-10",14.89
"208","2013-01-11",15
"209","2013-01-14",14.56
"210","2013-01-15",14.45
"211","2013-01-16",14.41
"212","2013-01-17",14.97
"213","2013-01-18",14.98
"214","2013-01-22",14.9
"215","2013-01-23",15
"216","2013-01-24",16.129999
"217","2013-01-25",16.33
"218","2013-01-28",16.51
"219","2013-01-29",16.530001
"220","2013-01-30",16.74
"221","2013-01-31",16.940001
"222","2013-02-01",16.82
"223","2013-02-04",16.66
"224","2013-02-05",16.700001
"225","2013-02-06",16.709999
"226","2013-02-07",16.65
"227","2013-02-08",16.809999
"228","2013-02-11",16.66
"229","2013-02-12",16.65
"230","2013-02-13",16.610001
"231","2013-02-14",16.65
"232","2013-02-15",16.629999
"233","2013-02-19",16.59
"234","2013-02-20",16.629999
"235","2013-02-21",16.530001
"236","2013-02-22",16.57
"237","2013-02-25",16.139999
"238","2013-02-26",16.360001
"239","2013-02-27",16.24
"240","2013-02-28",16.200001
"241","2013-03-01",16.6
"242","2013-03-04",16.59
"243","2013-03-05",16.299999
"244","2013-03-06",16.32
"245","2013-03-07",16.309999
"246","2013-03-08",16.530001
"247","2013-03-11",16.25
"248","2013-03-12",16.110001
"249","2013-03-13",16.110001
"250","2013-03-14",16.309999
"251","2013-03-15",16.27
"252","2013-03-18",16.200001
"253","2013-03-19",16.23
"254","2013-03-20",16.219999
"255","2013-03-21",16.18
"256","2013-03-22",16.110001
"257","2013-03-25",16.129999
"258","2013-03-26",16.24
"259","2013-03-27",16.16
"260","2013-03-28",16.07
"261","2013-04-01",15.6
"262","2013-04-02",15.37
"263","2013-04-03",14.74
"264","2013-04-04",14.94
"265","2013-04-05",14.69
"266","2013-04-08",13.82
"267","2013-04-09",14.51
"268","2013-04-10",14.61
"269","2013-04-11",14.66
"270","2013-04-12",14.21
"271","2013-04-15",14.05
"272","2013-04-16",14.34
"273","2013-04-17",13.89
"274","2013-04-18",13.38
"275","2013-04-19",13.24
"276","2013-04-22",13.19
"277","2013-04-23",13.46
"278","2013-04-24",14.1
"279","2013-04-25",14.13
"280","2013-04-26",13.89
"281","2013-04-29",13.94
"282","2013-04-30",14.03
"283","2013-05-01",13.6
"284","2013-05-02",13.72
"285","2013-05-03",13.99
"286","2013-05-06",13.97
"287","2013-05-07",14
"288","2013-05-08",13.99
"289","2013-05-09",13.94
"290","2013-05-10",13.6
"291","2013-05-13",13.6
"292","2013-05-14",13.6
"293","2013-05-15",13.86
"294","2013-05-16",14
"295","2013-05-17",13.51
"296","2013-05-20",13.82
"297","2013-05-21",14.29
"298","2013-05-22",14.08
"299","2013-05-23",13.99
"300","2013-05-24",13.89
"301","2013-05-28",14.03
"302","2013-05-29",13.95
"303","2013-05-30",14.05
"304","2013-05-31",13.93
"305","2013-06-03",13.92
"306","2013-06-04",13.82
"307","2013-06-05",13.67
"308","2013-06-06",13.77
"309","2013-06-07",13.95
"310","2013-06-10",14
"311","2013-06-11",13.78
"312","2013-06-12",13.72
"313","2013-06-13",14.01
"314","2013-06-14",13.96
"315","2013-06-17",14.45
"316","2013-06-18",14.65
"317","2013-06-19",14.58
"318","2013-06-20",13.95
"319","2013-06-21",13.92
"320","2013-06-24",13.76
"321","2013-06-25",13.97
"322","2013-06-26",13.86
"323","2013-06-27",14.36
"324","2013-06-28",14.6
"325","2013-07-01",14.16
"326","2013-07-02",13.99
"327","2013-07-03",14.15
"328","2013-07-05",14.27
"329","2013-07-08",13.93
"330","2013-07-09",13.59
"331","2013-07-10",14.4
"332","2013-07-11",14.94
"333","2013-07-12",14.8
"334","2013-07-15",14.82
"335","2013-07-16",14.87
"336","2013-07-17",14.88
"337","2013-07-18",15.13
"338","2013-07-19",14.8
"339","2013-07-22",14.99
"340","2013-07-23",15.03
"341","2013-07-24",15.31
"342","2013-07-25",15.76
"343","2013-07-26",15.26
"344","2013-07-29",15.33
"345","2013-07-30",15.7
"346","2013-07-31",16.030001
"347","2013-08-01",16.16
"348","2013-08-02",16.32
"349","2013-08-05",16.27
"350","2013-08-06",16.15
"351","2013-08-07",15.94
"352","2013-08-08",16
"353","2013-08-09",16.200001
"354","2013-08-12",16.209999
"355","2013-08-13",16.67
"356","2013-08-14",16.65
"357","2013-08-15",15.93
"358","2013-08-16",15.99
"359","2013-08-19",15.97
"360","2013-08-20",16.040001
"361","2013-08-21",16.01
"362","2013-08-22",16.16
"363","2013-08-23",16.43
"364","2013-08-26",16.610001
"365","2013-08-27",15.7
"366","2013-08-28",15.99
"367","2013-08-29",16.43
"368","2013-08-30",16.360001
"369","2013-09-03",16.629999
"370","2013-09-04",16.700001
"371","2013-09-05",16.85
"372","2013-09-06",16.709999
"373","2013-09-09",16.99
"374","2013-09-10",16.969999
"375","2013-09-11",16.889999
"376","2013-09-12",16.709999
"377","2013-09-13",16.559999
