"","date","LUNA"
"1","2007-01-03",3.74
"2","2007-01-04",3.64
"3","2007-01-05",3.55
"4","2007-01-08",3.82
"5","2007-01-09",3.9
"6","2007-01-10",3.95
"7","2007-01-11",3.75
"8","2007-01-12",3.78
"9","2007-01-16",3.81
"10","2007-01-17",3.83
"11","2007-01-18",3.94
"12","2007-01-19",4.25
"13","2007-01-22",4.24
"14","2007-01-23",4.22
"15","2007-01-24",4.24
"16","2007-01-25",4.2
"17","2007-01-26",4.59
"18","2007-01-29",4.56
"19","2007-01-30",4.7
"20","2007-01-31",4.72
"21","2007-02-01",4.53
"22","2007-02-02",4.49
"23","2007-02-05",4.32
"24","2007-02-06",4.3
"25","2007-02-07",4.27
"26","2007-02-08",4.23
"27","2007-02-09",3.96
"28","2007-02-12",3.93
"29","2007-02-13",4.01
"30","2007-02-14",3.91
"31","2007-02-15",4
"32","2007-02-16",3.95
"33","2007-02-20",3.92
"34","2007-02-21",3.88
"35","2007-02-22",3.84
"36","2007-02-23",3.78
"37","2007-02-26",3.8
"38","2007-02-27",3.69
"39","2007-02-28",3.76
"40","2007-03-01",3.65
"41","2007-03-02",3.44
"42","2007-03-05",3.3
"43","2007-03-06",3.38
"44","2007-03-07",3.21
"45","2007-03-08",3.04
"46","2007-03-09",3.09
"47","2007-03-12",2.99
"48","2007-03-13",2.95
"49","2007-03-14",2.99
"50","2007-03-15",2.98
"51","2007-03-16",3.03
"52","2007-03-19",3.08
"53","2007-03-20",3.16
"54","2007-03-21",3.16
"55","2007-03-22",3.11
"56","2007-03-23",3.15
"57","2007-03-26",3.19
"58","2007-03-27",3.18
"59","2007-03-28",3.39
"60","2007-03-29",3.4
"61","2007-03-30",3.39
"62","2007-04-02",3.24
"63","2007-04-03",3.1
"64","2007-04-04",3.09
"65","2007-04-05",3.06
"66","2007-04-09",3
"67","2007-04-10",3.03
"68","2007-04-11",3.02
"69","2007-04-12",3.04
"70","2007-04-13",3.01
"71","2007-04-16",2.97
"72","2007-04-17",2.96
"73","2007-04-18",3
"74","2007-04-19",2.98
"75","2007-04-20",3
"76","2007-04-23",2.99
"77","2007-04-24",2.99
"78","2007-04-25",3
"79","2007-04-26",2.93
"80","2007-04-27",2.98
"81","2007-04-30",3
"82","2007-05-01",2.99
"83","2007-05-02",2.99
"84","2007-05-03",3.06
"85","2007-05-04",3.13
"86","2007-05-07",3.12
"87","2007-05-08",3.06
"88","2007-05-09",2.95
"89","2007-05-10",3
"90","2007-05-11",3.07
"91","2007-05-14",3.16
"92","2007-05-15",2.91
"93","2007-05-16",2.96
"94","2007-05-17",2.95
"95","2007-05-18",3
"96","2007-05-21",5.06
"97","2007-05-22",4.34
"98","2007-05-23",4.18
"99","2007-05-24",3.92
"100","2007-05-25",4.01
"101","2007-05-29",3.77
"102","2007-05-30",3.7
"103","2007-05-31",3.81
"104","2007-06-01",3.76
"105","2007-06-04",3.84
"106","2007-06-05",3.74
"107","2007-06-06",3.66
"108","2007-06-07",3.79
"109","2007-06-08",3.73
"110","2007-06-11",3.7
"111","2007-06-12",3.73
"112","2007-06-13",3.75
"113","2007-06-14",4.66
"114","2007-06-15",4.57
"115","2007-06-18",4.72
"116","2007-06-19",4.74
"117","2007-06-20",5.05
"118","2007-06-21",5.08
"119","2007-06-22",4.95
"120","2007-06-25",4.69
"121","2007-06-26",4.65
"122","2007-06-27",4.7
"123","2007-06-28",4.42
"124","2007-06-29",4.37
"125","2007-07-02",4.2
"126","2007-07-03",4.26
"127","2007-07-05",4.14
"128","2007-07-06",4.3
"129","2007-07-09",4.23
"130","2007-07-10",4.2
"131","2007-07-11",4.19
"132","2007-07-12",4.31
"133","2007-07-13",4.34
"134","2007-07-16",4.43
"135","2007-07-17",4.26
"136","2007-07-18",4.44
"137","2007-07-19",4.47
"138","2007-07-20",4.75
"139","2007-07-23",5.18
"140","2007-07-24",4.9
"141","2007-07-25",4.84
"142","2007-07-26",4.88
"143","2007-07-27",4.86
"144","2007-07-30",4.83
"145","2007-07-31",4.8
"146","2007-08-01",4.69
"147","2007-08-02",4.36
"148","2007-08-03",4.2
"149","2007-08-06",4.2
"150","2007-08-07",4.11
"151","2007-08-08",4.08
"152","2007-08-09",4.15
"153","2007-08-10",4.03
"154","2007-08-13",4.22
"155","2007-08-14",3.94
"156","2007-08-15",3.77
"157","2007-08-16",3.57
"158","2007-08-17",3.78
"159","2007-08-20",3.64
"160","2007-08-21",3.67
"161","2007-08-22",3.78
"162","2007-08-23",3.55
"163","2007-08-24",3.57
"164","2007-08-27",3.51
"165","2007-08-28",3.41
"166","2007-08-29",3.4
"167","2007-08-30",3.48
"168","2007-08-31",3.58
"169","2007-09-04",3.69
"170","2007-09-05",3.69
"171","2007-09-06",3.79
"172","2007-09-07",3.87
"173","2007-09-10",3.83
"174","2007-09-11",3.65
"175","2007-09-12",3.67
"176","2007-09-13",3.7
"177","2007-09-14",3.83
"178","2007-09-17",3.67
"179","2007-09-18",3.73
"180","2007-09-19",3.9
"181","2007-09-20",3.84
"182","2007-09-21",4.18
"183","2007-09-24",4.38
"184","2007-09-25",4.34
"185","2007-09-26",4.18
"186","2007-09-27",4.34
"187","2007-09-28",4.33
"188","2007-10-01",4.18
"189","2007-10-02",4.3
"190","2007-10-03",4.55
"191","2007-10-04",4.7
"192","2007-10-05",4.69
"193","2007-10-08",4.54
"194","2007-10-09",4.64
