"","date","CCNE"
"1","2007-01-03",14.14
"2","2007-01-04",13.95
"3","2007-01-05",14.09
"4","2007-01-08",14.25
"5","2007-01-09",14.63
"6","2007-01-10",14.63
"7","2007-01-11",14.26
"8","2007-01-12",14.83
"9","2007-01-16",14.37
"10","2007-01-17",14.16
"11","2007-01-18",14.33
"12","2007-01-19",14.34
"13","2007-01-22",14.99
"14","2007-01-23",14.16
"15","2007-01-24",14.5
"16","2007-01-25",14.58
"17","2007-01-26",14.59
"18","2007-01-29",14.74
"19","2007-01-30",14.77
"20","2007-01-31",14.8
"21","2007-02-01",14.33
"22","2007-02-02",14.33
"23","2007-02-05",14.35
"24","2007-02-06",14.35
"25","2007-02-07",14.4
"26","2007-02-08",14.62
"27","2007-02-09",14.59
"28","2007-02-12",14.56
"29","2007-02-13",14.39
"30","2007-02-14",14.87
"31","2007-02-15",14.36
"32","2007-02-16",14.64
"33","2007-02-20",14.37
"34","2007-02-21",14.7
"35","2007-02-22",14.63
"36","2007-02-23",14.63
"37","2007-02-26",14.45
"38","2007-02-27",14.2
"39","2007-02-28",14.2
"40","2007-03-01",14.28
"41","2007-03-02",14.28
"42","2007-03-05",14.08
"43","2007-03-06",13.93
"44","2007-03-07",14.11
"45","2007-03-08",14.21
"46","2007-03-09",14.25
"47","2007-03-12",14.15
"48","2007-03-13",14.45
"49","2007-03-14",13.9
"50","2007-03-15",14.15
"51","2007-03-16",14.15
"52","2007-03-19",14.2
"53","2007-03-20",14.2
"54","2007-03-21",14.25
"55","2007-03-22",14.02
"56","2007-03-23",13.92
"57","2007-03-26",14.09
"58","2007-03-27",14.05
"59","2007-03-28",14.05
"60","2007-03-29",14
"61","2007-03-30",13.9
"62","2007-04-02",14.03
"63","2007-04-03",13.84
"64","2007-04-04",14.04
"65","2007-04-05",13.92
"66","2007-04-09",13.92
"67","2007-04-10",13.8
"68","2007-04-11",13.8
"69","2007-04-12",13.82
"70","2007-04-13",13.96
"71","2007-04-16",13.84
"72","2007-04-17",13.91
"73","2007-04-18",14
"74","2007-04-19",14
