"","date","CFFA"
"1","2019-02-06",9.75
"2","2019-02-07",9.75
"3","2019-02-08",9.75
"4","2019-02-11",9.75
"5","2019-02-12",9.75
"6","2019-02-13",9.75
"7","2019-02-14",9.83
"8","2019-02-15",9.88
"9","2019-02-19",9.83
"10","2019-02-20",9.83
"11","2019-02-21",9.88
"12","2019-02-22",9.88
"13","2019-02-25",9.88
"14","2019-02-26",9.88
"15","2019-02-27",9.85
"16","2019-02-28",9.85
"17","2019-03-01",9.85
"18","2019-03-04",9.85
"19","2019-03-05",9.85
"20","2019-03-06",9.85
"21","2019-03-07",9.85
"22","2019-03-08",9.85
"23","2019-03-11",9.85
"24","2019-03-12",9.86
"25","2019-03-13",9.86
"26","2019-03-14",9.86
"27","2019-03-15",9.95
"28","2019-03-18",9.93
"29","2019-03-19",9.91
"30","2019-03-20",9.9
"31","2019-03-21",9.9
"32","2019-03-22",9.9
"33","2019-03-25",9.9
"34","2019-03-26",9.9
"35","2019-03-27",9.9
"36","2019-03-28",9.9
"37","2019-03-29",9.9
"38","2019-04-01",9.89
"39","2019-04-02",9.88
"40","2019-04-03",9.88
"41","2019-04-04",9.95
"42","2019-04-05",9.93
"43","2019-04-08",9.93
"44","2019-04-09",9.93
"45","2019-04-10",9.93
"46","2019-04-11",9.93
"47","2019-04-12",9.93
"48","2019-04-15",9.93
"49","2019-04-16",9.91
"50","2019-04-17",9.91
"51","2019-04-18",9.92
"52","2019-04-22",9.92
"53","2019-04-23",9.92
"54","2019-04-24",9.92
"55","2019-04-25",9.92
"56","2019-04-26",9.9
"57","2019-04-29",9.9
"58","2019-04-30",9.9
"59","2019-05-01",9.9
"60","2019-05-02",9.9
"61","2019-05-03",9.9
"62","2019-05-06",9.923
"63","2019-05-07",9.93
"64","2019-05-08",9.93
"65","2019-05-09",9.91
"66","2019-05-10",9.91
"67","2019-05-13",9.98
"68","2019-05-14",9.98
"69","2019-05-15",9.98
"70","2019-05-16",9.96
"71","2019-05-17",9.96
"72","2019-05-20",9.96
"73","2019-05-21",9.96
"74","2019-05-22",9.96
"75","2019-05-23",9.96
"76","2019-05-24",9.96
"77","2019-05-28",9.97
"78","2019-05-29",9.95
"79","2019-05-30",9.94
"80","2019-05-31",9.96
"81","2019-06-03",9.96
"82","2019-06-04",9.97
"83","2019-06-05",10.02
"84","2019-06-06",10.02
"85","2019-06-07",9.99
"86","2019-06-10",9.99
"87","2019-06-11",9.99
"88","2019-06-12",9.985
"89","2019-06-13",9.985
"90","2019-06-14",9.985
"91","2019-06-17",9.99
"92","2019-06-18",9.99
"93","2019-06-19",10
"94","2019-06-20",10
"95","2019-06-21",10
"96","2019-06-24",10
"97","2019-06-25",10
"98","2019-06-26",10.04
"99","2019-06-27",10.03
"100","2019-06-28",10.02
"101","2019-07-01",10
"102","2019-07-02",10
"103","2019-07-03",10
"104","2019-07-05",10.04
"105","2019-07-08",9.999
"106","2019-07-09",9.999
"107","2019-07-10",10.02
"108","2019-07-11",10.05
"109","2019-07-12",10.05
"110","2019-07-15",10.05
"111","2019-07-16",10.05
"112","2019-07-17",10.05
"113","2019-07-18",10.07
"114","2019-07-19",10
"115","2019-07-22",10.02
"116","2019-07-23",10.01
"117","2019-07-24",10.02
"118","2019-07-25",10.02
"119","2019-07-26",10.02
"120","2019-07-29",10.069
"121","2019-07-30",10.04
"122","2019-07-31",10.03
"123","2019-08-01",10.04
"124","2019-08-02",10.02
"125","2019-08-05",10.03
"126","2019-08-06",10.03
"127","2019-08-07",10.04
"128","2019-08-08",10.02
"129","2019-08-09",10.02
"130","2019-08-12",10.02
"131","2019-08-13",10.02
"132","2019-08-14",10.02
"133","2019-08-15",10.02
"134","2019-08-16",10.02
"135","2019-08-19",10.02
"136","2019-08-20",10.02
"137","2019-08-21",10.06
"138","2019-08-22",10.06
"139","2019-08-23",10.065
"140","2019-08-26",10.06
"141","2019-08-27",10.09
"142","2019-08-28",10.09
"143","2019-08-29",10.1
"144","2019-08-30",10.07
"145","2019-09-03",10.085
"146","2019-09-04",10.1
"147","2019-09-05",10.1
"148","2019-09-06",10.11
"149","2019-09-09",10.1
"150","2019-09-10",10.1
"151","2019-09-11",10.12
"152","2019-09-12",10.1
"153","2019-09-13",10.1
"154","2019-09-16",10.1
"155","2019-09-17",10.14
"156","2019-09-18",10.14
"157","2019-09-19",10.14
"158","2019-09-20",10.14
"159","2019-09-23",10.14
"160","2019-09-24",10.14
"161","2019-09-25",10.12
"162","2019-09-26",10.14
"163","2019-09-27",10.14
"164","2019-09-30",10.14
"165","2019-10-01",10.14
"166","2019-10-02",10.14
"167","2019-10-03",10.14
"168","2019-10-04",10.14
"169","2019-10-07",10.13
"170","2019-10-08",10.13
"171","2019-10-09",10.13
"172","2019-10-10",10.14
"173","2019-10-11",10.14
"174","2019-10-14",10.15
"175","2019-10-15",10.13
"176","2019-10-16",10.15
"177","2019-10-17",10.14
"178","2019-10-18",10.14
"179","2019-10-21",10.14
"180","2019-10-22",10.14
"181","2019-10-23",10.14
"182","2019-10-24",10.13
"183","2019-10-25",10.15
"184","2019-10-28",10.15
"185","2019-10-29",10.14
"186","2019-10-30",10.14
"187","2019-10-31",10.15
"188","2019-11-01",10.142
"189","2019-11-04",10.142
"190","2019-11-05",10.142
"191","2019-11-06",10.17
"192","2019-11-07",10.15
"193","2019-11-08",10.155
"194","2019-11-11",10.13
"195","2019-11-12",10.13
"196","2019-11-13",10.139
"197","2019-11-14",10.15
"198","2019-11-15",10.15
"199","2019-11-18",10.17
"200","2019-11-19",10.18
"201","2019-11-20",10.16
"202","2019-11-21",10.19
"203","2019-11-22",10.19
"204","2019-11-25",10.19
"205","2019-11-26",10.19
"206","2019-11-27",10.2
"207","2019-11-29",10.2
"208","2019-12-02",10.21
"209","2019-12-03",10.19
"210","2019-12-04",10.203
"211","2019-12-05",10.21
"212","2019-12-06",10.21
"213","2019-12-09",10.21
"214","2019-12-10",10.21
"215","2019-12-11",10.21
"216","2019-12-12",10.22
"217","2019-12-13",10.22
"218","2019-12-16",10.22
"219","2019-12-17",10.25
"220","2019-12-18",10.25
"221","2019-12-19",10.23
"222","2019-12-20",10.23
"223","2019-12-23",10.23
"224","2019-12-24",10.23
"225","2019-12-26",10.23
"226","2019-12-27",10.23
"227","2019-12-30",10.25
"228","2019-12-31",10.25
"229","2020-01-02",10.26
"230","2020-01-03",10.27
"231","2020-01-06",10.27
"232","2020-01-07",10.27
"233","2020-01-08",10.27
"234","2020-01-09",10.3
"235","2020-01-10",10.33
"236","2020-01-13",10.32
"237","2020-01-14",10.32
"238","2020-01-15",10.31
"239","2020-01-16",10.33
"240","2020-01-17",10.38
"241","2020-01-21",10.4
"242","2020-01-22",10.4
"243","2020-01-23",10.387
"244","2020-01-24",10.387
"245","2020-01-27",10.36
"246","2020-01-28",10.36
"247","2020-01-29",10.4
"248","2020-01-30",10.4
"249","2020-01-31",10.4
"250","2020-02-03",10.4
"251","2020-02-04",10.4
"252","2020-02-05",10.4
"253","2020-02-06",10.4
"254","2020-02-07",10.4
"255","2020-02-10",10.4
"256","2020-02-11",10.38
"257","2020-02-12",10.38
"258","2020-02-13",10.33
"259","2020-02-14",10.33
"260","2020-02-18",10.33
"261","2020-02-19",10.33
"262","2020-02-20",10.33
"263","2020-02-21",10.33
"264","2020-02-24",10.5
"265","2020-02-25",10.5
"266","2020-02-26",10.5
"267","2020-02-27",10.5
"268","2020-02-28",10.33
"269","2020-03-02",10.33
"270","2020-03-03",10.33
"271","2020-03-04",10.39
"272","2020-03-05",10.4
"273","2020-03-06",10.4
"274","2020-03-09",10.3
"275","2020-03-10",10.3
"276","2020-03-11",10.29
"277","2020-03-12",10.2
"278","2020-03-13",10.2
"279","2020-03-16",10.05
"280","2020-03-17",10.1
"281","2020-03-18",10
"282","2020-03-19",10.08
"283","2020-03-20",10.1
"284","2020-03-23",10.15
"285","2020-03-24",10.25
"286","2020-03-25",10.26
"287","2020-03-26",10.26
"288","2020-03-27",10.27
"289","2020-03-30",10.26
"290","2020-03-31",10.29
"291","2020-04-01",10.26
"292","2020-04-02",10.26
"293","2020-04-03",10.26
"294","2020-04-06",10.26
"295","2020-04-07",10.26
"296","2020-04-08",10.35
"297","2020-04-09",10.28
"298","2020-04-13",10.33
"299","2020-04-14",10.35
