"","date","FMAO"
"1","2007-01-03",11.1
"2","2007-01-04",11.1
"3","2007-01-05",11.1
"4","2007-01-08",11.1
"5","2007-01-09",11.1
"6","2007-01-10",11.1
"7","2007-01-11",11.095
"8","2007-01-12",11.075
"9","2007-01-16",11.075
"10","2007-01-17",11.05
"11","2007-01-18",11.05
"12","2007-01-19",11.05
"13","2007-01-22",11.05
"14","2007-01-23",11.05
"15","2007-01-24",11.05
"16","2007-01-25",11.05
"17","2007-01-26",11.05
"18","2007-01-29",11.05
"19","2007-01-30",11.05
"20","2007-01-31",11.055
"21","2007-02-01",11.055
"22","2007-02-02",11.08
"23","2007-02-05",11.105
"24","2007-02-06",11.175
"25","2007-02-07",11.175
"26","2007-02-08",11.15
"27","2007-02-09",11.15
"28","2007-02-12",11.15
"29","2007-02-13",11.15
"30","2007-02-14",11.15
"31","2007-02-15",11.15
"32","2007-02-16",11.15
"33","2007-02-20",11.15
"34","2007-02-21",11.15
"35","2007-02-22",11.17
"36","2007-02-23",11.17
"37","2007-02-26",11.17
"38","2007-02-27",11.15
"39","2007-02-28",11.15
"40","2007-03-01",11.17
"41","2007-03-02",11.185
"42","2007-03-05",11.25
"43","2007-03-06",11.25
"44","2007-03-07",11.25
"45","2007-03-08",11.25
"46","2007-03-09",11.25
"47","2007-03-12",11.15
"48","2007-03-13",11.15
"49","2007-03-14",11.15
"50","2007-03-15",11.15
"51","2007-03-16",11.15
"52","2007-03-19",11.4
"53","2007-03-20",11.4
"54","2007-03-21",11.4
"55","2007-03-22",11.4
"56","2007-03-23",11.75
"57","2007-03-26",11.5
"58","2007-03-27",11.5
"59","2007-03-28",11.675
"60","2007-03-29",11.525
"61","2007-03-30",11.525
"62","2007-04-02",11.525
"63","2007-04-03",11.525
"64","2007-04-04",11.275
"65","2007-04-05",11.175
"66","2007-04-09",11.175
"67","2007-04-10",11.175
"68","2007-04-11",11.175
"69","2007-04-12",11.175
"70","2007-04-13",11.175
"71","2007-04-16",11.175
"72","2007-04-17",11.175
"73","2007-04-18",11.175
"74","2007-04-19",11.175
"75","2007-04-20",11.175
"76","2007-04-23",11.175
"77","2007-04-24",11.175
"78","2007-04-25",11.175
"79","2007-04-26",11.175
"80","2007-04-27",11.175
"81","2007-04-30",11.175
"82","2007-05-01",11.5
"83","2007-05-02",11.5
"84","2007-05-03",11.5
"85","2007-05-04",11.5
"86","2007-05-07",11.5
"87","2007-05-08",11.5
"88","2007-05-09",11.3
"89","2007-05-10",11.5
"90","2007-05-11",11.3
"91","2007-05-14",11.3
"92","2007-05-15",11.3
"93","2007-05-16",11.325
"94","2007-05-17",11.325
"95","2007-05-18",11.325
"96","2007-05-21",11.325
"97","2007-05-22",11.325
"98","2007-05-23",11.325
"99","2007-05-24",11.185
"100","2007-05-25",11.185
"101","2007-05-29",11.185
"102","2007-05-30",11.185
"103","2007-05-31",11.25
"104","2007-06-01",11.225
"105","2007-06-04",11.35
"106","2007-06-05",11.35
"107","2007-06-06",11.155
"108","2007-06-07",11.155
"109","2007-06-08",11.155
"110","2007-06-11",11.155
"111","2007-06-12",11.25
"112","2007-06-13",11.2
"113","2007-06-14",11.2
"114","2007-06-15",11.2
"115","2007-06-18",11.175
"116","2007-06-19",11.175
"117","2007-06-20",11.175
"118","2007-06-21",11.175
"119","2007-06-22",11.075
"120","2007-06-25",11.075
"121","2007-06-26",11.075
"122","2007-06-27",11.18
"123","2007-06-28",11.125
"124","2007-06-29",11.025
"125","2007-07-02",11.05
"126","2007-07-03",11.05
"127","2007-07-05",11
"128","2007-07-06",11
"129","2007-07-09",11.25
"130","2007-07-10",10.875
"131","2007-07-11",10.875
"132","2007-07-12",10.875
"133","2007-07-13",10.785
"134","2007-07-16",10.875
"135","2007-07-17",10.875
"136","2007-07-18",10.875
"137","2007-07-19",10.875
"138","2007-07-20",10.875
"139","2007-07-23",10.805
"140","2007-07-24",10.805
"141","2007-07-25",10.805
"142","2007-07-26",10.805
"143","2007-07-27",10.805
"144","2007-07-30",10.785
"145","2007-07-31",10.77
"146","2007-08-01",10.77
"147","2007-08-02",10.77
"148","2007-08-03",10.77
"149","2007-08-06",10.5
"150","2007-08-07",10.5
"151","2007-08-08",10.7
"152","2007-08-09",10.5
"153","2007-08-10",10.5
"154","2007-08-13",10.5
"155","2007-08-14",10.7
"156","2007-08-15",10.5
"157","2007-08-16",10.5
"158","2007-08-17",10.5
"159","2007-08-20",10.5
"160","2007-08-21",10.5
"161","2007-08-22",10.5
"162","2007-08-23",10.5
"163","2007-08-24",10.5
"164","2007-08-27",10.175
"165","2007-08-28",10.175
"166","2007-08-29",10.7
"167","2007-08-30",10.175
"168","2007-08-31",10.175
"169","2007-09-04",10.175
"170","2007-09-05",10.175
"171","2007-09-06",10.085
"172","2007-09-07",10.085
"173","2007-09-10",10.085
"174","2007-09-11",10.5
"175","2007-09-12",10.5
"176","2007-09-13",10.5
"177","2007-09-14",10.5
"178","2007-09-17",10.05
"179","2007-09-18",10.05
"180","2007-09-19",10.4
"181","2007-09-20",10.25
"182","2007-09-21",10.25
"183","2007-09-24",10.375
"184","2007-09-25",10
