"","date","USNA"
"1","2007-01-03",26.23
"2","2007-01-04",26.1
"3","2007-01-05",25.120001
"4","2007-01-08",24.965
"5","2007-01-09",24.799999
"6","2007-01-10",26.15
"7","2007-01-11",26.049999
"8","2007-01-12",26.084999
"9","2007-01-16",26.5
"10","2007-01-17",26.225
"11","2007-01-18",26.334999
"12","2007-01-19",26.5
"13","2007-01-22",26.33
"14","2007-01-23",26.375
"15","2007-01-24",26.525
"16","2007-01-25",26.195
"17","2007-01-26",26.395
"18","2007-01-29",25.75
"19","2007-01-30",26.225
"20","2007-01-31",26.540001
"21","2007-02-01",26.610001
"22","2007-02-02",26.6
"23","2007-02-05",27.25
"24","2007-02-06",27.315001
"25","2007-02-07",29.959999
"26","2007-02-08",30.799999
"27","2007-02-09",30.665001
"28","2007-02-12",30.344999
"29","2007-02-13",30.549999
"30","2007-02-14",30.434999
"31","2007-02-15",30.415001
"32","2007-02-16",30.35
"33","2007-02-20",30.594999
"34","2007-02-21",30.709999
"35","2007-02-22",30.790001
"36","2007-02-23",30.75
"37","2007-02-26",30.465
"38","2007-02-27",28.865
"39","2007-02-28",29.035
"40","2007-03-01",29.365
"41","2007-03-02",28.395
"42","2007-03-05",28.26
"43","2007-03-06",28.65
"44","2007-03-07",28.405001
"45","2007-03-08",29.549999
"46","2007-03-09",29.795
"47","2007-03-12",29.74
"48","2007-03-13",29.264999
"49","2007-03-14",29.385
"50","2007-03-15",24.924999
"51","2007-03-16",24.625
"52","2007-03-19",24.555
"53","2007-03-20",23.924999
"54","2007-03-21",24.594999
"55","2007-03-22",24.870001
"56","2007-03-23",24.9
"57","2007-03-26",25
"58","2007-03-27",24.76
"59","2007-03-28",25.155001
"60","2007-03-29",25.195
"61","2007-03-30",23.434999
"62","2007-04-02",23.75
"63","2007-04-03",23.065001
"64","2007-04-04",22.715
"65","2007-04-05",23.174999
"66","2007-04-09",22.459999
"67","2007-04-10",21.84
"68","2007-04-11",22.725
"69","2007-04-12",20.674999
"70","2007-04-13",20.834999
"71","2007-04-16",20.73
"72","2007-04-17",21.41
"73","2007-04-18",20.799999
"74","2007-04-19",20.295
"75","2007-04-20",20.405001
"76","2007-04-23",20.565001
"77","2007-04-24",21.82
"78","2007-04-25",21.1
"79","2007-04-26",20.9
"80","2007-04-27",20.985001
"81","2007-04-30",19.92
"82","2007-05-01",19.860001
"83","2007-05-02",19.645
"84","2007-05-03",19.780001
"85","2007-05-04",19.975
"86","2007-05-07",19.594999
"87","2007-05-08",19.32
"88","2007-05-09",20.35
"89","2007-05-10",20.01
"90","2007-05-11",19.905001
"91","2007-05-14",19.65
"92","2007-05-15",19.07
"93","2007-05-16",19.594999
"94","2007-05-17",19.225
"95","2007-05-18",19.469999
"96","2007-05-21",20.59
"97","2007-05-22",20.51
"98","2007-05-23",19.77
"99","2007-05-24",19.530001
"100","2007-05-25",20.084999
"101","2007-05-29",20.665001
"102","2007-05-30",20.379999
"103","2007-05-31",19.440001
"104","2007-06-01",18.59
"105","2007-06-04",18.834999
"106","2007-06-05",19.565001
"107","2007-06-06",19.33
"108","2007-06-07",19.15
"109","2007-06-08",19.67
"110","2007-06-11",20.389999
"111","2007-06-12",20.68
"112","2007-06-13",21.02
"113","2007-06-14",23.129999
"114","2007-06-15",23.674999
"115","2007-06-18",23.07
"116","2007-06-19",22.205
"117","2007-06-20",21.705
"118","2007-06-21",21.58
"119","2007-06-22",20.92
"120","2007-06-25",20.674999
"121","2007-06-26",21.334999
"122","2007-06-27",21.715
"123","2007-06-28",22.57
"124","2007-06-29",22.370001
"125","2007-07-02",22.155001
"126","2007-07-03",22.370001
"127","2007-07-05",22.43
"128","2007-07-06",21.934999
"129","2007-07-09",22.6
"130","2007-07-10",22.405001
"131","2007-07-11",23.865
"132","2007-07-12",25
"133","2007-07-13",24.059999
"134","2007-07-16",25.049999
"135","2007-07-17",20.690001
"136","2007-07-18",23.365
"137","2007-07-19",22.5
"138","2007-07-20",22.225
"139","2007-07-23",21.620001
"140","2007-07-24",21.52
"141","2007-07-25",21.08
