"","date","ODT"
"1","2017-12-07",23
"2","2017-12-08",22.67
"3","2017-12-11",23.25
"4","2017-12-12",23.540001
"5","2017-12-13",23.35
"6","2017-12-14",23
"7","2017-12-15",23
"8","2017-12-18",22.719999
"9","2017-12-19",22.719999
"10","2017-12-20",23
"11","2017-12-21",23.5
"12","2017-12-22",24.92
"13","2017-12-26",24.959999
"14","2017-12-27",24.450001
"15","2017-12-28",24.950001
"16","2017-12-29",25
"17","2018-01-02",24.73
"18","2018-01-03",24.129999
"19","2018-01-04",24.190001
"20","2018-01-05",24.129999
"21","2018-01-08",24.120001
"22","2018-01-09",23.66
"23","2018-01-10",23.690001
"24","2018-01-11",23.51
"25","2018-01-12",23.790001
"26","2018-01-16",23.110001
"27","2018-01-17",22.860001
"28","2018-01-18",22.83
"29","2018-01-19",22.299999
"30","2018-01-22",21.99
"31","2018-01-23",22.1
"32","2018-01-24",22.370001
"33","2018-01-25",22.02
"34","2018-01-26",21.690001
"35","2018-01-29",21.969999
"36","2018-01-30",21.27
"37","2018-01-31",20.780001
"38","2018-02-01",19.65
"39","2018-02-02",19.059999
"40","2018-02-05",18.34
"41","2018-02-06",17.65
"42","2018-02-07",16.690001
"43","2018-02-08",15.84
"44","2018-02-09",15.44
"45","2018-02-12",17.639999
"46","2018-02-13",18.059999
"47","2018-02-14",21
"48","2018-02-15",22.74
"49","2018-02-16",24.950001
"50","2018-02-20",26.49
"51","2018-02-21",27.9
"52","2018-02-22",28.040001
"53","2018-02-23",28.17
"54","2018-02-26",27.42
"55","2018-02-27",26.99
"56","2018-02-28",26.99
"57","2018-03-01",27.450001
"58","2018-03-02",27.209999
"59","2018-03-05",31
"60","2018-03-06",30.1
"61","2018-03-07",30.49
"62","2018-03-08",29.58
"63","2018-03-09",28.709999
"64","2018-03-12",28.59
"65","2018-03-13",28.34
"66","2018-03-14",25.02
"67","2018-03-15",24.450001
"68","2018-03-16",23.25
"69","2018-03-19",24.01
"70","2018-03-20",23.309999
"71","2018-03-21",23.23
"72","2018-03-22",21.16
"73","2018-03-23",24.01
"74","2018-03-26",22.290001
"75","2018-03-27",23.49
"76","2018-03-28",21.41
"77","2018-03-29",21.18
"78","2018-04-02",20.469999
"79","2018-04-03",21.41
"80","2018-04-04",21.33
"81","2018-04-05",22.07
"82","2018-04-06",20.959999
"83","2018-04-09",20.98
"84","2018-04-10",22.209999
"85","2018-04-11",21.6
"86","2018-04-12",21.09
"87","2018-04-13",21.65
"88","2018-04-16",21.209999
"89","2018-04-17",22.549999
"90","2018-04-18",21.809999
"91","2018-04-19",21.33
"92","2018-04-20",20.629999
"93","2018-04-23",20.690001
"94","2018-04-24",21.08
"95","2018-04-25",20.889999
"96","2018-04-26",21.66
"97","2018-04-27",21.52
"98","2018-04-30",21.08
"99","2018-05-01",20.709999
"100","2018-05-02",21.940001
"101","2018-05-03",21.32
"102","2018-05-04",20.610001
"103","2018-05-07",22.4
"104","2018-05-08",22.780001
"105","2018-05-09",23.219999
"106","2018-05-10",22.92
"107","2018-05-11",23.08
"108","2018-05-14",23.040001
"109","2018-05-15",23.17
"110","2018-05-16",23.09
"111","2018-05-17",24.27
"112","2018-05-18",23.870001
"113","2018-05-21",23.32
"114","2018-05-22",23.514999
"115","2018-05-23",23.360001
"116","2018-05-24",23.33
"117","2018-05-25",23.200001
"118","2018-05-29",22.85
"119","2018-05-30",23.59
"120","2018-05-31",23.99
"121","2018-06-01",25.82
"122","2018-06-04",26
"123","2018-06-05",26.5
"124","2018-06-06",27.049999
"125","2018-06-07",27.1
"126","2018-06-08",27.389999
"127","2018-06-11",27.6
"128","2018-06-12",27.139999
"129","2018-06-13",26.83
"130","2018-06-14",26.5
"131","2018-06-15",26.52
"132","2018-06-18",26
"133","2018-06-19",25.450001
"134","2018-06-20",25.5
"135","2018-06-21",24.82
"136","2018-06-22",24.98
"137","2018-06-25",24.639999
"138","2018-06-26",24.780001
"139","2018-06-27",23.52
"140","2018-06-28",23.09
"141","2018-06-29",22.08
"142","2018-07-02",22.84
"143","2018-07-03",23.190001
"144","2018-07-05",23.370001
"145","2018-07-06",23.43
"146","2018-07-09",23.48
"147","2018-07-10",23.1
"148","2018-07-11",23.73
"149","2018-07-12",23.700001
"150","2018-07-13",23.950001
"151","2018-07-16",23.77
"152","2018-07-17",22.950001
"153","2018-07-18",22.940001
"154","2018-07-19",23.219999
"155","2018-07-20",23.57
"156","2018-07-23",23.68
"157","2018-07-24",22.190001
"158","2018-07-25",21.280001
"159","2018-07-26",20.190001
"160","2018-07-27",20.25
"161","2018-07-30",20.285
"162","2018-07-31",19.77
"163","2018-08-01",19.700001
"164","2018-08-02",19.49
"165","2018-08-03",18.85
"166","2018-08-06",18.719999
"167","2018-08-07",19.23
"168","2018-08-08",18.84
"169","2018-08-09",19.27
"170","2018-08-10",19.030001
"171","2018-08-13",18.32
"172","2018-08-14",18.969999
"173","2018-08-15",18.74
"174","2018-08-16",19.75
"175","2018-08-17",19.030001
"176","2018-08-20",18.950001
"177","2018-08-21",19.459999
"178","2018-08-22",20.389999
"179","2018-08-23",20.219999
"180","2018-08-24",20.4
"181","2018-08-27",20.129999
"182","2018-08-28",20.379999
"183","2018-08-29",20.73
"184","2018-08-30",19.450001
"185","2018-08-31",19.190001
"186","2018-09-04",18.35
"187","2018-09-05",18.559999
"188","2018-09-06",18.280001
"189","2018-09-07",18.629999
"190","2018-09-10",19.1
"191","2018-09-11",18.719999
"192","2018-09-12",18.629999
"193","2018-09-13",18.76
"194","2018-09-14",19.129999
"195","2018-09-17",18.889999
"196","2018-09-18",19.290001
"197","2018-09-19",19.51
"198","2018-09-20",20.370001
"199","2018-09-21",21.01
"200","2018-09-24",19.49
"201","2018-09-25",18.959999
"202","2018-09-26",18.860001
"203","2018-09-27",18.66
"204","2018-09-28",19.41
"205","2018-10-01",18.5
"206","2018-10-02",18.129999
"207","2018-10-03",17.799999
"208","2018-10-04",17.35
"209","2018-10-05",17.120001
"210","2018-10-08",16.67
"211","2018-10-09",16.690001
"212","2018-10-10",16.040001
"213","2018-10-11",15.89
"214","2018-10-12",16.049999
"215","2018-10-15",16.09
"216","2018-10-16",16.4
"217","2018-10-17",15.91
"218","2018-10-18",15.68
"219","2018-10-19",15.27
"220","2018-10-22",14.93
"221","2018-10-23",15.44
"222","2018-10-24",15
"223","2018-10-25",15.83
"224","2018-10-26",15.23
"225","2018-10-29",14.97
"226","2018-10-30",14.52
"227","2018-10-31",14.5
"228","2018-11-01",14.92
"229","2018-11-02",17.18
"230","2018-11-05",17.209999
"231","2018-11-06",17.15
"232","2018-11-07",17.889999
"233","2018-11-08",17.5
"234","2018-11-09",17.360001
"235","2018-11-12",16.82
