"","date","MMP"
"1","2007-01-03",19.1
"2","2007-01-04",19.045
"3","2007-01-05",18.950001
"4","2007-01-08",19.01
"5","2007-01-09",19.145
"6","2007-01-10",19.174999
"7","2007-01-11",19.395
"8","2007-01-12",19.475
"9","2007-01-16",19.4
"10","2007-01-17",19.434999
"11","2007-01-18",19.5
"12","2007-01-19",19.41
"13","2007-01-22",19.495001
"14","2007-01-23",19.950001
"15","2007-01-24",20.275
"16","2007-01-25",20
"17","2007-01-26",19.945
"18","2007-01-29",19.9
"19","2007-01-30",20.049999
"20","2007-01-31",20.905001
"21","2007-02-01",20.41
"22","2007-02-02",20.65
"23","2007-02-05",20.709999
"24","2007-02-06",20.715
"25","2007-02-07",20.6
"26","2007-02-08",20.635
"27","2007-02-09",20.59
"28","2007-02-12",20.48
"29","2007-02-13",20.615
"30","2007-02-14",20.805
"31","2007-02-15",21
"32","2007-02-16",20.945
"33","2007-02-20",21.084999
"34","2007-02-21",21.105
"35","2007-02-22",21.075001
"36","2007-02-23",21.125
"37","2007-02-26",21.135
"38","2007-02-27",20.969999
"39","2007-02-28",21.049999
"40","2007-03-01",21.42
"41","2007-03-02",21.35
"42","2007-03-05",21.235001
"43","2007-03-06",21.305
"44","2007-03-07",21.459999
"45","2007-03-08",21.65
"46","2007-03-09",21.735001
"47","2007-03-12",21.924999
"48","2007-03-13",22.184999
"49","2007-03-14",22.254999
"50","2007-03-15",22.4
"51","2007-03-16",22.450001
"52","2007-03-19",22.690001
"53","2007-03-20",23.094999
"54","2007-03-21",23.4
"55","2007-03-22",23.525
"56","2007-03-23",23.295
"57","2007-03-26",23.334999
"58","2007-03-27",23.225
"59","2007-03-28",23.635
"60","2007-03-29",23.615
"61","2007-03-30",23.4
"62","2007-04-02",23.549999
"63","2007-04-03",23.67
"64","2007-04-04",23.709999
"65","2007-04-05",23.785
"66","2007-04-09",23.799999
"67","2007-04-10",23.645
"68","2007-04-11",23.17
"69","2007-04-12",22.805
"70","2007-04-13",23.375
"71","2007-04-16",23.575001
"72","2007-04-17",23.885
"73","2007-04-18",24.155001
"74","2007-04-19",23.950001
"75","2007-04-20",24.01
"76","2007-04-23",24.42
"77","2007-04-24",24.584999
"78","2007-04-25",24.9
"79","2007-04-26",25.155001
"80","2007-04-27",25.5
"81","2007-04-30",25.395
"82","2007-05-01",24.805
"83","2007-05-02",23.924999
"84","2007-05-03",24.129999
"85","2007-05-04",23.635
"86","2007-05-07",23.540001
"87","2007-05-08",23.725
"88","2007-05-09",23.9
"89","2007-05-10",24.049999
"90","2007-05-11",24.09
"91","2007-05-14",24.445
"92","2007-05-15",24.415001
"93","2007-05-16",23.49
"94","2007-05-17",23.545
"95","2007-05-18",23.42
"96","2007-05-21",23.625
"97","2007-05-22",23.870001
"98","2007-05-23",23.514999
"99","2007-05-24",22.59
"100","2007-05-25",22.695
"101","2007-05-29",22.700001
"102","2007-05-30",22.844999
"103","2007-05-31",23.184999
"104","2007-06-01",23.110001
