"","date","RFL"
"1","2018-03-27",4.9
"2","2018-03-28",4.65
"3","2018-03-29",4.85
"4","2018-04-02",4.55
"5","2018-04-03",5.13
"6","2018-04-04",5.28
"7","2018-04-05",6.27
"8","2018-04-06",5.88
"9","2018-04-09",6.03
"10","2018-04-10",6
"11","2018-04-11",5.96
"12","2018-04-12",6.01
"13","2018-04-13",6.22
"14","2018-04-16",6.74
"15","2018-04-17",6.85
"16","2018-04-18",6.5
"17","2018-04-19",6.53
"18","2018-04-20",6.38
"19","2018-04-23",6.8
"20","2018-04-24",6.65
"21","2018-04-25",6.74
"22","2018-04-26",6.89
"23","2018-04-27",7.35
"24","2018-04-30",8.2
"25","2018-05-01",7.75
"26","2018-05-02",7.94
"27","2018-05-03",7.8
"28","2018-05-04",7.89
"29","2018-05-07",8.23
"30","2018-05-08",8.24
"31","2018-05-09",8.13
"32","2018-05-10",7.59
"33","2018-05-11",8
"34","2018-05-14",8.31
"35","2018-05-15",8.36
"36","2018-05-16",8.56
"37","2018-05-17",8.28
"38","2018-05-18",8.27
"39","2018-05-21",8.39
"40","2018-05-22",8.05
"41","2018-05-23",8.37
"42","2018-05-24",8.41
"43","2018-05-25",8.49
"44","2018-05-29",8.65
"45","2018-05-30",8.92
"46","2018-05-31",9.15
"47","2018-06-01",9.92
"48","2018-06-04",9.96
"49","2018-06-05",10.11
"50","2018-06-06",9.93
"51","2018-06-07",10
"52","2018-06-08",10
"53","2018-06-11",9.8
"54","2018-06-12",9.63
"55","2018-06-13",9.32
"56","2018-06-14",9.29
"57","2018-06-15",9.05
"58","2018-06-18",9.2
"59","2018-06-19",8.75
"60","2018-06-20",8.33
"61","2018-06-21",8.74
"62","2018-06-22",8.88
"63","2018-06-25",9.2
"64","2018-06-26",9.43
"65","2018-06-27",9.06
"66","2018-06-28",9.01
"67","2018-06-29",9.19
"68","2018-07-02",9.13
"69","2018-07-03",9.14
"70","2018-07-05",8.99
"71","2018-07-06",8.92
"72","2018-07-09",9.36
"73","2018-07-10",9.24
"74","2018-07-11",9.4
"75","2018-07-12",9.66
"76","2018-07-13",9.48
"77","2018-07-16",9.117
"78","2018-07-17",9.33
"79","2018-07-18",9.59
"80","2018-07-19",9.58
"81","2018-07-20",10.17
"82","2018-07-23",10.02
"83","2018-07-24",9.34
"84","2018-07-25",9.53
"85","2018-07-26",9.46
"86","2018-07-27",9.35
"87","2018-07-30",9.12
"88","2018-07-31",9.1
"89","2018-08-01",9.12
"90","2018-08-02",9.1
"91","2018-08-03",9.3
"92","2018-08-06",9.68
"93","2018-08-07",9.6
"94","2018-08-08",9.68
"95","2018-08-09",9.45
"96","2018-08-10",9.25
"97","2018-08-13",9.06
"98","2018-08-14",9
"99","2018-08-15",9.2
"100","2018-08-16",9.3
"101","2018-08-17",9.2
"102","2018-08-20",9.18
"103","2018-08-21",9.1
"104","2018-08-22",9.28
"105","2018-08-23",9.66
"106","2018-08-24",9.6
"107","2018-08-27",9.17
"108","2018-08-28",9.35
"109","2018-08-29",9.41
"110","2018-08-30",9.39
"111","2018-08-31",9.42
"112","2018-09-04",9.1
"113","2018-09-05",9.23
"114","2018-09-06",9.11
"115","2018-09-07",9.15
"116","2018-09-10",9
"117","2018-09-11",9.32
"118","2018-09-12",9.41
"119","2018-09-13",9.26
"120","2018-09-14",9.2
"121","2018-09-17",9.12
"122","2018-09-18",9.2
"123","2018-09-19",9.06
"124","2018-09-20",9.12
"125","2018-09-21",8.91
"126","2018-09-24",8.72
"127","2018-09-25",8.65
"128","2018-09-26",8.63
"129","2018-09-27",8.49
"130","2018-09-28",8.4
"131","2018-10-01",8.25
"132","2018-10-02",8.2
"133","2018-10-03",8.18
"134","2018-10-04",8.15
"135","2018-10-05",8.32
"136","2018-10-08",8.19
"137","2018-10-09",8.4
"138","2018-10-10",8.13
"139","2018-10-11",8.05
"140","2018-10-12",8.44
"141","2018-10-15",8.55
"142","2018-10-16",8.81
"143","2018-10-17",9.02
"144","2018-10-18",8.7
"145","2018-10-19",8.95
"146","2018-10-22",9.09
"147","2018-10-23",8.97
"148","2018-10-24",8.63
"149","2018-10-25",8.42
"150","2018-10-26",8.35
"151","2018-10-29",8.16
