"","date","ZM"
"189","2020-01-16",76.110001
"190","2020-01-17",75.559998
"191","2020-01-21",76.730003
"192","2020-01-22",75.540001
"193","2020-01-23",74.470001
"194","2020-01-24",73
"195","2020-01-27",70.440002
"196","2020-01-28",71.510002
"197","2020-01-29",73.580002
"198","2020-01-30",74.540001
"199","2020-01-31",76.300003
"200","2020-02-03",87.660004
"201","2020-02-04",85.790001
"202","2020-02-05",86.989998
"203","2020-02-06",87.260002
"204","2020-02-07",88.639999
"205","2020-02-10",89.669998
"206","2020-02-11",88.68
"207","2020-02-12",88.279999
"208","2020-02-13",89.860001
"209","2020-02-14",90.949997
"210","2020-02-18",96.389999
"211","2020-02-19",103.93
"212","2020-02-20",105.290001
"213","2020-02-21",101.760002
"214","2020-02-24",105.010002
"215","2020-02-25",107.080002
"216","2020-02-26",106.879997
"217","2020-02-27",113.550003
"218","2020-02-28",105
"219","2020-03-02",113.110001
"220","2020-03-03",117.470001
"221","2020-03-04",116.800003
"222","2020-03-05",125
"223","2020-03-06",114.32
"224","2020-03-09",113.75
"225","2020-03-10",108.489998
"226","2020-03-11",110.300003
"227","2020-03-12",109.470001
"228","2020-03-13",107.470001
"229","2020-03-16",107.860001
"230","2020-03-17",111.099998
"231","2020-03-18",118.709999
"232","2020-03-19",123.769997
"233","2020-03-20",130.550003
"234","2020-03-23",159.559998
"235","2020-03-24",135.179993
"236","2020-03-25",138.110001
"237","2020-03-26",141.149994
"238","2020-03-27",151.699997
"239","2020-03-30",150.880005
"240","2020-03-31",146.119995
"241","2020-04-01",137
"242","2020-04-02",121.93
"243","2020-04-03",128.199997
"244","2020-04-06",122.940002
"245","2020-04-07",113.75
"246","2020-04-08",117.809998
"247","2020-04-09",124.510002
"248","2020-04-13",135.919998
"249","2020-04-14",141.889999
"250","2020-04-15",151.559998
"251","2020-04-16",150.259995
"252","2020-04-17",150.059998
"253","2020-04-20",148.990005
"254","2020-04-21",143.270004
"255","2020-04-22",150.25
"256","2020-04-23",169.089996
"257","2020-04-24",158.800003
"258","2020-04-27",164.600006
"259","2020-04-28",156.720001
"260","2020-04-29",146.479996
"261","2020-04-30",135.169998
"262","2020-05-01",138.559998
"263","2020-05-04",143.440002
"264","2020-05-05",144.820007
"265","2020-05-06",149.589996
"266","2020-05-07",157.800003
"267","2020-05-08",155.399994
"268","2020-05-11",166.479996
"269","2020-05-12",161.039993
"270","2020-05-13",167.139999
"271","2020-05-14",167.910004
"272","2020-05-15",174.830002
"273","2020-05-18",164.690002
"274","2020-05-19",173.679993
"275","2020-05-20",175.479996
"276","2020-05-21",172.029999
"277","2020-05-22",171.059998
"278","2020-05-26",164
"279","2020-05-27",161.970001
"280","2020-05-28",163.550003
"281","2020-05-29",179.479996
"282","2020-06-01",204.149994
"283","2020-06-02",208.080002
"284","2020-06-03",223.869995
"285","2020-06-04",210.350006
"286","2020-06-05",207.600006
"287","2020-06-08",209.830002
"288","2020-06-09",205.429993
"289","2020-06-10",221.020004
"290","2020-06-11",222.070007
"291","2020-06-12",219.520004
"292","2020-06-15",239.020004
"293","2020-06-16",242.559998
"294","2020-06-17",236.759995
"295","2020-06-18",241.570007
"296","2020-06-19",243.479996
"297","2020-06-22",251.270004
"298","2020-06-23",252.809998
"299","2020-06-24",255.899994
"300","2020-06-25",259.51001
"301","2020-06-26",256.799988
"302","2020-06-29",248.559998
"303","2020-06-30",253.539993
"304","2020-07-01",259.130005
"305","2020-07-02",261.73999
"306","2020-07-06",261
"307","2020-07-07",262.100006
"308","2020-07-08",266.320007
"309","2020-07-09",269.519989
"310","2020-07-10",275.869995
"311","2020-07-13",260.299988
"312","2020-07-14",260.01001
"313","2020-07-15",256.220001
"314","2020-07-16",248.539993
"315","2020-07-17",246.539993
"316","2020-07-20",268.579987
"317","2020-07-21",260.440002
"318","2020-07-22",261.179993
"319","2020-07-23",251.5
"320","2020-07-24",246.559998
"321","2020-07-27",252.330002
"322","2020-07-28",252.179993
"323","2020-07-29",252.389999
"324","2020-07-30",250
"325","2020-07-31",253.910004
"326","2020-08-03",268
"327","2020-08-04",267.339996
"328","2020-08-05",272.899994
"329","2020-08-06",268.25
"330","2020-08-07",258.730011
"331","2020-08-10",250
"332","2020-08-11",231.039993
"333","2020-08-12",236.720001
"334","2020-08-13",247.25
"335","2020-08-14",244.910004
"336","2020-08-17",266.149994
"337","2020-08-18",276.799988
"338","2020-08-19",273.51001
"339","2020-08-20",290.690002
"340","2020-08-21",289.679993
"341","2020-08-24",282.279999
"342","2020-08-25",290.440002
"343","2020-08-26",295.269989
"344","2020-08-27",294.679993
"345","2020-08-28",299.269989
"346","2020-08-31",325.100006
"347","2020-09-01",457.690002
"348","2020-09-02",423.559998
"349","2020-09-03",381.320007
"350","2020-09-04",369.890015
"351","2020-09-08",350.880005
"352","2020-09-09",389.649994
"353","2020-09-10",384.480011
"354","2020-09-11",383
"355","2020-09-14",403.51001
"356","2020-09-15",410.940002
"357","2020-09-16",408.170013
"358","2020-09-17",413.125
"359","2020-09-18",438.730011
"360","2020-09-21",468.470001
"361","2020-09-22",492.600006
"362","2020-09-23",500.529999
"363","2020-09-24",464.980011
"364","2020-09-25",496.5
"365","2020-09-28",487.660004
"366","2020-09-29",465.5
"367","2020-09-30",470.109985
"368","2020-10-01",482.98999
"369","2020-10-02",482.230011
"370","2020-10-05",485.369995
"371","2020-10-06",478.25
"372","2020-10-07",480.609985
"373","2020-10-08",478.549988
"374","2020-10-09",492.410004
"375","2020-10-12",491.540009
"376","2020-10-13",518.789978
"377","2020-10-14",509.25
"378","2020-10-15",536.400024
"379","2020-10-16",559
"380","2020-10-19",568.340027
"381","2020-10-20",537.02002
"382","2020-10-21",513.190002
"383","2020-10-22",520.539978
"384","2020-10-23",511.519989
"385","2020-10-26",517.789978
"386","2020-10-27",538.98999
"387","2020-10-28",516.01001
"388","2020-10-29",489.679993
"389","2020-10-30",460.910004
"390","2020-11-02",453
"391","2020-11-03",451.51001
"392","2020-11-04",483.700012
"393","2020-11-05",496.730011
"394","2020-11-06",500.109985
"395","2020-11-09",413.23999
"396","2020-11-10",376.01001
"397","2020-11-11",413.339996
"398","2020-11-12",428.640015
"399","2020-11-13",403.579987
"400","2020-11-16",399.149994
"401","2020-11-17",401.630005
"402","2020-11-18",415.040009
"403","2020-11-19",414.290009
"404","2020-11-20",439.600006
"405","2020-11-23",430.279999
"406","2020-11-24",427.549988
"407","2020-11-25",443.720001
"408","2020-11-27",471.609985
